q,partition,statistic,max_abs_diff,rel_diff,verdict
1.2,1 x 200,mu,0.0,0.0,INVARIANT
1.2,1 x 200,C00,0.0,0.0,INVARIANT
1.2,1 x 200,A_var,0.0,0.0,INVARIANT
1.2,1 x 200,A_absdev,0.0,0.0,INVARIANT
1.2,1 x 200,A_tail,0.0,0.0,INVARIANT
1.2,1 x 200,B_var,0.0,0.0,INVARIANT
1.2,1 x 200,B_absdev,0.0,0.0,INVARIANT
1.2,1 x 200,B_tail,0.0,0.0,INVARIANT
1.2,1 x 200,C_var,0.0,0.0,INVARIANT
1.2,1 x 200,C_absdev,0.0,0.0,INVARIANT
1.2,1 x 200,C_tail,0.0,0.0,INVARIANT
1.2,2 x 100,mu,4.263256414560601e-14,6.455732473180726e-14,INVARIANT
1.2,2 x 100,C00,4.6629367034256575e-15,8.858189446749001e-13,INVARIANT
1.2,2 x 100,A_var,0.1037309554637921,0.5743695531073602,CHUNK-DEPENDENT
1.2,2 x 100,A_absdev,0.08588175211153937,0.25397671664093885,CHUNK-DEPENDENT
1.2,2 x 100,A_tail,0.04239999999999999,0.049082226041014906,mc-noise
1.2,2 x 100,B_var,0.0001546054622072945,0.0294395570502629,mc-noise
1.2,2 x 100,B_absdev,0.0009637819619422103,0.01671411958316248,mc-noise
1.2,2 x 100,B_tail,0.0116,0.036866945287546284,mc-noise
1.2,2 x 100,C_var,8.913009219568835e-15,8.858682245264371e-13,INVARIANT
1.2,2 x 100,C_absdev,2.681188604469753e-14,4.139951471977764e-13,INVARIANT
1.2,2 x 100,C_tail,0.0,0.0,INVARIANT
1.2,4 x 50,mu,4.263256414560601e-14,6.455732473180726e-14,INVARIANT
1.2,4 x 50,C00,3.593479680485956e-15,6.826539969843957e-13,INVARIANT
1.2,4 x 50,A_var,0.1710626634957924,0.9471925246049514,CHUNK-DEPENDENT
1.2,4 x 50,A_absdev,0.15575320312480112,0.46060642876231095,CHUNK-DEPENDENT
1.2,4 x 50,A_tail,0.09075,0.10505217012316281,CHUNK-DEPENDENT
1.2,4 x 50,B_var,0.0001830629937267826,0.03485836380337966,mc-noise
1.2,4 x 50,B_absdev,0.0012360071199425116,0.021435108379417995,mc-noise
1.2,4 x 50,B_tail,0.017449999999999966,0.0554593271782484,mc-noise
1.2,4 x 50,C_var,6.869504964868156e-15,6.827633649522559e-13,INVARIANT
1.2,4 x 50,C_absdev,2.0899948438568572e-14,3.227105029398816e-13,INVARIANT
1.2,4 x 50,C_tail,0.0,0.0,INVARIANT
1.2,20 x 10,mu,4.618527782440651e-14,6.99371017927912e-14,INVARIANT
1.2,20 x 10,C00,3.552713678800501e-15,6.749096721332572e-13,INVARIANT
1.2,20 x 10,A_var,0.24594408537377005,1.361819080658515,CHUNK-DEPENDENT
1.2,20 x 10,A_absdev,0.26645910958094454,0.787995215590664,CHUNK-DEPENDENT
1.2,20 x 10,A_tail,0.25225,0.2920045169539153,CHUNK-DEPENDENT
1.2,20 x 10,B_var,0.0001773364176797243,0.03376792456641402,mc-noise
1.2,20 x 10,B_absdev,0.0030703514042178873,0.053246711973123355,mc-noise
1.2,20 x 10,B_tail,0.0393,0.12490266808625597,CHUNK-DEPENDENT
1.2,20 x 10,C_var,6.7931771319251766e-15,6.751771053416753e-13,INVARIANT
1.2,20 x 10,C_absdev,2.098321516541546e-14,3.239962021547815e-13,INVARIANT
1.2,20 x 10,C_tail,0.0,0.0,INVARIANT
1.2,200 x 1,mu,4.618527782440651e-14,6.99371017927912e-14,INVARIANT
1.2,200 x 1,C00,3.885780586188048e-15,7.381824538957501e-13,INVARIANT
1.2,200 x 1,A_var,0.27367524410853233,1.515369514841052,CHUNK-DEPENDENT
1.2,200 x 1,A_absdev,0.34462742894570536,1.0191611223110832,CHUNK-DEPENDENT
1.2,200 x 1,A_tail,0.5529,0.6400368579735175,CHUNK-DEPENDENT
1.2,200 x 1,B_var,0.00023384277644918593,0.04452771370287896,mc-noise
1.2,200 x 1,B_absdev,0.013345826627131713,0.23144627207228086,CHUNK-DEPENDENT
1.2,200 x 1,B_tail,0.0998,0.31718285687044134,CHUNK-DEPENDENT
