dataset,start,f_start,f_opt,beta1,beta2,nu,rmse_to_raw,corr_to_raw,maxabs_vs_r_predmean,nfev,success
nuclei,"paper param_ini (-2,-2,-3)",194021.33807992196,116922.52190168272,35.504121994444944,23.688848697246602,0.17059531829919153,0.01980383843430624,0.9617712416723162,0.04257597290577986,116,True
nuclei,R's converged point,129310.48525881645,129310.48525774243,26.039125084028832,5679456.518328973,0.08222393484582535,0.01800616718131953,0.9685885273534345,7.336382394917962e-07,12,True
nuclei,"(0,0,-3)",186343.87351768053,116922.52190155556,35.50403691266683,23.68896202749492,0.17059796432839353,0.019803841056398118,0.961771231419376,0.04257598423103515,72,True
nuclei,"(1,1,-2)",174157.7139749529,116922.52190157038,35.503846838067645,23.688916220724266,0.17059624287524558,0.01980384426101652,0.9617712187563345,0.04257602373756797,52,True
nuclei,"(2,2,-2)",135492.42424214183,116922.52190163659,35.504128506892805,23.68911167959076,0.1706006218911116,0.019803838123598493,0.9617712430378446,0.042575908454638656,56,True
nuclei,"(3,3,-2)",117708.0217084528,116922.5219015611,35.50392785294803,23.68891422381653,0.1705963920600881,0.0198038426421436,0.9617712251340884,0.042576006674888256,48,True
nuclei,"(4,4,-1)",118281.6636815997,116922.5219019447,35.50397204810683,23.689337756285838,0.17060243921950916,0.01980383692864049,0.9617712477926348,0.042575804323224276,36,True
nuclei,"(3.26,3.16,-1.77) near PY opt",117141.03573561163,116922.52190155709,35.504038450308556,23.688952328685712,0.17059808369903057,0.019803841580599,0.9617712293585468,0.042575997246356745,40,True
nuclei,"(-4,-4,-4)",195587.66849122217,116922.52190155232,35.50394838874026,23.68894508277436,0.17059704115351856,0.01980384217595823,0.9617712269869496,0.04257599414128943,196,True
nuclei,"(5,5,0)",136560.07724500803,116922.52190159651,35.504139101983775,23.68894523890794,0.1705974513605275,0.01980383829354942,0.9617712422836157,0.04257595143976822,48,True
nuclei,random 0,172853.74375913234,116922.52190202361,35.50332231398911,23.688875485956345,0.17059177128929318,0.01980385049843441,0.9617711940800949,0.042576061010726085,60,True
nuclei,random 1,194648.79583332586,129310.48525764243,26.039010440191603,4859.696241174209,0.0822230901983893,0.018006173331189406,0.9685885047725853,6.187268706270288e-07,76,True
nuclei,random 2,193766.27078463451,116922.52190166371,35.504025125814465,23.68875800934711,0.17059609679681104,0.019803845423663126,0.961771214173435,0.04257611593821098,88,True
nuclei,random 3,188492.5210892943,116922.52190237085,35.50460587554641,23.68939457129004,0.17060586233045094,0.019803825623491655,0.9617712923940783,0.042575681812201505,60,True
nuclei,random 4,192363.15672647092,129310.48525768373,26.039016007513958,121719.95195496132,0.08222361317374736,0.018006177707074116,0.9685884898511183,5.382071580628534e-07,56,True
nuclei,random 5,185036.53753701673,116922.52190596523,35.50560106112347,23.68831328268896,0.170599001175797,0.019803828615417,0.9617712804234269,0.04257617090299293,68,True
