dataset,log_beta2,beta2,f,note
nuclei,-2.0,0.1353352832366127,187824.17476327147,
nuclei,-1.0,0.36787944117144233,182340.1165747093,
nuclei,0.0,1.0,171799.23534918128,
nuclei,1.0,2.718281828459045,142251.778444123,
nuclei,2.0,7.38905609893065,120919.6329802752,
nuclei,2.5,12.182493960703473,117835.7328240197,
nuclei,3.0,20.085536923187668,117057.33405639486,
nuclei,3.1646,23.67927043006483,117067.25229457769,<- Python's beta2
nuclei,3.5,33.11545195869231,117371.67330616753,
nuclei,4.0,54.598150033144236,118416.18044491582,
nuclei,5.0,148.4131591025766,122691.77129272981,
nuclei,6.0,403.4287934927351,127664.29931636296,
nuclei,8.0,2980.9579870417283,129310.48525688333,
nuclei,10.0,22026.465794806718,129310.48525881645,
nuclei,12.0,162754.79141900392,129310.48525881645,
nuclei,15.5524,5679649.039682298,129310.48525881645,<- R's converged beta2
nuclei,18.0,65659969.13733051,129310.48525881645,
nuclei,21.0,1318815734.4832146,129310.48525881645,
