dataset,log_beta2,beta2,f,note
whole_cell,-2.0,0.1353352832366127,135648.83462047434,
whole_cell,-1.0,0.36787944117144233,133499.763201226,
whole_cell,0.0,1.0,128898.65493739532,
whole_cell,1.0,2.718281828459045,117476.4982191895,
whole_cell,2.0,7.38905609893065,96666.0277840872,
whole_cell,2.5,12.182493960703473,86411.03535966482,
whole_cell,3.0,20.085536923187668,78679.50029049072,
whole_cell,3.1646,23.67927043006483,76870.35789773567,<- Python's beta2
whole_cell,3.5,33.11545195869231,74473.9345930139,
whole_cell,4.0,54.598150033144236,74347.46240322274,
whole_cell,5.0,148.4131591025766,84077.05925124267,
whole_cell,6.0,403.4287934927351,95240.73416809173,
whole_cell,8.0,2980.9579870417283,97819.64278956484,
whole_cell,10.0,22026.465794806718,97819.6427895889,
whole_cell,12.0,162754.79141900392,97819.6427895889,
whole_cell,15.5524,5679649.039682298,97819.6427895889,<- R's converged beta2
whole_cell,18.0,65659969.13733051,97819.6427895889,
whole_cell,21.0,1318815734.4832146,97819.6427895889,
