test,q,lengthscale,outputscale,noise,mll,best_outputscale,best_mll,at_grid_edge
T1,1.0,0.15,1.0,0.1,-0.6142336812933181,,,
T1,1.2,0.15,1.0,0.1,-0.5352615353379644,,,
T1,1.5,0.15,1.0,0.1,-0.4196255775001078,,,
T1,1.8,0.15,1.0,0.1,-0.307330851084462,,,
T1,2.0,0.15,1.0,0.1,-0.23446235531557047,,,
T1,1.0,0.15,1.0,0.01,-0.25175187688911976,,,
T1,1.2,0.15,1.0,0.01,-0.11619734348481589,,,
T1,1.5,0.15,1.0,0.01,0.07197443865777217,,,
T1,1.8,0.15,1.0,0.01,0.23405511788957992,,,
T1,2.0,0.15,1.0,0.01,0.32098242486723016,,,
T1,1.0,0.15,1.0,0.001,-0.13380770510563966,,,
T1,1.2,0.15,1.0,0.001,0.02835979777957274,,,
T1,1.5,0.15,1.0,0.001,0.19250061642765467,,,
T1,1.8,0.15,1.0,0.001,0.1836484180197652,,,
T1,2.0,0.15,1.0,0.001,0.00535210055284061,,,
T1,1.0,0.15,1.0,0.0001,-0.17777090465498394,,,
T1,1.2,0.15,1.0,0.0001,-0.042632043212581294,,,
T1,1.5,0.15,1.0,0.0001,-0.06464569136796791,,,
T1,1.8,0.15,1.0,0.0001,-0.6564181927445087,,,
T1,2.0,0.15,1.0,0.0001,-1.6993896707372609,,,
T1,1.0,0.15,1.0,1e-05,-0.2172226172931328,,,
T1,1.2,0.15,1.0,1e-05,-0.10484835256216005,,,
T1,1.5,0.15,1.0,1e-05,-0.24540864478292193,,,
T1,1.8,0.15,1.0,1e-05,-1.2068404871475227,,,
T1,2.0,0.15,1.0,1e-05,-2.821740336651267,,,
T1,1.0,0.15,1.0,1e-06,-0.2235758182212308,,,
T1,1.2,0.15,1.0,1e-06,-0.11503943750149315,,,
T1,1.5,0.15,1.0,1e-06,-0.2750350481212129,,,
T1,1.8,0.15,1.0,1e-06,-1.297671548689007,,,
T1,2.0,0.15,1.0,1e-06,-3.0087717439210824,,,
T1,1.0,0.15,1.0,1e-08,-0.22431899251845716,,,
T1,1.2,0.15,1.0,1e-08,-0.11623485966490285,,,
T1,1.5,0.15,1.0,1e-08,-0.27851410118102293,,,
T1,1.8,0.15,1.0,1e-08,-1.3083540107002403,,,
T1,2.0,0.15,1.0,1e-08,-3.030802490766887,,,
T1,1.0,0.15,1.0,1e-10,-0.2243264716831515,,,
T1,1.2,0.15,1.0,1e-10,-0.1162468937035765,,,
T1,1.5,0.15,1.0,1e-10,-0.27854912847626084,,,
T1,1.8,0.15,1.0,1e-10,-1.3084615799678168,,,
T1,2.0,0.15,1.0,1e-10,-3.0310243706524855,,,
T2,1.0,0.15,,0.1,,1.0,-0.6142336812933181,False
T2,1.0,0.15,,0.01,,0.12589254117941687,-0.09732581956200423,False
T2,1.0,0.15,,0.001,,0.01995262314968879,0.30649334821077223,False
T2,1.0,0.15,,0.0001,,0.005011872336272725,0.41011379336128295,False
T2,1.0,0.15,,1e-06,,0.19952623149688828,-0.10891775526506783,False
T2,1.0,0.15,,1e-08,,0.25118864315095824,-0.11586414690875628,False
T2,1.2,0.15,,0.1,,0.6309573444801942,-0.5312616845534514,False
T2,1.2,0.15,,0.01,,0.1,0.059187166871465725,False
T2,1.2,0.15,,0.001,,0.025118864315095822,0.41988366002935623,False
T2,1.2,0.15,,0.0001,,0.039810717055349776,0.18222393266830164,False
T2,1.2,0.15,,1e-06,,0.7943282347242822,-0.10900424018616235,False
T2,1.2,0.15,,1e-08,,0.7943282347242822,-0.11075195597163354,False
T2,1.5,0.15,,0.1,,0.39810717055349776,-0.39349581545535417,False
T2,1.5,0.15,,0.01,,0.12589254117941687,0.25510746613957036,False
T2,1.5,0.15,,0.001,,0.07943282347242822,0.381315491541374,False
T2,1.5,0.15,,0.0001,,1.584893192461114,-0.04430924439074193,False
T2,1.5,0.15,,1e-06,,2.5118864315095824,-0.10496044756568379,False
T2,1.5,0.15,,1e-08,,2.5118864315095824,-0.1055567233251213,False
T2,1.8,0.15,,0.1,,0.25118864315095824,-0.24786861189686454,False
T2,1.8,0.15,,0.01,,0.15848931924611143,0.3866556162280195,False
T2,1.8,0.15,,0.001,,0.7943282347242822,0.18520717069662934,False
T2,1.8,0.15,,0.0001,,5.011872336272725,-0.07600830936683414,False
T2,1.8,0.15,,1e-06,,6.309573444801943,-0.10080796062981193,False
T2,1.8,0.15,,1e-08,,6.309573444801943,-0.10101786040507017,False
T2,2.0,0.15,,0.1,,0.25118864315095824,-0.15417327515392332,False
T2,2.0,0.15,,0.01,,0.25118864315095824,0.4335320694750269,False
