q,n_test,mean_maxdiff_vs_q2,covmat_maxdiff_vs_q2,variance_maxdiff_vs_q2,mean_empvar_over_pkgvar,a_qd_ntest,mean_q05,mean_q95,mean_abs_dev,tail_prob_2sd,kurtosis,batch_probe,pkg_variance0,emp_var0,ratio
2.0,40,0.0,0.0,0.0,0.999028737625526,1.0,-0.13901956926775955,0.10152286557524048,0.058299415713611524,0.04549875,3.0032053944182926,,,,
1.0,40,0.0,0.0,0.0,41.89408208137409,41.99999999999976,-0.7947253983069872,0.756401558257644,0.3706878959661185,0.743735625,3.4474102254848575,,,,
1.2,40,0.0,0.0,0.0,11.990332326808774,12.019173620703917,-0.4344891352982012,0.396779724520017,0.1997829875358514,0.551283125,3.2610116548949124,,,,
1.5,40,0.0,0.0,0.0,3.450011801551669,3.457636694615227,-0.2420126076308792,0.20449321098029935,0.10782182838838658,0.277313125,3.113456920008676,,,,
1.8,40,0.0,0.0,0.0,1.5081555604838446,1.5112402065268078,-0.1664028977793312,0.12902198026758224,0.07152752111830155,0.10336812499999999,3.0349690991920175,,,,
3.0,40,0.0,0.0,0.0,0.29030782579912523,0.29078645856541896,-0.08353843302462763,0.04626079679762087,0.03153655848086391,0.00010125,2.9225379236368005,,,,
1.5,2,,,,,1.500111578334585,,,,,,True,0.005187737090723177,0.007795162399846771,1.5026132326147075
1.5,5,,,,,1.8524094753294658,,,,,,True,0.005187737090722955,0.009691790746948679,1.8682116262753874
1.5,10,,,,,2.247080718163744,,,,,,True,0.005187737090722844,0.011689896204635966,2.2533709785603517
1.5,40,,,,,3.457636694615227,,,,,,True,0.0051877370907230345,0.017830131503800972,3.436976699471854
1.5,200,,,,,5.861009478288016,,,,,,True,0.0051877370907230345,0.030009016849596674,5.784606336982702
