Threshold,GP_Method_AP,ImageJ_Method_AP,GP_Better,Pair
0.5,0.583864118895966,0.3415841584158416,True,whole_cell_figure_1
0.55,0.5413223140495868,0.1816860465116279,True,whole_cell_figure_1
0.6,0.4979919678714859,0.08689839572192513,True,whole_cell_figure_1
0.65,0.4102079395085066,0.031725888324873094,True,whole_cell_figure_1
0.7,0.29965156794425085,0.009937888198757764,True,whole_cell_figure_1
0.75,0.17111459968602827,0.002466091245376079,True,whole_cell_figure_1
0.8,0.07647907647907648,0.0,True,whole_cell_figure_1
0.5,0.16891891891891891,0.07262569832402235,True,whole_cell_figure_2
0.55,0.1610738255033557,0.054945054945054944,True,whole_cell_figure_2
0.6,0.1456953642384106,0.03783783783783784,True,whole_cell_figure_2
0.65,0.11612903225806452,0.015873015873015872,True,whole_cell_figure_2
0.7,0.08125,0.015873015873015872,True,whole_cell_figure_2
0.75,0.03592814371257485,0.010526315789473684,True,whole_cell_figure_2
0.8,0.005813953488372093,0.005235602094240838,True,whole_cell_figure_2
0.5,0.5370741482965932,0.08769633507853403,True,whole_cell_figure_3
0.55,0.4499054820415879,0.04265997490589712,True,whole_cell_figure_3
0.6,0.3623445825932504,0.020884520884520884,True,whole_cell_figure_3
0.65,0.24512987012987014,0.00849514563106796,True,whole_cell_figure_3
0.7,0.16036308623298035,0.0036231884057971015,True,whole_cell_figure_3
0.75,0.09103840682788052,0.0,True,whole_cell_figure_3
0.8,0.03369272237196765,0.0,True,whole_cell_figure_3
0.5,0.23129251700680273,0.10408921933085502,True,whole_cell_figure_4
0.55,0.21476510067114093,0.0959409594095941,True,whole_cell_figure_4
0.6,0.1830065359477124,0.07608695652173914,True,whole_cell_figure_4
0.65,0.12422360248447205,0.06451612903225806,True,whole_cell_figure_4
0.7,0.09696969696969697,0.03125,True,whole_cell_figure_4
0.75,0.05847953216374269,0.020618556701030927,True,whole_cell_figure_4
0.8,0.03428571428571429,0.01020408163265306,True,whole_cell_figure_4
0.5,0.18789808917197454,0.05333333333333334,True,whole_cell_figure_5
0.55,0.17665615141955837,0.039473684210526314,True,whole_cell_figure_5
0.6,0.15123456790123457,0.028645833333333332,True,whole_cell_figure_5
0.65,0.11011904761904762,0.023316062176165803,True,whole_cell_figure_5
0.7,0.09064327485380116,0.01282051282051282,True,whole_cell_figure_5
0.75,0.05367231638418079,0.0025380710659898475,True,whole_cell_figure_5
0.8,0.027548209366391185,0.0,True,whole_cell_figure_5
