dataset,arm,i,j,y_offset,x_offset,h,w,theta_hat,s_2,sigma2_hat,runtime_sec,beta1,beta2,nugget,eff_range_rows_px,eff_range_cols_px,tile_min,tile_max,pred_min,pred_max,rmse_to_raw,gradients_computed
nuclei,paper_fast_gp,1,1,0,0,282,240,0.6639409024734176,162.81761432751335,0.002405697611222124,0.051850080490112305,35.503950708599106,23.688954278724278,0.1705972631730777,7.914612159822017,10.089090349363909,0.5333333333333333,1.0,0.5775725105550776,0.9654932957931484,0.019803842179129443,False
nuclei,paper_fast_gp,1,2,282,0,282,240,0.7016616144111489,187.98721159893262,0.0027775888238612974,0.026361942291259766,35.503950708599106,23.688954278724278,0.1705972631730777,7.914612159822017,10.089090349363909,0.5607843137254902,1.0,0.6320849720279502,1.0219212528419306,0.021256775480483284,False
nuclei,paper_fast_gp,1,3,564,0,282,240,0.6979367415676632,187.7826273895773,0.0027745660075292155,0.03124403953552246,35.503950708599106,23.688954278724278,0.1705972631730777,7.914612159822017,10.089090349363909,0.5294117647058824,1.0,0.5898502246621421,0.9810058492200062,0.021199522262004594,False
nuclei,paper_fast_gp,1,4,846,0,282,240,0.6808383496204795,164.05330758110915,0.002423955490264615,0.023051977157592773,35.503950708599106,23.688954278724278,0.1705972631730777,7.914612159822017,10.089090349363909,0.5294117647058824,1.0,0.5723617410672436,0.9990780526112393,0.019882235323569995,False
nuclei,paper_fast_gp,2,1,0,240,282,240,0.662758217605824,151.7575478018516,0.002242280552627831,0.028157949447631836,35.503950708599106,23.688954278724278,0.1705972631730777,7.914612159822017,10.089090349363909,0.5372549019607843,0.9764705882352941,0.5697069254079052,0.9118141497265178,0.0192330849878433,False
nuclei,paper_fast_gp,2,2,282,240,282,240,0.6762130410985042,168.2398925947499,0.0024858140158798745,0.020870208740234375,35.503950708599106,23.688954278724278,0.1705972631730777,7.914612159822017,10.089090349363909,0.4117647058823529,1.0,0.44506993887505025,0.9548361859569465,0.020113017692680438,False
nuclei,paper_fast_gp,2,3,564,240,282,240,0.6527540777020314,162.10501756233262,0.002395168699207042,0.025016069412231445,35.503950708599106,23.688954278724278,0.1705972631730777,7.914612159822017,10.089090349363909,0.4980392156862745,0.996078431372549,0.5584458869095812,0.9381642483159716,0.01976822226585701,False
nuclei,paper_fast_gp,2,4,846,240,282,240,0.6415546197156821,148.9421890610367,0.0022006824624857665,0.020095109939575195,35.503950708599106,23.688954278724278,0.1705972631730777,7.914612159822017,10.089090349363909,0.5098039215686274,1.0,0.5498035727805973,1.0235781799239148,0.018846827076707973,False
nuclei,paper_fast_gp,3,1,0,480,282,240,0.6958819648936945,173.1983645333858,0.0025590774901504995,0.025081872940063477,35.503950708599106,23.688954278724278,0.1705972631730777,7.914612159822017,10.089090349363909,0.5647058823529412,1.0,0.6164469979923171,0.9679668678153914,0.02045024947205278,False
nuclei,paper_fast_gp,3,2,282,480,282,240,0.686549784226677,176.52050400947377,0.002608163475317284,0.02320408821105957,35.503950708599106,23.688954278724278,0.1705972631730777,7.914612159822017,10.089090349363909,0.5254901960784314,1.0,0.6285652678131762,1.0094044477107873,0.02064256878608465,False
nuclei,paper_fast_gp,3,3,564,480,282,240,0.663681405732035,176.94337454897112,0.002614411562484798,0.018213987350463867,35.503950708599106,23.688954278724278,0.1705972631730777,7.914612159822017,10.089090349363909,0.5058823529411764,1.0,0.561323194087401,0.9524722442920818,0.02057631507824979,False
nuclei,paper_fast_gp,3,4,846,480,282,240,0.6166466598040038,144.15930017797572,0.0021300133005020053,0.027250051498413086,35.503950708599106,23.688954278724278,0.1705972631730777,7.914612159822017,10.089090349363909,0.49411764705882355,1.0,0.5476471928296021,0.9306223987649519,0.018734254641144966,False
