arm,label,is_probe,power,seed,sigma,rmse,rel_l1,rel_l2,rel_linf,edge_band_rmse,interior_rmse,edge_interior_ratio,edge_band_px,edge_sharpness_ratio,grad_rmse_band,grad_corr,boundary_precision,boundary_recall,boundary_f1,pred_boundary_px,true_boundary_px,fg_iou_fixed_thr,boundary_f1_otsu,fg_iou_otsu,otsu_threshold,invalid,runtime_s,final_loss,n_iters,lengthscale_0,lengthscale_1,outputscale,noise,n_nonfinite_loss,n_cholesky_retries,failed,failure_reason,inference,num_inducing,init_lengthscale,init_noise,lr,nu,dtype,n_train,loss_first,loss_min,tail_improve_frac,converged
identity_noisy,no smoothing,0,,1,0.1,0.10029407668861164,0.48140642330482014,0.2990099825907299,0.37516349672663585,0.10389988118146944,0.09871917335768503,1.0524792464075177,1223,1.1930444596783687,0.44200378759031056,0.9600906030183487,0.9656652360515021,1.0,0.982532751091703,233,225,0.9964788732394366,0.9933774834437086,0.9946996466431095,0.455103890857408,0.0,0.0,,0,,,,,0,0,0,,exact,,,,,,,,,,,
qep_q3p0,q=3.0 (probe),1,3.0,1,0.1,0.09011232875013638,0.32244097488915774,0.26865480734664315,0.482294655844622,0.15460118233765782,0.03744774123452216,4.128451469728026,1223,1.050451229876486,0.7166048715477726,0.9398178717012964,1.0,1.0,1.0,230,225,0.9608843537414966,1.0,0.9703832752613241,0.4323450671910412,0.0,154.4628119468689,-0.3714225109632696,400,0.04354641164777141,0.04119534566547007,0.9250645280219988,0.2772549885555736,0,0,0,,exact,0.0,0.04,0.1,0.02,2.5,float64,4096.0,0.07816319256187332,-0.3800078194519041,-0.01631264391342242,1.0
qep_q2p0,q=2.0,0,2.0,1,0.1,0.09016081358340733,0.32186007837532105,0.26879935675206085,0.4816333507301494,0.15476942040350708,0.03731807097650634,4.1473049478077915,1223,1.0507841826278643,0.718710208982644,0.9393894003528246,1.0,1.0,1.0,230,225,0.9608843537414966,1.0,0.9721254355400697,0.43221912167628523,0.0,165.19458889961243,-0.3687473090128366,400,0.044064674635592854,0.04143646464555022,0.058944363559470386,0.01734460779996642,0,0,0,,exact,0.0,0.04,0.1,0.02,2.5,float64,4096.0,0.2414536761867061,-0.4327614990413895,0.0018565019067543031,1.0
qep_q1p8,q=1.8,0,1.8,1,0.1,0.0896912107242631,0.32240094603513836,0.267399314522516,0.4855589549337345,0.15344310986215415,0.038029476904924864,4.034846712348101,1223,1.0524008066897248,0.7054398286296736,0.9417892996949666,1.0,1.0,1.0,230,225,0.9625212947189097,1.0,0.9738219895287958,0.4337421389166136,0.0,185.8887550830841,-0.3675059627188304,400,0.04325570309261507,0.04054796861733924,0.02323644674789244,0.0067754189163587615,0,0,0,,exact,0.0,0.04,0.1,0.02,2.5,float64,4096.0,0.5221191495736226,-0.4315583305238603,0.008357318695582495,1.0
qep_q1p5,q=1.5,0,1.5,1,0.1,0.08296541028238448,0.39071436048145136,0.24734746759960385,0.38062506010957686,0.10312372151801924,0.07270765054901548,1.418333844366198,1223,1.1652206339918825,0.41388614580197386,0.966788346470707,1.0,1.0,1.0,225,225,1.0,1.0,1.0,0.3770973433070859,0.0,255.89676785469055,0.005651797368169786,400,0.05790963611290908,0.05155698501500493,0.1179862813685372,0.0002489095145387248,0,0,0,,exact,0.0,0.04,0.1,0.02,2.5,float64,4096.0,0.9823110477019678,-0.3532792150153814,0.06909153159250027,0.0
qep_q1p2,q=1.2,0,1.2,1,0.1,0.10030527348541796,0.34778519775296346,0.2990433639640739,0.5092098643094456,0.17567099763629324,0.034744933919451396,5.056017606582542,1223,1.0537758122801355,0.9329085331568795,0.8834477807510258,1.0,1.0,1.0,229,225,0.9395973154362416,1.0,0.9518900343642611,0.4250727733973113,0.0,196.7450258731842,-0.6805978486195423,400,0.2510953884610053,0.28277432758456117,0.327544658182092,0.00010969358499562405,0,0,0,,exact,0.0,0.04,0.1,0.02,2.5,float64,4096.0,1.4307861138368168,-0.6856344768183749,0.27091133144316176,0.0
qep_q1p0,q=1.0,0,1.0,1,0.1,0.10429587331791451,0.3603212906811261,0.3109406686288952,0.5152600126519956,0.1833986748486634,0.03449740448832914,5.316303576134524,1223,1.036471938705978,1.0077364346629232,0.8604308501234242,1.0,1.0,1.0,232,225,0.9365609348914858,1.0,0.9421768707482994,0.41566900081228375,0.0,176.66946721076965,-0.2548195591520952,400,0.31678055412024,0.31468737044070877,0.38772632790531525,0.00010749838769741957,0,0,0,,exact,0.0,0.04,0.1,0.02,2.5,float64,4096.0,1.746165965683519,-0.27302095770239276,0.01278247510367245,0.0
gp_control,GP control,0,,1,0.1,0.08996120377017516,0.32177159338042466,0.26820425354407385,0.482195531731976,0.15429182701724733,0.03747282927136416,4.117432017207023,1223,1.0514933064444354,0.7140730406599743,0.9402365639368858,1.0,1.0,1.0,230,225,0.9608843537414966,1.0,0.9721254355400697,0.4302298024666662,0.0,163.78640508651733,-0.37218457849309483,400,0.043724219789512575,0.04124065317445107,0.05903988222861129,0.017279016935382693,0,0,0,,exact,0.0,0.04,0.1,0.02,2.5,float64,4096.0,0.23567107032330714,-0.4241144873698812,0.0016392355714423409,1.0
identity_noisy,no smoothing,0,,2,0.1,0.1001896757105831,0.4834052764663564,0.2986987285700195,0.36721343605673384,0.09994497180262328,0.10029366191659492,0.9965233085789448,1223,1.1895754611415525,0.41600040971026286,0.9617826787160724,1.0,1.0,1.0,225,225,0.9982363315696648,1.0,1.0,0.4491989922077247,0.0,0.0,,0,,,,,0,0,0,,exact,,,,,,,,,,,
qep_q3p0,q=3.0 (probe),1,3.0,2,0.1,0.09003608794672524,0.3246881695255451,0.26842750816753563,0.4704556983912954,0.1544149746083292,0.037513285058207425,4.116274391025246,1223,1.063981309481392,0.7287343674023733,0.9362045219276259,1.0,1.0,1.0,233,225,0.9543918918918919,1.0,0.9772329246935202,0.4358539740905513,0.0,157.05070185661316,-0.36317085574200547,400,0.04508605358124302,0.041662646951202094,0.9562492629366697,0.2841586372064687,0,0,0,,exact,0.0,0.04,0.1,0.02,2.5,float64,4096.0,0.12470125850666491,-0.37228841727613493,-0.007256763284302024,1.0
