sigma,arm,label,power,rmse,rel_l1,rel_l2,rel_linf,edge_band_rmse,interior_rmse,edge_interior_ratio,edge_sharpness_ratio,grad_corr,boundary_f1,boundary_precision,boundary_recall,boundary_f1_otsu,fg_iou_fixed_thr,lengthscale_0,lengthscale_1,noise,outputscale,runtime_s
0.1,qep_q3p0,q=3.0 (probe),3.0,0.09103064838545631,0.32594637587176134,0.27139262344940523,0.4778095330470922,0.1566174404515899,0.03702399764269436,4.2328894110811754,1.052423882025584,0.9337626289026697,1.0,1.0,1.0,1.0,0.9544499824919782,0.04523043539513997,0.04233569984868102,0.28646703647609884,0.937802777278881,155.44036960601807
0.1,qep_q2p0,q=2.0,2.0,0.09108669543920565,0.32641627153868563,0.2715597183479193,0.4763844236433983,0.1566362053808304,0.03718693498527593,4.214711468142549,1.0537061635106724,0.9336282204952887,1.0,1.0,1.0,1.0,0.9539215133159233,0.04585811738868729,0.04279670799987632,0.01788392238530618,0.06098834365864377,164.60501329104105
0.1,qep_q1p8,q=1.8,1.8,0.09052567992356163,0.32653247043495426,0.2698871446017482,0.4745941986990198,0.15521360799617845,0.03777888738939026,4.109419524670861,1.0581018539926557,0.9361899508941796,1.0,1.0,1.0,1.0,0.955533921583655,0.04635770676508199,0.04316675857357164,0.006978092644379076,0.02684633890372141,184.40998498598734
0.1,qep_q1p5,q=1.5,1.5,0.08188521626259777,0.3859170785548585,0.24412705014610026,0.3805830128874879,0.10198879241489489,0.07162015683339247,1.4249861222743243,1.1596010926217353,0.9673391142988192,1.0,1.0,1.0,1.0,0.9982384016030338,0.0639901875774868,0.058550316990016206,0.0002570511596338972,0.1813915944266641,263.07440002759296
0.1,qep_q1p2,q=1.2,1.2,0.10218312918151788,0.3558738744261183,0.30464187603515114,0.5206276923860972,0.1788363839347383,0.03565717202536949,5.016211394639515,1.0554234244407574,0.8712076533697348,1.0,1.0,1.0,1.0,0.9367131333800253,0.2692051173726462,0.3012241581656179,0.00010925480627207464,0.34149583529784994,184.82631675402322
0.1,qep_q1p0,q=1.0,1.0,0.10402918673791228,0.3603003792012463,0.3101455872813574,0.5133073071290961,0.1826070658313511,0.035124884225964215,5.200290859533015,1.0451888220837962,0.8599940554772538,1.0,1.0,1.0,1.0,0.9305285488627852,0.3117453548817663,0.31057958662817053,0.00010748944469206849,0.37518300680666467,174.54480409622192
0.1,gp_control,GP control,,0.0910105594516708,0.32597263279511096,0.2713327316597822,0.476700632569669,0.15653604331251988,0.03710568791553189,4.22032952121205,1.0537654777779994,0.9338265086604464,1.0,1.0,1.0,1.0,0.9544598054151291,0.04573440454079822,0.04276591821170985,0.017875342861323574,0.0609405031035185,163.57093532880148
0.1,identity_noisy,no smoothing,,0.10023449565659852,0.4829542375487223,0.29883235172823847,0.3770074866291592,0.1013304818468445,0.09975456309604248,1.0159875164361274,1.185885403481374,0.9602479910242172,0.9912407261348261,0.9827326623810683,1.0,0.9977924944812363,0.9976505121262554,,,,,0.0
0.25,qep_q3p0,q=3.0 (probe),3.0,0.1461967457246893,0.6990799645779869,0.43586109805549916,0.611705562433812,0.16955545550586115,0.13500937073186983,1.256104782004357,1.2298933756842492,0.8370212608646139,0.8772918191538098,0.7817432246193275,1.0,0.9396202419954011,0.9131559179764782,0.0184824521323179,0.01795279260481451,0.6486567729502012,1.4743248436580734,158.30660239855447
0.25,qep_q2p0,q=2.0,2.0,0.12214183780911107,0.49399317608449894,0.36414542117270504,0.5430135878299713,0.20214655531589,0.06221774085592425,3.2503734097108024,0.9778982832017986,0.8247135798365869,1.0,1.0,1.0,1.0,0.8990630784079942,0.05961821463680487,0.05865863728514887,0.07330414774927418,0.07933707977471749,156.96617499987283
0.25,qep_q1p8,q=1.8,1.8,0.1232307464080809,0.498616764805434,0.36739181968367346,0.545332245712499,0.20420814309672922,0.062408336149003284,3.2740311295390394,0.9821521596351213,0.8150237587327638,1.0,1.0,1.0,1.0,0.8932243194944083,0.06995153800004335,0.06945600574143466,0.029340015037044084,0.04748406850729447,157.15164828300476
0.25,qep_q1p5,q=1.5,1.5,0.12686872755566117,0.5740616940388419,0.37823785083046496,0.5679526596331576,0.17760200956264513,0.09754141183714297,1.8230411317337454,1.170320066842989,0.8692603541645241,0.982726239383413,0.9660685939613628,1.0,0.9971509971509972,0.9186394901592702,0.06524182751828449,0.05958554305825731,0.0034467365605670556,0.057691814089117464,184.93774795532227
0.25,qep_q1p2,q=1.2,1.2,0.13584730495284772,0.627472967352869,0.4050059747303196,0.593742500953469,0.17930893725118516,0.11153398274981226,1.6451854123133545,1.2337995537303745,0.8521893188006912,0.9665535998928965,0.9360440626000792,1.0,0.979113767464875,0.9149181534391974,0.16120329898502275,0.16425561421608317,0.00014125468905428458,0.2911428115602616,227.1077825228373
0.25,qep_q1p0,q=1.0,1.0,0.12414625073626555,0.5398880023055591,0.3701212424199946,0.5498262770731275,0.187420953199549,0.08378248076952492,2.2368951129751036,1.1122879598384516,0.850860472750596,0.9971567486299046,0.9943376492227793,1.0,0.9971076143151132,0.9095512899754222,0.22345144904228534,0.2409189298297918,0.00011079875240461636,0.22122902172760397,197.61472765604654
0.25,gp_control,GP control,,0.12216870019034798,0.4948633371360302,0.3642255068608253,0.5430544274757851,0.2019689124855907,0.06253251502568767,3.231674950733017,0.9789864206356098,0.8251853145626166,1.0,1.0,1.0,1.0,0.8990630784079942,0.059401463352474225,0.05869364163214089,0.07323160460702767,0.07994791186288475,156.8898310661316
0.25,identity_noisy,no smoothing,,0.2505862391414963,1.2073855938718057,0.7470808793205962,0.942518716572898,0.2533262046171112,0.2493864077401062,1.0159875164361276,1.5165121870253293,0.756604360819232,0.48684744839039157,0.3217777300657799,1.0,0.48660011793181995,0.6256070103737565,,,,,0.0
