arm,label,is_probe,power,seed,sigma,rmse,rel_l1,rel_l2,rel_linf,edge_band_rmse,interior_rmse,edge_interior_ratio,edge_band_px,edge_sharpness_ratio,grad_rmse_band,grad_corr,boundary_precision,boundary_recall,boundary_f1,pred_boundary_px,true_boundary_px,fg_iou_fixed_thr,boundary_f1_otsu,fg_iou_otsu,otsu_threshold,invalid,runtime_s,final_loss,n_iters,lengthscale_0,lengthscale_1,outputscale,noise,n_nonfinite_loss,n_cholesky_retries,failed,failure_reason,inference,num_inducing,init_lengthscale,init_noise,lr,nu,dtype,learn_noise,n_train,loss_first,loss_min,tail_improve_frac,converged
identity_noisy,no smoothing,0,,1,0.1,0.10029407668861164,0.48140642330482014,0.2990099825907299,0.37516349672663585,0.10389988118146944,0.09871917335768503,1.0524792464075177,1223,1.1930444596783687,0.44200378759031056,0.9600906030183487,0.9656652360515021,1.0,0.982532751091703,233,225,0.9964788732394366,0.9933774834437086,0.9946996466431095,0.455103890857408,0.0,0.0,,0,,,,,0,0,0,,exact,,,,,,,,,,,,
qep_q3p0,q=3.0 (probe),1,3.0,1,0.1,0.08047420885390746,0.3788181999823636,0.2399203680105461,0.3689988661614345,0.09901682301265007,0.07112883623718225,1.3920770850583595,1223,1.1337472056745141,0.401950808376254,0.968469604069045,1.0,1.0,1.0,225,225,1.0,1.0,0.9982363315696648,0.366592240340699,0.0,151.25544810295105,-0.3005091748233353,400,0.021118099449293402,0.020369100241377704,1.0019701351444619,0.09999999999999999,0,0,0,,exact,0.0,0.04,0.1,0.02,2.5,float64,False,4096.0,0.08175319848170459,-0.3105186232010706,0.0005997550437658229,1.0
qep_q2p0,q=2.0,0,2.0,1,0.1,0.1262216006318382,0.43533701315478623,0.37630855035116495,0.5288927746658334,0.2265931962074711,0.02927798460446949,7.739371383263863,1223,0.8531590836508467,1.2952314275757686,0.7435688526677772,1.0,1.0,1.0,231,225,0.8736176935229067,1.0,0.8703125,0.37576975632416537,0.0,152.87894892692566,-0.020449956414667514,400,0.10769842662531184,0.10787812133588807,0.17981023519982225,0.09999999999999999,0,0,0,,exact,0.0,0.04,0.1,0.02,2.5,float64,False,4096.0,0.23884007234423044,-0.025652351132216755,0.015830316502044365,0.0
qep_q1p8,q=1.8,0,1.8,1,0.1,0.13374348805554073,0.46785154183222033,0.39873379720391455,0.5392643506781056,0.24040498518820158,0.029988523582816024,8.016566221551436,1223,0.7918100164527204,1.3613336177762316,0.7037678004351822,1.0,1.0,1.0,230,225,0.8620689655172413,0.9977728285077951,0.8259587020648967,0.3557405503550737,0.0,153.58214712142944,0.2598815906793175,400,0.12397029055601844,0.1238611636480358,0.1694128343605217,0.09999999999999999,0,0,0,,exact,0.0,0.04,0.1,0.02,2.5,float64,False,4096.0,0.5211002546817889,0.25585442586100665,-0.0003001323448817162,1.0
qep_q1p5,q=1.5,0,1.5,1,0.1,0.1269455893647527,0.4374305820073111,0.37846700143394185,0.5291356596216479,0.22809438620676178,0.028774161878389767,7.927055779096986,1223,0.8451348449450737,1.3024456816046603,0.7399695366285115,1.0,1.0,1.0,230,225,0.8736176935229067,1.0,0.8637770897832817,0.37278939445010095,0.0,153.33339595794678,0.746076190868606,400,0.10571185467295192,0.105887638562526,0.15693960290535142,0.09999999999999999,0,0,0,,exact,0.0,0.04,0.1,0.02,2.5,float64,False,4096.0,0.9768838749665919,0.7395710289496819,-0.004979195273067367,1.0
qep_q1p2,q=1.2,0,1.2,1,0.1,0.11612146660172441,0.38926452633152986,0.34619669329818215,0.5231201060178521,0.20810945794363223,0.028069870753878755,7.413979913494088,1223,0.9234437937095193,1.187551644448893,0.7986575610864184,1.0,1.0,1.0,232,225,0.8998384491114702,1.0,0.9154228855721394,0.3971269912150851,0.0,153.5164122581482,1.259878758117791,400,0.0793906211163155,0.08022287737374212,0.1447703468076343,0.09999999999999999,0,0,0,,exact,0.0,0.04,0.1,0.02,2.5,float64,False,4096.0,1.4382111799887505,1.252042194447683,0.008976076900773431,1.0
qep_q1p0,q=1.0,0,1.0,1,0.1,0.11049273659663104,0.36767691354367876,0.3294155780379427,0.517009409493483,0.19746803030425317,0.028400989450252986,6.952857422454843,1223,0.9575087784366398,1.113311068591259,0.8298516004031309,1.0,1.0,1.0,230,225,0.9285714285714286,1.0,0.937394247038917,0.4059671699663056,0.0,157.74928307533264,1.60055056725849,400,0.06920942631382995,0.06820884069161061,0.14943433680607224,0.09999999999999999,0,0,0,,exact,0.0,0.04,0.1,0.02,2.5,float64,False,4096.0,1.7389666534153807,1.5956090274388766,-0.01217238706441112,1.0
gp_control,GP control,0,,1,0.1,0.1262892735880407,0.43594844956350925,0.37651030592960044,0.530219332526207,0.22669055614297737,0.029373056588686636,7.717635904132966,1223,0.8525902817020972,1.2962429970773341,0.7429614963206245,1.0,1.0,1.0,231,225,0.8748019017432647,1.0,0.871875,0.37586155106817115,0.0,153.6037781238556,-0.017732394880134228,400,0.1077283054845783,0.10896034160365059,0.18171533436766912,0.09999999999999999,0,0,0,,exact,0.0,0.04,0.1,0.02,2.5,float64,False,4096.0,0.23727398467809613,-0.024164898324589457,-0.011923006393695576,1.0
identity_noisy,no smoothing,0,,2,0.1,0.1001896757105831,0.4834052764663564,0.2986987285700195,0.36721343605673384,0.09994497180262328,0.10029366191659492,0.9965233085789448,1223,1.1895754611415525,0.41600040971026286,0.9617826787160724,1.0,1.0,1.0,225,225,0.9982363315696648,1.0,1.0,0.4491989922077247,0.0,0.0,,0,,,,,0,0,0,,exact,,,,,,,,,,,,
qep_q3p0,q=3.0 (probe),1,3.0,2,0.1,0.07979690096106276,0.38062421711836775,0.23790108802976678,0.39167672085716376,0.09400734969211433,0.07291205033854706,1.2893252796433106,1223,1.138126878495996,0.3849178161641395,0.9694790269514594,1.0,1.0,1.0,226,225,0.9982363315696648,1.0,1.0,0.44685520220477243,0.0,156.42294073104858,-0.28239615819291286,400,0.02112271663582695,0.019845375715224666,1.0262197128647788,0.09999999999999999,0,0,0,,exact,0.0,0.04,0.1,0.02,2.5,float64,False,4096.0,0.12556384153673505,-0.2929767288532845,-0.0003789342361741948,1.0
