sigma,arm,label,power,rmse,rel_l1,rel_l2,rel_linf,edge_band_rmse,interior_rmse,edge_interior_ratio,edge_sharpness_ratio,grad_corr,boundary_f1,boundary_precision,boundary_recall,boundary_f1_otsu,fg_iou_fixed_thr,lengthscale_0,lengthscale_1,noise,outputscale,runtime_s
0.1,qep_q3p0,q=3.0 (probe),3.0,0.08013555490748511,0.3797212085503657,0.23891072802015645,0.38033779350929914,0.0965120863523822,0.07202044328786465,1.340701182350835,1.135937042085255,0.9689743155102521,1.0,1.0,1.0,1.0,0.9991181657848325,0.021120408042560178,0.020107237978301183,0.09999999999999999,1.0140949240046204,153.83919441699982
0.1,qep_q2p0,q=2.0,2.0,0.12552167975245537,0.4352016847061754,0.37422185354045573,0.5374268647011616,0.2247358107741165,0.030971073041038397,7.281351799968352,0.8635579790940594,0.7448012843147768,1.0,1.0,1.0,1.0,0.8739157650004471,0.1067126241796452,0.10770405663640034,0.09999999999999999,0.18096922238081814,154.71394050121307
0.1,qep_q1p8,q=1.8,1.8,0.1329250135966078,0.4670872729360259,0.39629365276271966,0.5472166258754543,0.2383659541786312,0.03162611133966383,7.5606078609993705,0.802359076245998,0.7059954153694166,1.0,1.0,1.0,0.9988864142538976,0.8617198410140724,0.1222478000283774,0.12347470433989463,0.09999999999999999,0.1696993980295482,156.86582744121552
0.1,qep_q1p5,q=1.5,1.5,0.12615978796229257,0.4358094217940376,0.3761242662353431,0.5379152089286354,0.2261947893598694,0.03015284426789768,7.520209349186895,0.8559427557628281,0.7415753646172827,1.0,1.0,1.0,1.0,0.8724446395401033,0.10484157441780798,0.10562564468032573,0.09999999999999999,0.15874033520257128,155.2196705341339
0.1,qep_q1p2,q=1.2,1.2,0.1156815132291231,0.39009402178814573,0.3448850460441705,0.5336338773208673,0.2068691787260435,0.029320248155308634,7.0701677747280876,0.9329643943608272,0.7982622821739674,1.0,1.0,1.0,1.0,0.897919224555735,0.07944190758440689,0.08065238998773247,0.09999999999999999,0.14758882893353567,155.18033874034882
0.1,qep_q1p0,q=1.0,1.0,0.11020964395287702,0.36886500003216327,0.3285715847606202,0.5241685632517372,0.19659459700930132,0.02937511212847322,6.700911387001238,0.9665134372881437,0.8286924946903474,1.0,1.0,1.0,1.0,0.9226190476190477,0.06945389051554579,0.06873220020841161,0.09999999999999999,0.15187677117448634,157.1292839050293
0.1,gp_control,GP control,,0.12550919836484184,0.4350682475977234,0.3741846423748889,0.5383863981628214,0.2247235973723054,0.030943007438021232,7.284477294302693,0.8635340627023718,0.7445784895946639,1.0,1.0,1.0,1.0,0.872935542066601,0.10644138751636617,0.10849160856152439,0.09999999999999999,0.18205764246926845,154.47697257995605
0.1,identity_noisy,no smoothing,,0.10024187619959737,0.48240584988558827,0.2988543555803747,0.37118846639168485,0.10192242649204636,0.09950641763713997,1.0245012774932312,1.1913099604099606,0.9609366408672105,0.9912663755458515,0.9828326180257511,1.0,0.9966887417218543,0.9973576024045507,,,,,0.0
0.25,qep_q3p0,q=3.0 (probe),3.0,0.206817330551115,0.9967113068756915,0.6165912130538822,0.7624930902451175,0.2129286869673616,0.20412010348098258,1.04354083886809,1.419051503463682,0.7874295619322647,0.567007774546626,0.3956829779854998,1.0,0.6166270137251806,0.7374212621420292,0.01326614101465447,0.012775805055274484,0.24999999999999997,1.8667850087663234,157.71996295452118
0.25,qep_q2p0,q=2.0,2.0,0.15144660711080032,0.5858767419720314,0.451512680018196,0.6075284377284116,0.2668417174504142,0.04879051328232295,5.482179657509798,0.6793369312263462,0.6333577985684358,0.9966542713967548,1.0,0.9933333333333334,0.9901502521042165,0.8149710766060095,0.13231003821829254,0.11843064543700373,0.24999999999999997,0.16231437850774838,156.87412238121033
