arm,label,is_probe,power,seed,sigma,rmse,rel_l1,rel_l2,rel_linf,edge_band_rmse,interior_rmse,edge_interior_ratio,edge_band_px,edge_sharpness_ratio,grad_rmse_band,grad_corr,boundary_precision,boundary_recall,boundary_f1,pred_boundary_px,true_boundary_px,fg_iou_fixed_thr,boundary_f1_otsu,fg_iou_otsu,otsu_threshold,invalid,runtime_s,final_loss,n_iters,lengthscale_0,lengthscale_1,outputscale,noise,n_nonfinite_loss,n_cholesky_retries,failed,failure_reason,inference,num_inducing,init_lengthscale,init_noise,lr,nu,dtype,n_train,loss_first,loss_min,tail_improve_frac,converged,inference_mode,snr_ratio
identity_noisy,no smoothing,0,,1,0.1,0.1002940766886116,0.4814064233048201,0.2990099825907299,0.3751634967266358,0.1038998811814694,0.098719173357685,1.0524792464075177,1223,1.1930444596783687,0.4420037875903105,0.9600906030183488,0.965665236051502,1.0,0.982532751091703,233,225,0.9964788732394366,0.9933774834437086,0.9946996466431096,0.455103890857408,0.0,0.0,,0,,,,,0,0,0,,exact,,,,,,,,,,,,exact,
qep_q3p0,q=3.0 (probe),1,3.0,1,0.1,0.0901123287501363,0.3224409748891577,0.2686548073466431,0.482294655844622,0.1546011823376578,0.0374477412345221,4.128451469728026,1223,1.050451229876486,0.7166048715477726,0.9398178717012964,1.0,1.0,1.0,230,225,0.9608843537414966,1.0,0.970383275261324,0.4323450671910412,0.0,154.4628119468689,-0.3714225109632696,400,0.0435464116477714,0.04119534566547,0.9250645280219988,0.2772549885555736,0,0,0,,exact,0.0,0.04,0.1,0.02,2.5,float64,4096.0,0.0781631925618733,-0.3800078194519041,-0.0163126439134224,1.0,exact,3.336511753463281
qep_q2p0,q=2.0,0,2.0,1,0.1,0.0901608135834073,0.321860078375321,0.2687993567520608,0.4816333507301494,0.154769420403507,0.0373180709765063,4.1473049478077915,1223,1.0507841826278643,0.718710208982644,0.9393894003528246,1.0,1.0,1.0,230,225,0.9608843537414966,1.0,0.9721254355400696,0.4322191216762852,0.0,165.19458889961243,-0.3687473090128366,400,0.0440646746355928,0.0414364646455502,0.0589443635594703,0.0173446077999664,0,0,0,,exact,0.0,0.04,0.1,0.02,2.5,float64,4096.0,0.2414536761867061,-0.4327614990413895,0.0018565019067543,1.0,exact,3.3984258531106417
qep_q1p8,q=1.8,0,1.8,1,0.1,0.0896912107242631,0.3224009460351383,0.267399314522516,0.4855589549337345,0.1534431098621541,0.0380294769049248,4.034846712348101,1223,1.0524008066897248,0.7054398286296736,0.9417892996949666,1.0,1.0,1.0,230,225,0.9625212947189096,1.0,0.9738219895287958,0.4337421389166136,0.0,185.8887550830841,-0.3675059627188304,400,0.043255703092615,0.0405479686173392,0.0232364467478924,0.0067754189163587,0,0,0,,exact,0.0,0.04,0.1,0.02,2.5,float64,4096.0,0.5221191495736226,-0.4315583305238603,0.0083573186955824,1.0,exact,3.4295217808289142
qep_q1p5,q=1.5,0,1.5,1,0.1,0.0829654102823844,0.3907143604814513,0.2473474675996038,0.3806250601095768,0.1031237215180192,0.0727076505490154,1.418333844366198,1223,1.1652206339918825,0.4138861458019738,0.966788346470707,1.0,1.0,1.0,225,225,1.0,1.0,1.0,0.3770973433070859,0.0,255.89676785469055,0.0056517973681697,400,0.057909636112909,0.0515569850150049,0.1179862813685372,0.0002489095145387,0,0,0,,exact,0.0,0.04,0.1,0.02,2.5,float64,4096.0,0.9823110477019678,-0.3532792150153814,0.0690915315925002,0.0,exact,474.01274148639624
qep_q1p2,q=1.2,0,1.2,1,0.1,0.1003052734854179,0.3477851977529634,0.2990433639640739,0.5092098643094456,0.1756709976362932,0.0347449339194513,5.056017606582542,1223,1.0537758122801355,0.9329085331568796,0.8834477807510258,1.0,1.0,1.0,229,225,0.9395973154362416,1.0,0.9518900343642612,0.4250727733973113,0.0,196.7450258731842,-0.6805978486195423,400,0.2510953884610053,0.2827743275845611,0.327544658182092,0.0001096935849956,0,0,0,,exact,0.0,0.04,0.1,0.02,2.5,float64,4096.0,1.4307861138368168,-0.6856344768183749,0.2709113314431617,0.0,exact,2985.996475502468
qep_q1p0,q=1.0,0,1.0,1,0.1,0.1042958733179145,0.3603212906811261,0.3109406686288952,0.5152600126519956,0.1833986748486634,0.0344974044883291,5.316303576134524,1223,1.036471938705978,1.0077364346629232,0.8604308501234242,1.0,1.0,1.0,232,225,0.9365609348914858,1.0,0.9421768707482994,0.4156690008122837,0.0,176.66946721076965,-0.2548195591520952,400,0.31678055412024,0.3146873704407087,0.3877263279053152,0.0001074983876974,0,0,0,,exact,0.0,0.04,0.1,0.02,2.5,float64,4096.0,1.746165965683519,-0.2730209577023927,0.0127824751036724,0.0,exact,3606.810634190497
gp_control,GP control,0,,1,0.1,0.0899612037701751,0.3217715933804246,0.2682042535440738,0.482195531731976,0.1542918270172473,0.0374728292713641,4.117432017207023,1223,1.0514933064444354,0.7140730406599743,0.9402365639368858,1.0,1.0,1.0,230,225,0.9608843537414966,1.0,0.9721254355400696,0.4302298024666662,0.0,163.78640508651733,-0.3721845784930948,400,0.0437242197895125,0.041240653174451,0.0590398822286112,0.0172790169353826,0,0,0,,exact,0.0,0.04,0.1,0.02,2.5,float64,4096.0,0.2356710703233071,-0.4241144873698812,0.0016392355714423,1.0,exact,3.4168542371015342
identity_noisy,no smoothing,0,,2,0.1,0.1001896757105831,0.4834052764663564,0.2986987285700195,0.3672134360567338,0.0999449718026232,0.1002936619165949,0.9965233085789448,1223,1.1895754611415523,0.4160004097102628,0.9617826787160724,1.0,1.0,1.0,225,225,0.9982363315696648,1.0,1.0,0.4491989922077247,0.0,0.0,,0,,,,,0,0,0,,exact,,,,,,,,,,,,exact,
qep_q3p0,q=3.0 (probe),1,3.0,2,0.1,0.0900360879467252,0.3246881695255451,0.2684275081675356,0.4704556983912954,0.1544149746083292,0.0375132850582074,4.116274391025246,1223,1.063981309481392,0.7287343674023733,0.936204521927626,1.0,1.0,1.0,233,225,0.954391891891892,1.0,0.9772329246935202,0.4358539740905513,0.0,157.05070185661316,-0.3631708557420054,400,0.045086053581243,0.041662646951202,0.9562492629366696,0.2841586372064687,0,0,0,,exact,0.0,0.04,0.1,0.02,2.5,float64,4096.0,0.1247012585066649,-0.3722884172761349,-0.007256763284302,1.0,exact,3.365195133033602
qep_q2p0,q=2.0,0,2.0,2,0.1,0.0900787205191912,0.325368175241765,0.2685546100380723,0.4689391207882901,0.1542786262208688,0.0378960577752312,4.071099615055598,1223,1.065614217962949,0.7273339084465755,0.9363968313084414,1.0,1.0,1.0,233,225,0.954391891891892,1.0,0.9807355516637478,0.433677157818564,0.0,166.17369103431702,-0.3634882692030805,400,0.0455767520250469,0.041955601369253,0.0620457676855535,0.0177194645709952,0,0,0,,exact,0.0,0.04,0.1,0.02,2.5,float64,4096.0,0.2449793372617598,-0.4197930066876958,-0.0076652223726523,1.0,exact,3.501559961756155
qep_q1p8,q=1.8,0,1.8,2,0.1,0.0897299820225809,0.3252133212085484,0.2675149046512433,0.4680730398076824,0.1535257168387859,0.0380179467161518,4.038243253509555,1223,1.068848319923488,0.7193402924612011,0.9377548523738414,1.0,1.0,1.0,232,225,0.9560067681895094,1.0,0.9790209790209792,0.4340074268243514,0.0,187.06786370277405,-0.3613577546758996,400,0.0460779112493992,0.0426915403189372,0.0267709385592826,0.0069546482751591,0,0,0,,exact,0.0,0.04,0.1,0.02,2.5,float64,4096.0,0.5297974029802992,-0.4235103106841239,0.0038346811122168,1.0,exact,3.8493590905098887
qep_q1p5,q=1.5,0,1.5,2,0.1,0.0820675729931519,0.389153772752235,0.2446707161793156,0.4167492777519002,0.1003108614705713,0.0729297387876904,1.375445231781119,1223,1.1677290376217409,0.3959484094410137,0.9682775585286308,1.0,1.0,1.0,226,225,0.9964788732394366,1.0,0.9964664310954064,0.4433565611404654,0.0,272.88955426216125,0.1835824806517478,400,0.0683092142526038,0.0664735683264738,0.2573706146967804,0.0002256572250822,0,0,0,,exact,0.0,0.04,0.1,0.02,2.5,float64,4096.0,0.9727014130621504,-0.3655187565055613,0.0770578151975992,0.0,exact,1140.5378870675565
qep_q1p2,q=1.2,0,1.2,2,0.1,0.1023258305140295,0.3564135421183576,0.3050673161444656,0.5312903441744636,0.1788028592236099,0.0363090057552739,4.924476875757973,1223,1.0641106523244903,0.97674016743966,0.8681749787554357,1.0,1.0,1.0,235,225,0.9368770764119602,1.0,0.9620034542314336,0.4249594303780022,0.0,179.65566611289978,-0.7017056522541152,400,0.2802873512100277,0.3046419089257454,0.3547036647061538,0.0001091346226843,0,0,0,,exact,0.0,0.04,0.1,0.02,2.5,float64,4096.0,1.4402667629349473,-0.7608205434030402,-0.0099215092651397,1.0,exact,3250.1478997387057
qep_q1p0,q=1.0,0,1.0,2,0.1,0.1034615001740354,0.3592506079936157,0.3084531249227992,0.5215820532216444,0.1812335736364166,0.0357630768912975,5.0676169219801555,1223,1.0567337624450377,1.0002279635728346,0.8607191184338545,1.0,1.0,1.0,237,225,0.9258649093904447,1.0,0.9569707401032702,0.4224354369198058,0.0,182.6604769229889,-0.2439740285748599,400,0.2933492227017406,0.3057958095201159,0.3192348253220546,0.0001076222687594,0,0,0,,exact,0.0,0.04,0.1,0.02,2.5,float64,4096.0,1.7609627874005764,-0.2708213910114119,0.0016131714150935,1.0,exact,2966.252514484107
gp_control,GP control,0,,2,0.1,0.0901174990395201,0.3242044261080677,0.2686702216980153,0.4723720238995702,0.1546400138910035,0.0373971930421346,4.135070076429908,1223,1.0645601638786697,0.7305558422473167,0.9357857766252288,1.0,1.0,1.0,232,225,0.9560067681895094,1.0,0.9807355516637478,0.4340217778661825,0.0,165.05326294898987,-0.3540627991307639,400,0.0455364332794541,0.0421066417889769,0.0613823903416002,0.0177935665323298,0,0,0,,exact,0.0,0.04,0.1,0.02,2.5,float64,4096.0,0.238719354301927,-0.4267526926155205,-0.0209489693273226,1.0,exact,3.449695721769564
identity_noisy,no smoothing,0,,3,0.1,0.1002197345706008,0.4840510128749902,0.298788344023966,0.388645527104108,0.1001465925564407,0.1002508540138475,0.9989599943219198,1223,1.1750362896242006,0.4339944841782545,0.9588706913382306,0.982532751091703,1.0,0.9911894273127752,229,225,0.9982363315696648,1.0,1.0,0.466979847969603,0.0,0.0,,0,,,,,0,0,0,,exact,,,,,,,,,,,,exact,
qep_q3p0,q=3.0 (probe),1,3.0,3,0.1,0.0929435284595072,0.3307099832005812,0.2770955548340368,0.4806782449053592,0.1608361644087827,0.0361109666353534,4.453942372490253,1223,1.042839106718874,0.7862643749219594,0.9252654930790868,1.0,1.0,1.0,235,225,0.948073701842546,1.0,0.9755244755244756,0.429808221157228,0.0,154.80759501457214,-0.3608873926545131,400,0.0470588409564054,0.0441491069293709,0.9320945408779744,0.2979874836662542,0,0,0,,exact,0.0,0.04,0.1,0.02,2.5,float64,4096.0,0.174513792151997,-0.3672786275651936,0.0010779425254705,1.0,exact,3.127965407842162
