inference_mode,sigma,arm,label,power,is_probe,seed,rmse,rel_l1,rel_l2,rel_linf,edge_band_rmse,interior_rmse,edge_interior_ratio,edge_band_px,edge_sharpness_ratio,grad_rmse_band,grad_corr,boundary_precision,boundary_recall,boundary_f1,pred_boundary_px,true_boundary_px,fg_iou_fixed_thr,boundary_f1_otsu,fg_iou_otsu,otsu_threshold,invalid,runtime_s,final_loss,n_iters,lengthscale_0,lengthscale_1,outputscale,noise,n_nonfinite_loss,n_cholesky_retries,failed,failure_reason,num_inducing,init_lengthscale,init_noise,lr,nu,n_train,loss_first,loss_min,tail_improve_frac,converged,snr_ratio,n_seeds
exact,0.1,gp_control,GP control,,0.0,2.0,0.09101055945167076,0.32597263279511096,0.27133273165978217,0.476700632569669,0.15653604331251983,0.037105687915531864,4.22032952121205,1223.0,1.0537654777779994,0.7430968550041923,0.9338265086604464,1.0,1.0,1.0,232.66666666666666,225.0,0.9544598054151291,1.0,0.9766979706324458,0.43258950807013224,0.0,163.57093532880148,-0.36240969083559366,400.0,0.04573440454079817,0.042765918211709796,0.06094050310351843,0.017875342861323498,0.0,0.0,0.0,,0.0,0.04,0.10000000000000002,0.02,2.5,4096.0,0.2381269342842123,-0.420211182312835,-0.006880958026904468,1.0,3.4099218653824135,3
exact,0.1,identity_noisy,no smoothing,,0.0,2.0,0.10023449565659849,0.4829542375487222,0.29883235172823847,0.3770074866291592,0.10133048184684444,0.09975456309604247,1.0159875164361274,1223.0,1.1858854034813737,0.4306662271596093,0.9602479910242172,0.9827326623810683,1.0,0.9912407261348261,229.0,225.0,0.9976505121262554,0.9977924944812363,0.9982332155477032,0.45709424367824525,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,,3
exact,0.1,qep_q1p0,q=1.0,1.0,0.0,2.0,0.10402918673791227,0.3603003792012463,0.3101455872813573,0.5133073071290961,0.18260706583135108,0.0351248842259642,5.200290859533015,1223.0,1.0451888220837962,1.005962639638454,0.8599940554772538,1.0,1.0,1.0,234.0,225.0,0.9305285488627852,1.0,0.9464735494647439,0.4200582379547768,0.0,174.54480409622192,-0.24364119549538865,400.0,0.3117453548817663,0.3105795866281705,0.3751830068066646,0.00010748944469203335,0.0,0.0,0.0,,0.0,0.04,0.10000000000000002,0.02,2.5,4096.0,1.7577785219088478,-0.2903807415769906,-0.0008254756038521006,0.6666666666666666,3490.80966314179,3
exact,0.1,qep_q1p2,q=1.2,1.2,0.0,2.0,0.10218312918151784,0.3558738744261183,0.3046418760351511,0.5206276923860972,0.17883638393473825,0.035657172025369395,5.016211394639515,1223.0,1.0554234244407574,0.9701438339623,0.8712076533697348,1.0,1.0,1.0,232.33333333333334,225.0,0.9367131333800253,1.0,0.9536037656049577,0.42460863977433966,0.0,184.82631675402322,-0.7097972533022717,400.0,0.26920511737264613,0.3012241581656178,0.3414958352978499,0.00010925480627203333,0.0,0.0,0.0,,0.0,0.04,0.10000000000000002,0.02,2.5,4096.0,1.4370665760021781,-0.7353663974110258,0.09735618156210187,0.3333333333333333,3125.930648426742,3
exact,0.1,qep_q1p5,q=1.5,1.5,0.0,2.0,0.08188521626259773,0.3859170785548585,0.24412705014610023,0.3805830128874879,0.10198879241489484,0.0716201568333924,1.4249861222743243,1223.0,1.1596010926217353,0.4084081521887868,0.9673391142988192,1.0,1.0,1.0,225.66666666666666,225.0,0.9982384016030338,1.0,0.9988221436984688,0.4025309671451778,0.0,263.07440002759296,0.09551354676700646,400.0,0.06399018757748674,0.05855031699001617,0.18139159442666408,0.00025705115963383334,0.0,0.0,0.0,,0.0,0.04,0.10000000000000002,0.02,2.5,4096.0,0.9750692554869617,-0.3661527099027743,0.061670998305260134,0.0,727.9176800148771,3
exact,0.1,qep_q1p8,q=1.8,1.8,0.0,2.0,0.0905256799235616,0.3265324704349542,0.2698871446017481,0.4745941986990198,0.15521360799617842,0.0377788873893902,4.109419524670861,1223.0,1.0581018539926557,0.7300984016299924,0.9361899508941796,1.0,1.0,1.0,232.66666666666666,225.0,0.955533921583655,1.0,0.9766919644144317,0.43442193837200743,0.0,184.40998498598734,-0.3631498487988462,400.0,0.04635770676508197,0.0431667585735716,0.026846338903721335,0.006978092644379034,0.0,0.0,0.0,,0.0,0.04,0.10000000000000002,0.02,2.5,4096.0,0.5260872651111349,-0.4308291231808292,0.010160248449478099,0.6666666666666666,3.8389689095262796,3
exact,0.1,qep_q2p0,q=2.0,2.0,0.0,2.0,0.0910866954392056,0.32641627153868563,0.2715597183479193,0.4763844236433983,0.15663620538083037,0.037186934985275866,4.214711468142549,1223.0,1.0537061635106724,0.7441305561866086,0.9336282204952887,1.0,1.0,1.0,233.0,225.0,0.9539215133159233,1.0,0.9766979706324458,0.4329892221779377,0.0,164.60501329104105,-0.3639266867506891,400.0,0.04585811738868723,0.04279670799987626,0.06098834365864373,0.017883922385306134,0.0,0.0,0.0,,0.0,0.04,0.10000000000000002,0.02,2.5,4096.0,0.24415189555087102,-0.42469169196758383,-0.0021451031009612665,1.0,3.4113918245192623,3
exact,0.1,qep_q3p0,q=3.0 (probe),3.0,1.0,2.0,0.09103064838545623,0.32594637587176134,0.2713926234494051,0.4778095330470922,0.1566174404515899,0.0370239976426943,4.2328894110811754,1223.0,1.052423882025584,0.7438678712907018,0.9337626289026697,1.0,1.0,1.0,232.66666666666666,225.0,0.9544499824919782,1.0,0.9743802251597732,0.43266908747960686,0.0,155.44036960601807,-0.3651602531199294,400.0,0.045230435395139934,0.04233569984868096,0.9378027772788808,0.28646703647609884,0.0,0.0,0.0,,0.0,0.04,0.10000000000000002,0.02,2.5,4096.0,0.1257927477401784,-0.37319162143107754,-0.007497154890751299,1.0,3.276557431446348,3
exact,0.25,gp_control,GP control,,0.0,2.0,0.12216870019034794,0.4948633371360302,0.3642255068608253,0.5430544274757851,0.2019689124855907,0.06253251502568763,3.231674950733017,1223.0,0.9789864206356098,1.104939447338545,0.8251853145626166,1.0,1.0,1.0,232.66666666666666,225.0,0.8990630784079942,1.0,0.9093712238032724,0.4060329029780392,0.0,156.8898310661316,0.21089265705936192,400.0,0.059401463352474204,0.05869364163214083,0.0799479118628847,0.07323160460702764,0.0,0.0,0.0,,0.0,0.04,0.25,0.02,2.5,4096.0,0.6136795211322501,0.20428849321455958,-0.0038495373867027,1.0,1.0913340483748024,3
exact,0.25,identity_noisy,no smoothing,,0.0,2.0,0.2505862391414963,1.2073855938718057,0.7470808793205962,0.942518716572898,0.25332620461711114,0.24938640774010615,1.0159875164361276,1223.0,1.5165121870253293,1.0721733188590896,0.756604360819232,0.3217777300657799,1.0,0.48684744839039157,1133.6666666666667,225.0,0.6256070103737565,0.48660011793181995,0.6295618325301883,0.38557345408462357,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,,3
