sigma,arm,label,power,rmse,rel_l1,rel_l2,rel_linf,edge_band_rmse,interior_rmse,edge_interior_ratio,edge_sharpness_ratio,grad_corr,boundary_f1,boundary_precision,boundary_recall,boundary_f1_otsu,fg_iou_fixed_thr,lengthscale_0,lengthscale_1,noise,outputscale,runtime_s
0.1,qep_q3p0,q=3.0 (probe),3.0,0.22089601906739642,1.0666647620023486,0.6585644635901386,0.6122224301604664,0.3457076087196107,0.13671499357178338,2.528673700577647,0.29844915683371376,0.35851681008454894,0.9093194906318437,0.921161825726141,0.8977777777777778,0.22222222222222227,0.6482412060301508,0.16216880106269646,0.13679520166971793,0.15278625744727337,0.3025885879064798,276.77650594711304
0.1,qep_q2p0,q=2.0,2.0,0.11242881786418038,0.3858093849642352,0.33518767989298576,0.535052036271652,0.1993303796970477,0.033277039426872296,5.990027452264336,0.9868660735483215,0.8112890472676687,1.0,1.0,1.0,1.0,0.9089430894308943,0.11528534802128498,0.1202715560092632,0.026193142457388026,0.3589028609932229,281.19938611984253
0.1,qep_q1p8,q=1.8,1.8,0.12660375217420772,0.43999124506827453,0.3774478711346415,0.5716925209224788,0.22647026242093757,0.031916395620072716,7.095734277667209,0.8602624985665096,0.7427515122493332,1.0,1.0,1.0,1.0,0.8748019017432647,0.14506044992628733,0.1471397054379968,0.030847124927046842,0.18791498263234954,360.1409606933594
0.1,qep_q1p5,q=1.5,1.5,0.11548225641508171,0.3931650822249215,0.344290995244116,0.5558803322462852,0.20469912826708767,0.03429493268489974,5.968786413662152,0.9474273598678009,0.8058168843568537,1.0,1.0,1.0,1.0,0.9163879598662207,0.13944008174208028,0.14258090185089853,0.01787575496389857,0.11565434624248112,276.3801221847534
0.1,qep_q1p2,q=1.2,1.2,0.12363525195092391,0.41878486215143057,0.36859778517352854,0.7538080032654292,0.21951533087987907,0.03577713535685873,6.1356318411277275,0.8882196824335885,0.7845636079240812,1.0,1.0,1.0,1.0,0.8923841059602649,0.13859201918642913,0.13816354385262195,0.014646773456359662,0.060187889765440684,278.0926856994629
0.1,qep_q1p0,q=1.0,1.0,0.13283066023647866,0.442818897578062,0.3960123540310191,0.7589111972812415,0.23600279834677243,0.03801522180372944,6.208113149128585,0.84007876327498,0.7554918069840049,1.0,1.0,1.0,1.0,0.8692052980132451,0.13025297073493852,0.12620886030683354,0.013114331525400116,0.036638220214064064,276.5539708137512
0.1,gp_control,GP control,,0.11144325224652686,0.3821297868322463,0.3322493811628269,0.5096580264864039,0.19736406327100586,0.03353870015034023,5.884666441642155,0.9940142225353426,0.8152376286110709,1.0,1.0,1.0,1.0,0.9207920792079208,0.11545641847696698,0.11749996054919327,0.02491285657147257,0.34601669625975084,139.19989132881165
0.1,identity_noisy,no smoothing,,0.10029407668861164,0.48140642330482014,0.2990099825907299,0.37516349672663585,0.10389988118146944,0.09871917335768503,1.0524792464075177,1.1930444596783687,0.9600906030183487,0.982532751091703,0.9656652360515021,1.0,0.9933774834437086,0.9964788732394366,,,,,0.0
0.25,qep_q3p0,q=3.0 (probe),3.0,0.13178814616468426,0.5233980248028998,0.3929042730281333,0.5995578540781916,0.22523726983869602,0.056263686214468464,4.003244099224612,0.8824029936125107,0.7729828002230243,1.0,1.0,1.0,1.0,0.866877971473851,0.06609103378853866,0.06191192134592289,0.12755099155460994,0.5116590684832223,276.3213801383972
0.25,qep_q2p0,q=2.0,2.0,0.12777238354125978,0.5112486425475941,0.38093194971888444,0.5623048235287029,0.216256320030926,0.05802951708781973,3.7266606872439016,0.9343874251516837,0.7819101870758983,1.0,1.0,1.0,1.0,0.8814102564102564,0.10615436439736296,0.1091422186401568,0.07598335456053058,0.3280954593802702,275.7172198295593
