dataset,candidate,control,delta_ap50,delta_ap75,newly_split,newly_split_fraction,lost_previously_matched,lost_gt_ids,newly_split_gt_ids
nuclei,q15-P,fastgp-P,-0.1083422296782065,-0.09849491168172489,5,0.015151515151515152,38,"[18, 23, 34, 39, 52, 61, 78, 88, 99, 111, 116, 117, 120, 127, 130, 132, 139, 143, 147, 155, 162, 181, 184, 185, 190, 207, 211, 214, 231, 233, 240, 252, 265, 277, 282, 288, 292, 306]","[52, 98, 124, 185, 209]"
nuclei,q15-P,raw-P,0.13828573964365753,0.03771578561494526,5,0.015151515151515152,37,"[5, 18, 24, 47, 52, 66, 69, 74, 78, 80, 103, 111, 115, 116, 117, 120, 127, 132, 139, 143, 147, 155, 162, 164, 170, 178, 207, 231, 233, 240, 248, 277, 288, 292, 305, 306, 312]","[52, 98, 124, 185, 209]"
nuclei,q15-P,q2-P,0.0797590361445783,0.02063513993605179,3,0.00909090909090909,20,"[7, 9, 10, 18, 25, 99, 111, 116, 117, 120, 127, 130, 132, 143, 147, 155, 162, 178, 185, 277]","[98, 185, 209]"
nuclei,q15-C,fastgp-P,-0.0496357926770048,0.012656829286257942,5,0.015151515151515152,43,"[30, 46, 54, 61, 65, 71, 86, 87, 93, 112, 123, 139, 148, 149, 154, 181, 182, 184, 187, 190, 211, 214, 215, 224, 240, 242, 253, 264, 269, 271, 273, 282, 283, 284, 288, 289, 292, 306, 307, 313, 315, 317, 324]","[46, 78, 148, 185, 305]"
nuclei,q15-C,raw-C,-0.09486786018755333,-0.06015710891229564,5,0.015151515151515152,35,"[30, 43, 54, 55, 61, 64, 87, 93, 110, 123, 137, 148, 149, 154, 178, 181, 182, 184, 187, 190, 224, 240, 245, 249, 273, 283, 289, 305, 306, 307, 312, 313, 315, 317, 324]","[46, 78, 148, 185, 305]"
nuclei,q15-C,fastgp-C,-0.02168956561390989,-0.017784910879720228,5,0.015151515151515152,18,"[55, 87, 93, 112, 148, 149, 178, 182, 187, 215, 240, 245, 264, 283, 289, 305, 312, 317]","[46, 78, 148, 185, 305]"
nuclei,q15-C,q2-C,-0.026534526854219975,-0.0006167993719861098,3,0.00909090909090909,6,"[148, 178, 182, 187, 211, 225]","[46, 78, 148]"
whole_cell,q15-P,fastgp-P,-0.09302908834606782,-0.005509504144627003,5,0.01240694789081886,46,"[2, 16, 19, 57, 62, 65, 68, 70, 71, 73, 78, 79, 82, 85, 91, 92, 95, 107, 113, 115, 118, 129, 131, 134, 137, 140, 142, 143, 150, 151, 158, 162, 163, 182, 184, 196, 238, 267, 269, 274, 277, 288, 342, 375, 381, 395]","[61, 123, 147, 158, 184]"
whole_cell,q15-P,raw-P,0.06171625660353802,0.035302065238370955,5,0.01240694789081886,30,"[16, 57, 71, 82, 85, 92, 129, 134, 137, 140, 142, 144, 150, 151, 158, 159, 165, 184, 238, 247, 267, 274, 277, 288, 295, 342, 347, 375, 381, 400]","[61, 123, 147, 158, 184]"
whole_cell,q15-P,q2-P,-0.0011328409360455982,-0.006319194679418938,1,0.0024813895781637717,16,"[16, 19, 65, 73, 102, 111, 137, 150, 159, 162, 182, 223, 256, 288, 380, 381]",[123]
whole_cell,q15-C,fastgp-P,-0.13357172123514732,-0.10061100256372611,14,0.034739454094292806,56,"[2, 9, 30, 40, 45, 57, 58, 68, 69, 70, 71, 82, 85, 86, 105, 107, 108, 113, 118, 134, 137, 140, 142, 143, 146, 148, 150, 152, 158, 163, 164, 179, 182, 188, 196, 219, 238, 266, 267, 269, 277, 285, 288, 291, 294, 299, 301, 325, 339, 342, 361, 370, 375, 381, 385, 395]","[40, 45, 61, 69, 76, 86, 188, 301, 339, 370, 379, 380, 390, 400]"
whole_cell,q15-C,raw-C,-0.07731496430237145,-0.008976171663825014,10,0.02481389578163772,40,"[2, 9, 40, 45, 58, 68, 69, 70, 85, 105, 107, 119, 130, 134, 140, 142, 146, 148, 150, 152, 164, 179, 188, 209, 219, 227, 253, 256, 267, 277, 285, 288, 291, 294, 339, 361, 370, 378, 381, 400]","[45, 61, 69, 76, 188, 339, 370, 379, 390, 400]"
whole_cell,q15-C,fastgp-C,-0.07731496430237145,0.0003030240563995784,9,0.022332506203473945,41,"[2, 9, 40, 45, 58, 68, 69, 70, 85, 105, 107, 119, 130, 134, 140, 142, 146, 148, 150, 152, 164, 179, 188, 209, 219, 227, 253, 256, 267, 277, 285, 288, 291, 294, 339, 361, 370, 378, 381, 395, 400]","[45, 61, 69, 76, 188, 339, 370, 379, 400]"
whole_cell,q15-C,q2-C,0.004994892862354217,0.034740185843072445,5,0.01240694789081886,16,"[30, 43, 69, 85, 105, 148, 193, 202, 205, 209, 238, 252, 285, 291, 370, 400]","[69, 76, 86, 370, 379]"
