dataset,method,downstream,input_sha256,ap50,ap75,n_gt,n_pred,mean_best_iou,fg_dice,fg_iou,fg_precision,fg_recall,fg_fraction,gt_fg_fraction,merged,split,missed,spurious,fg_components_4,runtime_reconstruction_s,runtime_downstream_s,runtime_total_s,reconstruction_source,n_markers,marker_definition,n_precleanup,n_outlier_tiles,tp50,fp50,fn50,tp75,fp75,fn75,threshold,n_rescued
nuclei,raw,P,760688386f601df302a4f564409dd63280ba29185a4967d0b38ef4c14f58a3b2,0.4014732965009208,0.1478129713423831,330,431,0.5703391137538717,0.7619482404019277,0.6154413452384984,0.8686028665955062,0.6786212161444504,0.1735330870969169,0.22211409445452,15,8,112,152,4123,0.0,14.158377708867192,14.158377708867192,generated in this run,,EBImage implicit; count not substituted,2846,2,218,213,112,98,333,232,,
nuclei,raw,C,760688386f601df302a4f564409dd63280ba29185a4967d0b38ef4c14f58a3b2,0.6933333333333334,0.35683760683760685,330,305,0.6776639347054352,0.8393101933871858,0.7231132629970317,0.8632139803100402,0.8166946030270844,0.21014416626118754,0.22211409445452,27,0,70,11,11884,0.0,5.382304958067834,5.382304958067834,generated in this run,11943,explicit peak plus rescue,11943,,260,45,70,167,138,163,178.67464105775124,11232
nuclei,fastgp,P,7b9e6361267f746be9dbeffb13a24845ae7bcbb2a7213d6b3399745de3ffe31b,0.6481012658227848,0.28402366863905326,330,321,0.6693349839000575,0.8503934115334899,0.739725589662679,0.9520318725099601,0.7683633165161976,0.17926324442281888,0.22211409445452,22,1,74,23,422,5.506488165818155,7.538496499881148,13.044984665699303,generated in this run,,EBImage implicit; count not substituted,484,1,256,65,74,144,177,186,,
nuclei,fastgp,C,7b9e6361267f746be9dbeffb13a24845ae7bcbb2a7213d6b3399745de3ffe31b,0.6201550387596899,0.31446540880503143,330,297,0.6597764298811337,0.8624814064929993,0.7582130185968616,0.945774156341117,0.7926720990440786,0.18615823270078588,0.22211409445452,33,3,90,11,355,5.506488165818155,0.43665045872330666,5.9431386245414615,generated in this run,408,explicit peak plus rescue,408,,240,57,90,150,147,180,180.65643364697183,109
whole_cell,raw,P,044c661d3e69fd8469fcd1ab368c61c784c506ec6c029175826a2af322845a2b,0.42911877394636017,0.1303030303030303,403,343,0.5235290007433647,0.8140654390170461,0.68643369187446,0.7696562331314655,0.863913281652031,0.37441029900332223,0.33356035437430787,84,20,179,36,366,0.0,2.740290416870266,2.740290416870266,generated in this run,,EBImage implicit; count not substituted,577,1,224,119,179,86,257,317,,
whole_cell,raw,C,044c661d3e69fd8469fcd1ab368c61c784c506ec6c029175826a2af322845a2b,0.5276073619631901,0.07947976878612717,403,344,0.5553628453480189,0.8274956339504017,0.7057505779175901,0.9426907038188512,0.7373881575671054,0.26091638981173865,0.33356035437430787,67,15,145,12,389,0.0,0.15010424982756376,0.15010424982756376,generated in this run,525,explicit peak plus rescue,525,,258,86,145,55,289,348,54.93502553437397,143
whole_cell,fastgp,P,9f8b5b198403c0603cea2357ce448aafb95acb48e72862c42498cd65ef8b8ae9,0.583864118895966,0.17111459968602827,403,343,0.5918214183760735,0.8584111595558307,0.7519442457249671,0.9112791207152113,0.8113411131953321,0.2969795127353267,0.33356035437430787,68,12,128,19,314,1.901666124816984,2.850821750238538,4.752487875055522,generated in this run,,EBImage implicit; count not substituted,474,1,275,68,128,109,234,294,,
whole_cell,fastgp,C,9f8b5b198403c0603cea2357ce448aafb95acb48e72862c42498cd65ef8b8ae9,0.5276073619631901,0.07020057306590258,403,344,0.551677902926534,0.8230968371290286,0.6993751593981127,0.9461948200383861,0.7283411629953022,0.2567607973421927,0.33356035437430787,67,19,145,9,359,1.901666124816984,0.16419762512668967,2.0658637499436736,generated in this run,492,explicit peak plus rescue,492,,258,86,145,49,295,354,55.468538438568984,115
nuclei,q2,C,fb436355fe518fad237106c9355bce3d46636e26fb1b4a331d2ac833c7329b95,0.625,0.2972972972972973,330,294,0.6391363749556644,0.8568645033689786,0.7495738745706672,0.8654813096769824,0.8484175849707913,0.21773491986257942,0.22211409445452,38,2,90,10,240,,0.4194917078129947,,verified historical cache,309,explicit peak plus rescue,309,,240,54,90,143,151,187,177.7922959755249,14
nuclei,q2,P,fb436355fe518fad237106c9355bce3d46636e26fb1b4a331d2ac833c7329b95,0.46,0.16489361702127658,330,327,0.5711034043606387,0.7837363080466969,0.6443802550646126,0.811239826478463,0.758036544078598,0.2075472567493844,0.22211409445452,33,9,123,44,238,,6.680205082986504,,verified historical cache,,EBImage implicit; count not substituted,337,0,207,120,123,93,234,237,,
nuclei,q15,C,8343e0313ac199349f97fe7602da07ac40339bd20dcafa75b3248fb37ea3da3e,0.59846547314578,0.2966804979253112,330,295,0.6334562014636883,0.8558432192317742,0.7480121899527895,0.8624652940160353,0.8493220592140202,0.21872926527181846,0.22211409445452,39,5,96,10,234,,0.40959887485951185,,verified historical cache,306,explicit peak plus rescue,306,,234,61,96,143,152,187,177.76537073617223,13
nuclei,q15,P,8343e0313ac199349f97fe7602da07ac40339bd20dcafa75b3248fb37ea3da3e,0.5397590361445783,0.18552875695732837,330,309,0.5939748928332261,0.8026634221288727,0.6703740927684794,0.8633306905346414,0.7499626593202336,0.19294724347915837,0.22211409445452,30,5,106,22,239,,6.566388249862939,,verified historical cache,,EBImage implicit; count not substituted,318,0,224,85,106,100,209,230,,
whole_cell,q2,C,2e7b3c295b8a6a4cf79bac3ef90d920f497b682f4f02036c83b3f74e262285e4,0.44529750479846447,0.03576341127922971,403,350,0.5096238800826246,0.7880879732467596,0.6502848027328172,0.956859862719761,0.6699257980445211,0.23353543743078628,0.33356035437430787,62,18,171,22,296,,0.15214866725727916,,verified historical cache,407,explicit peak plus rescue,407,,232,118,171,26,324,377,62.448615622708644,42
whole_cell,q2,P,2e7b3c295b8a6a4cf79bac3ef90d920f497b682f4f02036c83b3f74e262285e4,0.4919678714859438,0.1719242902208202,403,340,0.5570394752828512,0.8550478772244327,0.7467979317350361,0.9034538197139372,0.8115652130608721,0.2996345514950166,0.33356035437430787,74,18,158,26,266,,2.789224083069712,,verified historical cache,,EBImage implicit; count not substituted,413,0,245,95,158,109,231,294,,
whole_cell,q15,C,566f0b7fad77c0e83d8ee74fb9755306f406413ed7a2b7b2e67637756230e36a,0.4502923976608187,0.07050359712230216,403,341,0.5194512530689788,0.8086531991352528,0.6787722924578186,0.9513131744124681,0.7032004780797132,0.2465642303433001,0.33356035437430787,67,16,172,20,271,,0.14814958395436406,,verified historical cache,382,explicit peak plus rescue,382,,231,110,172,49,292,354,59.63957091701336,26
whole_cell,q15,P,566f0b7fad77c0e83d8ee74fb9755306f406413ed7a2b7b2e67637756230e36a,0.4908350305498982,0.16560509554140126,403,329,0.5550263538729912,0.8524054967574809,0.7427758623355339,0.9154344512195122,0.7974967215019672,0.2905869324473976,0.33356035437430787,73,10,162,20,248,,2.7558440836146474,,verified historical cache,,EBImage implicit; count not substituted,377,0,241,88,162,104,225,299,,
