"tile","p_initial","p_final","max_raw_units","components_including_background","outlier","threshold_raw_units"
1,0.73,0.73,248.214973641031,28,FALSE,181.196930757953
2,0.74,0.74,258.866209203195,39,FALSE,191.560994810364
3,0.75,0.75,252.896581322441,33,FALSE,189.672435991831
4,0.74,0.74,255.169068407326,29,FALSE,188.825110621421
5,0.7,0.722666666666667,238.053170041778,250,TRUE,172.033090883525
6,0.75,0.75,247.324268850625,26,FALSE,185.493201637969
7,0.74,0.74,244.402774115731,24,FALSE,180.858052845641
8,0.66,0.66,258.594687829861,29,FALSE,170.672493967708
9,0.76,0.76,249.491995377186,30,FALSE,189.613916486661
10,0.73,0.73,256.396756242701,17,FALSE,187.169632057172
11,0.76,0.76,245.642546558368,21,FALSE,186.68833538436
12,0.71,0.71,243.208411280681,19,FALSE,172.677972009284
13,0.75,0.75,244.630431253952,18,FALSE,183.472823440464
14,0.71,0.71,258.42942254128,20,FALSE,183.484890004309
15,0.65,0.65,252.384359569676,76,FALSE,164.049833720289
16,0.66,0.66,257.689156772166,14,FALSE,170.07484346963
