"tile","p_initial","p_final","max_raw_units","components_including_background","outlier","threshold_raw_units"
1,0.76,0.76,243.652801513672,20,FALSE,185.176129150391
2,0.65,0.65,261.392211914062,21,FALSE,169.904937744141
3,0.76,0.76,248.923126220703,24,FALSE,189.181575927734
4,0.74,0.74,260.269866943359,22,FALSE,192.599701538086
5,0.75,0.75,240.619140625,15,FALSE,180.46435546875
6,0.76,0.76,243.521392822266,22,FALSE,185.076258544922
7,0.75,0.75,242.469497680664,22,FALSE,181.852123260498
8,0.65,0.65,263.478820800781,20,FALSE,171.261233520508
9,0.78,0.78,249.456604003906,25,FALSE,194.576151123047
10,0.69,0.69,268.703857421875,15,FALSE,185.405661621094
11,0.75,0.75,252.155303955078,20,FALSE,189.116477966309
12,0.74,0.74,234.279510498047,13,FALSE,173.366837768555
13,0.73,0.73,251.860107421875,13,FALSE,183.857878417969
14,0.71,0.71,264.130157470703,14,FALSE,187.532411804199
15,0.71,0.71,248.827926635742,21,FALSE,176.667827911377
16,0.59,0.59,281.216461181641,12,FALSE,165.917712097168
