"tile","p_initial","p_final","max_raw_units","components_including_background","outlier","threshold_raw_units"
1,0.74,0.74,255,181,FALSE,188.7
2,0.77,0.77,255,303,FALSE,196.35
3,0.68,0.725714285714286,255,2145,TRUE,185.057142857143
4,0.76,0.76,255,186,FALSE,193.8
5,0.67,0.725714285714286,249,2593,TRUE,180.702857142857
6,0.75,0.75,255,200,FALSE,191.25
7,0.74,0.74,254,142,FALSE,187.96
8,0.69,0.69,255,319,FALSE,175.95
9,0.76,0.76,255,193,FALSE,193.8
10,0.75,0.75,255,123,FALSE,191.25
11,0.64,0.64,255,945,FALSE,163.2
12,0.7,0.7,255,113,FALSE,178.5
13,0.74,0.74,255,186,FALSE,188.7
14,0.75,0.75,255,125,FALSE,191.25
15,0.71,0.71,255,165,FALSE,181.05
16,0.66,0.66,255,91,FALSE,168.3
