dataset,method,q,label,threshold_pct_mean,threshold_pct_min,threshold_pct_max,n_tiles,n_outlier_tiles,lengthscale_mean,lengthscale_min,lengthscale_max,outputscale_mean,outputscale_min,outputscale_max,noise_mean,noise_min,noise_max,final_loss_mean,final_loss_min,final_loss_max,n_nonfinite_loss_total,n_exceptions_total,n_train_per_tile,dtype
nuclei,raw,,Raw,0.7414285714285714,0.64,0.79,16,2,,,,,,,,,,,,,,,,
nuclei,gp_legacy,2.0,GP (legacy),0.90125,0.66,1.0,16,0,0.150027298323051,0.12059790252628064,0.20877719993628924,5.270441809268671,4.805737939999525,5.614889897550145,3.1526352686226806,2.958475379538728,3.396437382537049,31.82843844265584,22.35695651321641,37.224161619712504,0.0,0.0,3000.0,float32
nuclei,gp,2.0,GP,0.748,0.64,0.82,16,1,0.03198266689851728,0.024896515709868547,0.0431811422546538,1.7277415832858423,0.9606365412393415,2.1347165530990524,0.02823014499056533,0.011890370862882336,0.10180703094715024,0.692583273906737,0.5956359120665327,0.8150071485115027,0.0,0.0,3000.0,float64
nuclei,qep,2.0,QEP q=2,0.75125,0.64,0.83,16,0,0.03199645454649616,0.025509780782282006,0.04288754159250293,1.7362397232945006,0.9625859593866437,2.1790254607039663,0.02816540597894862,0.01159043095005806,0.1015599626182976,0.684969304510958,0.5514187072321272,0.8086383194980402,0.0,0.0,3000.0,float64
nuclei,qep,1.5,QEP q=1.5,0.75375,0.61,0.91,16,0,0.17326102619643816,0.09465936860530477,0.23019821109218114,2.7340190431588427,2.2905629500985567,3.113937521853908,0.0009806108824967196,0.0008767777843833605,0.001228251137556403,0.26264997936921586,-0.1652647077853118,1.0141538588787178,0.0,0.0,3000.0,float64
whole_cell,raw,,Raw,0.22624999999999998,0.12,0.29,9,1,,,,,,,,,,,,,,,,
whole_cell,gp_legacy,2.0,GP (legacy),0.23111111111111113,0.09,0.29,9,0,0.027659085405292827,0.026921306180098917,0.02922007550848659,6.3053237026501385,5.852770732881309,6.488694271302856,2.662641528957365,2.611954136917336,2.6910360353768787,51.31550544180815,40.72559001750356,63.624299261173455,0.0,0.0,3000.0,float32
whole_cell,gp,2.0,GP,0.23625000000000002,0.1,0.3,9,1,0.04034038462684593,0.036479244260836825,0.048478362302631875,2.192560585579816,1.8608973328657143,2.578875874269222,0.004226269696572428,0.003209295751069528,0.005612747975276269,0.3935330578129467,0.32454014409191084,0.4679262465040039,0.0,0.0,3000.0,float64
whole_cell,qep,2.0,QEP q=2,0.23750000000000002,0.1,0.3,9,1,0.04007485882611814,0.035304578917997924,0.04873530897989799,2.215892770617143,1.9023472520264268,2.593694266639802,0.004246943792080581,0.0032098122925542467,0.00555283638258385,0.3986386945439915,0.254146509364896,0.47845360072736115,0.0,0.0,3000.0,float64
whole_cell,qep,1.5,QEP q=1.5,0.24125000000000002,0.12,0.32,9,1,0.1039663577614019,0.07952228359961676,0.13667845138293686,2.004233729820205,1.626204750467494,2.5426087999569895,0.0011727495282828314,0.0010291525296565996,0.0012297412732630237,0.6846607066268408,0.4902650702987374,0.8236632493910125,0.0,0.0,3000.0,float64
