dataset,method,q,label,runtime_total_s,runtime_recon_s,n_tiles
nuclei,raw,,Raw,3.3012428283691406,0.0003604888916015625,16
nuclei,gp_legacy,2.0,GP (legacy),203.58583188056946,203.2744505405426,16
nuclei,gp,2.0,GP,212.45461916923523,211.71506524085999,16
nuclei,qep,2.0,QEP q=2,212.85575413703918,212.14528346061707,16
nuclei,qep,1.5,QEP q=1.5,251.0118329524994,250.36968874931335,16
whole_cell,raw,,Raw,0.40393590927124023,9.131431579589844e-05,9
whole_cell,gp_legacy,2.0,GP (legacy),109.13510394096375,108.83327436447144,9
whole_cell,gp,2.0,GP,124.2957489490509,123.96652245521545,9
whole_cell,qep,2.0,QEP q=2,124.18107008934021,123.86757397651672,9
whole_cell,qep,1.5,QEP q=1.5,151.99610900878906,151.71209239959717,9
