dataset,method,q,label,Threshold,AP,TP,FP,FN
nuclei,raw,,Raw,0.5,0.021333333333333333,24.0,795.0,306.0
nuclei,raw,,Raw,0.55,0.016814159292035398,19.0,800.0,311.0
nuclei,raw,,Raw,0.6,0.012334801762114538,14.0,805.0,316.0
nuclei,raw,,Raw,0.65,0.007894736842105263,9.0,810.0,321.0
nuclei,raw,,Raw,0.7,0.007011393514460999,8.0,811.0,322.0
nuclei,raw,,Raw,0.75,0.004370629370629371,5.0,814.0,325.0
nuclei,raw,,Raw,0.8,0.0034934497816593887,4.0,815.0,326.0
nuclei,raw,,Raw,0.85,0.0,0.0,819.0,330.0
nuclei,raw,,Raw,0.9,0.0,0.0,819.0,330.0
nuclei,gp_legacy,2.0,GP (legacy),0.5,0.016129032258064516,9.0,228.0,321.0
nuclei,gp_legacy,2.0,GP (legacy),0.55,0.008896797153024912,5.0,232.0,325.0
nuclei,gp_legacy,2.0,GP (legacy),0.6,0.007104795737122558,4.0,233.0,326.0
nuclei,gp_legacy,2.0,GP (legacy),0.65,0.0035398230088495575,2.0,235.0,328.0
nuclei,gp_legacy,2.0,GP (legacy),0.7,0.0017667844522968198,1.0,236.0,329.0
nuclei,gp_legacy,2.0,GP (legacy),0.75,0.0017667844522968198,1.0,236.0,329.0
nuclei,gp_legacy,2.0,GP (legacy),0.8,0.0,0.0,237.0,330.0
nuclei,gp_legacy,2.0,GP (legacy),0.85,0.0,0.0,237.0,330.0
nuclei,gp_legacy,2.0,GP (legacy),0.9,0.0,0.0,237.0,330.0
nuclei,gp,2.0,GP,0.5,0.03151862464183381,33.0,717.0,297.0
nuclei,gp,2.0,GP,0.55,0.023696682464454975,25.0,725.0,305.0
nuclei,gp,2.0,GP,0.6,0.01694915254237288,18.0,732.0,312.0
nuclei,gp,2.0,GP,0.65,0.011235955056179775,12.0,738.0,318.0
nuclei,gp,2.0,GP,0.7,0.007462686567164179,8.0,742.0,322.0
nuclei,gp,2.0,GP,0.75,0.002785515320334262,3.0,747.0,327.0
nuclei,gp,2.0,GP,0.8,0.0018552875695732839,2.0,748.0,328.0
nuclei,gp,2.0,GP,0.85,0.0,0.0,750.0,330.0
nuclei,gp,2.0,GP,0.9,0.0,0.0,750.0,330.0
nuclei,qep,2.0,QEP q=2,0.5,0.025540275049115914,26.0,688.0,304.0
nuclei,qep,2.0,QEP q=2,0.55,0.020527859237536656,21.0,693.0,309.0
