dataset,arm,ap50,ap75,n_pred,mean_iou,fg_dice,fg_iou,note,thr_min,thr_max,collapsed_tiles,n_tiles
nuclei,ORACLE_threshold,0.09705882352941177,0.0397212543554007,1162,0.49564877977524535,1.0,1.0,GT foreground + real watershed,,,,
nuclei,ORACLE_separation,1.0,1.0,330,1.0,1.0,1.0,GT vs GT (matcher check),,,,
nuclei,raw,0.021333333333333333,0.004370629370629371,819,0.22118914976652576,0.7000734884317371,0.5385485119363798,actual,0.64,0.79,0.0,16.0
nuclei,gp_legacy,0.016129032258064516,0.0017667844522968198,237,0.07038452861899329,0.25384267309460046,0.14537216617500856,actual,0.66,1.0,3.0,16.0
nuclei,gp,0.03151862464183381,0.002785515320334262,750,0.2770385505603116,0.7079788615559125,0.5479622898496025,actual,0.64,0.82,0.0,16.0
nuclei,qep_q2,0.025540275049115914,0.002881844380403458,714,0.2643790689048084,0.691003553354151,0.527888028363077,actual,0.64,0.83,0.0,16.0
nuclei,qep_q1.5,0.034658511722731905,0.003956478733926805,685,0.2580542296211626,0.6478598811981295,0.4791366458175927,actual,0.61,0.91,0.0,16.0
whole_cell,ORACLE_threshold,0.2308598351001178,0.1140724946695096,642,0.5474511858808276,1.0,1.0,GT foreground + real watershed,,,,
whole_cell,ORACLE_separation,1.0,1.0,403,1.0,1.0,1.0,GT vs GT (matcher check),,,,
whole_cell,raw,0.12472406181015452,0.012922465208747515,616,0.3792647389032144,0.8148642888842995,0.6875704455122501,actual,0.12,0.29,0.0,9.0
whole_cell,gp_legacy,0.11583421891604676,0.01842870999030068,647,0.3997815738283223,0.7855087224794818,0.6467800444669813,actual,0.09,0.29,0.0,9.0
whole_cell,gp,0.1157556270096463,0.017595307917888565,638,0.37463698837931747,0.7897928581854855,0.6526096491228071,actual,0.1,0.3,0.0,9.0
whole_cell,qep_q2,0.12012987012987013,0.015701668302257114,632,0.37404897974852225,0.7884176421312035,0.6507338415838686,actual,0.1,0.3,0.0,9.0
whole_cell,qep_q1.5,0.13296703296703297,0.02485089463220676,628,0.40347990583413973,0.8132258985224055,0.6852406852406853,actual,0.12,0.32,0.0,9.0
