dataset,source,seeding,min_distance,ap50,ap75,n_pred,n_true,mean_matched_iou,imagej_ap50
nuclei,ORACLE_foreground,markers_none,,0.09705882352941177,0.0397212543554007,1162,330,0.49564877977524535,0.4586
nuclei,ORACLE_foreground,peak_md3,3.0,0.3722943722943723,0.19172932330827067,621,330,0.728728257205479,0.4586
nuclei,ORACLE_foreground,peak_md5,5.0,0.6594360086767896,0.42193308550185876,435,330,0.8496636641934704,0.4586
nuclei,ORACLE_foreground,peak_md7,7.0,0.8005115089514067,0.5891647855530474,374,330,0.8985346429593709,0.4586
nuclei,ORACLE_foreground,peak_md9,9.0,0.8707865168539326,0.6903553299492385,336,330,0.9076078306452735,0.4586
nuclei,ORACLE_foreground,peak_md12,12.0,0.880466472303207,0.7292225201072386,315,330,0.9008958782154775,0.4586
nuclei,ORACLE_foreground,peak_md15,15.0,0.8466076696165191,0.6827956989247311,296,330,0.8686221133781704,0.4586
nuclei,raw,markers_none,,0.021333333333333333,0.004370629370629371,819,330,0.22118914976652576,0.4586
nuclei,raw,peak_md3,3.0,0.12360939431396786,0.034129692832764506,579,330,0.36699851350135143,0.4586
nuclei,raw,peak_md5,5.0,0.1966053748231966,0.053549190535491904,516,330,0.4356352033761313,0.4586
nuclei,raw,peak_md7,7.0,0.28793103448275864,0.07482014388489208,417,330,0.47308134611718017,0.4586
nuclei,raw,peak_md9,9.0,0.3445544554455445,0.08121019108280254,349,330,0.47839890947665736,0.4586
nuclei,raw,peak_md12,12.0,0.39565217391304347,0.09369676320272573,312,330,0.4856983638318817,0.4586
nuclei,raw,peak_md15,15.0,0.41627906976744183,0.0972972972972973,279,330,0.4761437109615042,0.4586
nuclei,gp_legacy,markers_none,,0.016129032258064516,0.0017667844522968198,237,330,0.07038452861899329,0.4586
nuclei,gp_legacy,peak_md3,3.0,0.028708133971291867,0.004672897196261682,100,330,0.08108789983316216,0.4586
nuclei,gp_legacy,peak_md5,5.0,0.03307888040712468,0.0049504950495049506,76,330,0.07989299819933383,0.4586
nuclei,gp_legacy,peak_md7,7.0,0.033419023136246784,0.005,72,330,0.08047243335048727,0.4586
nuclei,gp_legacy,peak_md9,9.0,0.03367875647668394,0.005037783375314861,69,330,0.07918635341009579,0.4586
nuclei,gp_legacy,peak_md12,12.0,0.033766233766233764,0.005050505050505051,68,330,0.07808417100109984,0.4586
nuclei,gp_legacy,peak_md15,15.0,0.033766233766233764,0.005050505050505051,68,330,0.07808417100109984,0.4586
nuclei,gp,markers_none,,0.03151862464183381,0.002785515320334262,750,330,0.2770385505603116,0.4586
