dataset,gt_id_1,gt_id_2,seed,n_mc,n_batches,mc_se_q2_mean,mc_se_q15_mean,mc_se_delta_mean,mc_se_delta_max
nuclei,293,299,73,48,8,0.07812718715439382,0.07698889884884054,0.11156572567853984,0.28440973414213894
nuclei,293,299,137,48,8,0.06975559733020398,0.08186999045467608,0.10865664599622141,0.3387025333282811
nuclei,293,299,211,48,8,0.06791578553028094,0.07569250889284558,0.10280642849950627,0.3214980610196692
nuclei,15,19,73,48,8,0.06161095831236585,0.05815646505983684,0.08515758502402475,0.25541936516997105
nuclei,15,19,137,48,8,0.06018490060289279,0.061048888385449085,0.0863407308315091,0.26356349311811716
nuclei,15,19,211,48,8,0.07521348563733866,0.0716787248964278,0.10539870352890769,0.31960193959933153
nuclei,288,292,73,48,8,0.07264715876224076,0.06485765448881113,0.09858063986192743,0.24037288569542203
nuclei,288,292,137,48,8,0.07276551594522267,0.0695660092097156,0.1028176498571296,0.3470877958403571
nuclei,288,292,211,48,8,0.07380532387030374,0.0659871343401639,0.10116191148514078,0.28181583279631467
nuclei,164,165,73,48,8,0.045420564125845025,0.047626387458964824,0.06638282714804868,0.20141763889455522
nuclei,164,165,137,48,8,0.04115174110831452,0.04654454698531566,0.06258106055120283,0.2039992639303745
nuclei,164,165,211,48,8,0.047410931346376375,0.0532533162099819,0.0720167907884679,0.24946262190545057
nuclei,196,205,73,48,8,0.06405943171045979,0.07440541909006179,0.09926136230191535,0.24278511569489988
nuclei,196,205,137,48,8,0.06197824755211674,0.07396046443234022,0.09763480956793665,0.24738128686085442
nuclei,196,205,211,48,8,0.08795136800717968,0.09383082747120461,0.13165899914425305,0.4099510341913389
nuclei,260,261,73,48,8,0.04374621897579969,0.05208609218880174,0.06865753207907328,0.1673791910788245
nuclei,260,261,137,48,8,0.04725760327221699,0.05505488634734146,0.07362840739779752,0.16800358488932496
nuclei,260,261,211,48,8,0.0574972634044329,0.05301393325438207,0.07936404798700966,0.19717229254618357
nuclei,125,126,73,48,8,0.06913022158552497,0.06923890871459483,0.10003407389843974,0.36064527265484114
nuclei,125,126,137,48,8,0.07793928094144847,0.07837817008148923,0.1115840020568845,0.35206039127617217
nuclei,125,126,211,48,8,0.07193635279613854,0.07857468284649168,0.1075229762437746,0.3830113802071314
nuclei,294,299,73,48,8,0.06159857830268309,0.05891753555177124,0.08609186921733006,0.2470302046787985
nuclei,294,299,137,48,8,0.06622967073350623,0.07047793953446614,0.09770538078218724,0.2866865595158499
nuclei,294,299,211,48,8,0.061290824737889674,0.05853657573748042,0.08541001301809775,0.23244060402958136
whole_cell,130,379,73,48,8,0.16168714600392445,0.1690881910930354,0.23598789281023475,0.6705892191876558
whole_cell,130,379,137,48,8,0.1658043757509931,0.18306524233134414,0.2518542382421152,0.6540534954301496
whole_cell,130,379,211,48,8,0.2521043153557918,0.20772818500206755,0.3322748214202241,1.2127080117563298
whole_cell,179,182,73,48,8,0.19249292062239698,0.1749016414262795,0.26612210257600705,0.9315499363853249
whole_cell,179,182,137,48,8,0.19855241461420442,0.19171586678804828,0.2801720326706065,0.7932941039892268
whole_cell,179,182,211,48,8,0.2070280866438045,0.20462234666310042,0.2959308251974314,1.2082975056530576
whole_cell,1,12,73,48,8,0.23021859546724235,0.22314770393040198,0.3241796589481516,0.9772028412326241
whole_cell,1,12,137,48,8,0.225077844611235,0.24225486127225382,0.3382759573262703,1.0720287511946627
whole_cell,1,12,211,48,8,0.2519445166107013,0.24437500054041456,0.3583042078656447,1.1347361105389362
whole_cell,133,141,73,48,8,0.21644597246529146,0.24489356787747948,0.33674938501978086,1.0486272113005355
whole_cell,133,141,137,48,8,0.21868102580933993,0.22827907193775182,0.32139481347046744,0.8997743265186703
whole_cell,133,141,211,48,8,0.26305342034085627,0.25716784859349684,0.37610583746491705,1.253244436386918
whole_cell,59,77,73,48,8,0.16334144930170041,0.15131642972309983,0.226990651981506,0.8176910894674089
whole_cell,59,77,137,48,8,0.13269732280292534,0.14180950704304524,0.19794579837949772,1.0042313796174906
whole_cell,59,77,211,48,8,0.16581034288076085,0.16354031296844274,0.2359120630352456,1.4542981585128762
whole_cell,189,198,73,48,8,0.153257158753215,0.1570039547273302,0.22373767738877945,0.6956430992457794
whole_cell,189,198,137,48,8,0.16193863484197754,0.17617082229840006,0.24342538895481294,0.7230004698333838
whole_cell,189,198,211,48,8,0.19464641166345714,0.18391295845233518,0.2732090968707609,0.9415169939562298
whole_cell,218,388,73,48,8,0.2648698180133477,0.2589918933182863,0.3762248918420956,1.01392745230683
whole_cell,218,388,137,48,8,0.2801864632291835,0.2649926520078281,0.3930815541724669,1.1765194791744407
whole_cell,218,388,211,48,8,0.28013966027175063,0.2961191756410891,0.41440214879603315,1.1215350300848628
whole_cell,253,256,73,48,8,0.15599529790370503,0.1440192261880169,0.21344254655648295,0.6466542735594704
whole_cell,253,256,137,48,8,0.15994046319472546,0.16426073829512283,0.23325992192857747,0.8335035770281125
whole_cell,253,256,211,48,8,0.16414740263806712,0.17294031383097483,0.243910217755752,0.7858568431184604
