dataset,gt_id_1,gt_id_2,merged,interface_len_px,local_contrast,centroid_r,centroid_c,rank_in_class,n_in_class,patch
nuclei,293,299,True,35,-2.1542367219686014,1031.4,406.8285714285714,0,27,25
nuclei,15,19,True,52,-8.62177378542512,36.23076923076923,161.73076923076923,9,27,25
nuclei,288,292,True,56,1.2942246415294676,1006.8928571428572,39.607142857142854,17,27,25
nuclei,164,165,True,92,2.711670480549202,553.0434782608696,62.45652173913044,26,27,25
nuclei,196,205,False,4,17.633199999999988,695.0,123.0,0,37,25
nuclei,260,261,False,27,4.5931500061934685,866.1851851851852,285.44444444444446,12,37,25
nuclei,125,126,False,35,5.020217917675552,408.3142857142857,667.0571428571428,24,37,25
nuclei,294,299,False,86,3.962634591522232,1031.8953488372092,385.8953488372093,36,37,25
whole_cell,130,379,True,4,-78.4225721784777,194.5,353.0,0,78,25
whole_cell,179,182,True,32,3.669529932546368,275.8125,179.6875,26,78,25
whole_cell,1,12,True,44,-0.7409090909090992,11.0,329.5,51,78,25
whole_cell,133,141,True,83,-2.647221798586756,197.6144578313253,559.855421686747,77,78,25
whole_cell,59,77,False,4,40.45858895705521,108.0,324.5,0,132,25
whole_cell,189,198,False,15,19.422812846068652,291.46666666666664,70.73333333333333,44,132,25
whole_cell,218,388,False,24,20.86440677966101,333.75,218.25,87,132,25
whole_cell,253,256,False,57,10.835157584226051,398.8245614035088,279.57894736842104,131,132,25
