dataset,image,arm,ap50_legacy_markers,ap50_peak_markers,gain,n_pred_legacy,n_pred_peak,min_distance
nuclei,nuclei_figure_2,raw,0.3977272727272727,0.8024691358024691,0.40474186307519644,46,69,15
nuclei,nuclei_figure_2,gp,0.36082474226804123,0.4659090909090909,0.10508434864104965,55,52,15
nuclei,nuclei_figure_2,qep_q2,0.36082474226804123,0.4659090909090909,0.10508434864104965,55,52,15
nuclei,nuclei_figure_2,qep_q1.5,0.35714285714285715,0.4044943820224719,0.04735152487961475,56,48,15
nuclei,nuclei_figure_3,raw,0.05527638190954774,0.17846153846153845,0.12318515655199071,169,132,15
nuclei,nuclei_figure_3,gp,0.0807799442896936,0.16,0.07922005571030641,137,126,15
nuclei,nuclei_figure_3,qep_q2,0.0807799442896936,0.16,0.07922005571030641,137,126,15
nuclei,nuclei_figure_3,qep_q1.5,0.09563409563409564,0.14697406340057637,0.051339967766480726,276,147,15
nuclei,nuclei_figure_4,raw,0.08955223880597014,0.18737270875763748,0.09782046995166734,622,329,15
nuclei,nuclei_figure_4,gp,0.17,0.449438202247191,0.27943820224719096,565,262,15
nuclei,nuclei_figure_4,qep_q2,0.17,0.449438202247191,0.27943820224719096,565,262,15
nuclei,nuclei_figure_4,qep_q1.5,0.2583170254403131,0.7262773722627737,0.46796034682246057,389,219,15
nuclei,nuclei_figure_5,raw,0.028532608695652172,0.18485523385300667,0.1563226251573545,606,381,15
nuclei,nuclei_figure_5,gp,0.06172839506172839,0.5173913043478261,0.4556629092860977,623,198,15
nuclei,nuclei_figure_5,qep_q2,0.06172839506172839,0.5173913043478261,0.4556629092860977,623,198,15
nuclei,nuclei_figure_5,qep_q1.5,0.06637806637806638,0.5067264573991032,0.4403483910210368,588,185,15
whole_cell,whole_cell_figure_2,raw,0.0038535645472061657,0.13836477987421383,0.13451121532700766,480,140,9
whole_cell,whole_cell_figure_2,gp,0.0019342359767891683,0.12413793103448276,0.12220369505769359,477,122,9
whole_cell,whole_cell_figure_2,qep_q2,0.0019342359767891683,0.12413793103448276,0.12220369505769359,477,122,9
whole_cell,whole_cell_figure_2,qep_q1.5,0.001968503937007874,0.1292517006802721,0.12728319674326424,468,125,9
whole_cell,whole_cell_figure_3,raw,0.1423611111111111,0.47297297297297297,0.33061186186186187,570,346,9
whole_cell,whole_cell_figure_3,gp,0.17647058823529413,0.42407407407407405,0.24760348583877992,523,352,9
whole_cell,whole_cell_figure_3,qep_q2,0.17647058823529413,0.42407407407407405,0.24760348583877992,523,352,9
whole_cell,whole_cell_figure_3,qep_q1.5,0.15366705471478465,0.4029574861367837,0.24929043142199908,574,342,9
whole_cell,whole_cell_figure_4,raw,0.008561643835616438,0.15168539325842698,0.14312374942281053,516,132,9
whole_cell,whole_cell_figure_4,gp,0.021359223300970873,0.23943661971830985,0.21807739641733898,453,103,9
whole_cell,whole_cell_figure_4,qep_q2,0.021359223300970873,0.23943661971830985,0.21807739641733898,453,103,9
whole_cell,whole_cell_figure_4,qep_q1.5,0.018726591760299626,0.2361111111111111,0.2173845193508115,471,105,9
whole_cell,whole_cell_figure_5,raw,0.005970149253731343,0.11956521739130435,0.113595068137573,922,220,9
whole_cell,whole_cell_figure_5,gp,0.00522466039707419,0.09615384615384616,0.09092918575677197,873,253,9
whole_cell,whole_cell_figure_5,qep_q2,0.00522466039707419,0.09615384615384616,0.09092918575677197,873,253,9
whole_cell,whole_cell_figure_5,qep_q1.5,0.003188097768331562,0.09797297297297297,0.0947848752046414,855,236,9
