dataset,image,method,label,q,ap50,ap75,tp50,fp50,fn50,tp75,fp75,fn75,n_pred,n_gt,mean_matched_iou,runtime_s,rmse_to_raw,min_distance,marker_mode,provenance,merged,split,missed,spurious,lengthscale_mean,noise_mean,threshold_pct_mean,n_markers,n_components_rescued
nuclei,nuclei_figure_2,imagej,ImageJ (saved masks),,0.9230769230769231,0.22950819672131148,72,1,5,28,45,49,73,77,0.6919168895784472,0.0,,,n/a,"pre-existing original_ImageJ_masks.tif; produced outside this repo, any manual tuning unknown",2,0,5,0,,,,,
nuclei,nuclei_figure_2,raw,Raw,,0.8024691358024691,0.2920353982300885,65,4,12,33,36,44,69,77,0.6780838027517563,0.02090001106262207,0.0,15.0,peak,cached,5,0,12,0,,,,,
nuclei,nuclei_figure_2,gp,GP,2.0,0.4659090909090909,0.08403361344537816,41,11,36,10,42,67,52,77,0.4511042805914239,41.25885009765625,10.503925704272087,15.0,peak,this run,6,0,36,0,0.015451662883715292,0.03698065591925063,0.6,62.0,7.0
nuclei,nuclei_figure_2,qep,QEP q=2,2.0,0.4659090909090909,0.08403361344537816,41,11,36,10,42,67,52,77,0.4511042805914239,40.2543523311615,10.503925704272087,15.0,peak,this run,6,0,36,0,0.015451662883715292,0.03698065591925063,0.6,62.0,7.0
nuclei,nuclei_figure_2,qep,QEP q=1.5,1.5,0.4044943820224719,0.09649122807017543,36,12,41,11,37,66,48,77,0.4162555914895267,41.25308609008789,10.760244194224429,15.0,peak,this run,7,0,41,0,0.01779930166828668,0.008753785880712385,0.62,58.0,6.0
nuclei,nuclei_figure_2,gp_legacy,GP-legacy-config,2.0,0.0,0.0,0,0,77,0,0,77,0,77,0.0,40.587307929992676,17.3277488559444,15.0,peak,this run,0,0,77,0,0.49696017896838945,3.887622609808623,1.0,0.0,0.0
nuclei,nuclei_figure_3,imagej,ImageJ (saved masks),,0.4744897959183674,0.1245136186770428,186,141,65,64,263,187,327,251,0.5987776055640003,0.0,,,n/a,"pre-existing original_ImageJ_masks.tif; produced outside this repo, any manual tuning unknown",10,6,65,99,,,,,
nuclei,nuclei_figure_3,raw,Raw,,0.17846153846153845,0.02406417112299465,58,74,193,9,123,242,132,251,0.24328441193106506,0.5503940582275391,0.0,15.0,peak,cached,14,0,193,28,,,,,
nuclei,nuclei_figure_3,gp,GP,2.0,0.16,0.02168021680216802,52,74,199,8,118,243,126,251,0.24778404401375373,161.63467001914978,5.080119453789116,15.0,peak,this run,12,0,199,9,0.024359145189788982,0.14915156650900685,0.6275000000000001,176.0,33.0
nuclei,nuclei_figure_3,qep,QEP q=2,2.0,0.16,0.02168021680216802,52,74,199,8,118,243,126,251,0.24778404401375373,162.489440202713,5.080119453789116,15.0,peak,this run,12,0,199,9,0.024359145189788982,0.14915156650900685,0.6275000000000001,176.0,33.0
nuclei,nuclei_figure_3,qep,QEP q=1.5,1.5,0.14697406340057637,0.015306122448979591,51,96,200,6,141,245,147,251,0.259345660402064,165.00004386901855,5.126183743204406,15.0,peak,this run,30,1,200,25,0.036525173978949645,0.011373800958383957,0.59,194.0,49.0
nuclei,nuclei_figure_3,gp_legacy,GP-legacy-config,2.0,0.040145985401459854,0.0035211267605633804,11,23,240,1,33,250,34,251,0.06691952546636909,164.71657586097717,6.739499011448291,15.0,peak,this run,5,0,240,2,0.07928721752602888,3.3182670491965203,0.835,47.0,3.0
nuclei,nuclei_figure_4,imagej,ImageJ (saved masks),,0.7647058823529411,0.13839285714285715,221,35,33,62,194,192,256,254,0.659131480905439,0.0,,,n/a,"pre-existing original_ImageJ_masks.tif; produced outside this repo, any manual tuning unknown",6,0,33,14,,,,,
nuclei,nuclei_figure_4,raw,Raw,,0.18737270875763748,0.030035335689045935,92,237,162,17,312,237,329,254,0.4373221620118351,11.617382764816284,0.0,15.0,peak,cached,36,2,162,114,,,,,
nuclei,nuclei_figure_4,gp,GP,2.0,0.449438202247191,0.24939467312348668,160,102,94,103,159,151,262,254,0.5872951754935973,486.87055587768555,18.289810829217593,15.0,peak,this run,34,0,94,49,0.02873845448437883,0.17830418832125516,0.32090909090909087,325.0,67.0
nuclei,nuclei_figure_4,qep,QEP q=2,2.0,0.449438202247191,0.24939467312348668,160,102,94,103,159,151,262,254,0.5872951754935973,479.1627802848816,18.289810829217593,15.0,peak,this run,34,0,94,49,0.02873845448437883,0.17830418832125516,0.32090909090909087,325.0,67.0
nuclei,nuclei_figure_4,qep,QEP q=1.5,1.5,0.7262773722627737,0.3870967741935484,199,20,55,132,87,122,219,254,0.6654431622787297,487.34339904785156,18.31118421947642,15.0,peak,this run,26,0,55,0,0.02803847332036267,0.011929563720509061,0.34727272727272723,226.0,12.0
nuclei,nuclei_figure_4,gp_legacy,GP-legacy-config,2.0,0.6385964912280702,0.20671834625322996,182,31,72,80,133,174,213,254,0.6156180975663061,483.16377806663513,18.845921950429958,15.0,peak,this run,31,1,72,0,0.031248673297344463,2.90780011212594,0.34545454545454546,216.0,4.0
nuclei,nuclei_figure_5,imagej,ImageJ (saved masks),,0.5627906976744186,0.423728813559322,121,64,30,100,85,51,185,151,0.7230443566730667,0.0,,,n/a,"pre-existing original_ImageJ_masks.tif; produced outside this repo, any manual tuning unknown",0,7,30,39,,,,,
nuclei,nuclei_figure_5,raw,Raw,,0.18485523385300667,0.11297071129707113,83,298,68,54,327,97,381,151,0.5692141876948428,15.156425952911377,0.0,15.0,peak,cached,13,5,68,239,,,,,
nuclei,nuclei_figure_5,gp,GP,2.0,0.5173913043478261,0.21180555555555555,119,79,32,61,137,90,198,151,0.6521022065332948,645.964616060257,13.047337527763695,15.0,peak,this run,9,5,32,53,0.05757885653541066,0.14318931889745362,0.31933333333333336,213.0,13.0
nuclei,nuclei_figure_5,qep,QEP q=2,2.0,0.5173913043478261,0.21180555555555555,119,79,32,61,137,90,198,151,0.6521022065332948,638.1468930244446,13.047337527763695,15.0,peak,this run,9,5,32,53,0.05757885653541066,0.14318931889745362,0.31933333333333336,213.0,13.0
nuclei,nuclei_figure_5,qep,QEP q=1.5,1.5,0.5067264573991032,0.17894736842105263,113,72,38,51,134,100,185,151,0.6326847093437422,641.8038210868835,13.111722110520882,15.0,peak,this run,12,4,38,44,0.0762842675871917,0.010140008505394045,0.31799999999999995,194.0,10.0
nuclei,nuclei_figure_5,gp_legacy,GP-legacy-config,2.0,0.7017543859649122,0.17338709677419356,120,20,31,43,97,108,140,151,0.6321583011627119,637.4651463031769,13.468441499471384,15.0,peak,this run,11,3,31,0,0.04869797868202494,2.769692825261261,0.33666666666666667,141.0,1.0
whole_cell,whole_cell_figure_2,imagej,ImageJ (saved masks),,0.07262569832402235,0.010526315789473684,13,138,28,2,149,39,151,41,0.4403960193299307,0.0,,,n/a,"pre-existing original_ImageJ_masks.tif; produced outside this repo, any manual tuning unknown",1,0,28,115,,,,,
whole_cell,whole_cell_figure_2,raw,Raw,,0.13836477987421383,0.016853932584269662,22,118,19,3,137,38,140,41,0.49142942441182164,0.6348941326141357,0.0,9.0,peak,cached,2,1,19,103,,,,,
whole_cell,whole_cell_figure_2,gp,GP,2.0,0.12413793103448276,0.025157232704402517,18,104,23,4,118,37,122,41,0.4811570320890842,635.0672180652618,6.2464132212245564,9.0,peak,this run,2,2,23,85,0.055427227635506546,0.026092144275989368,0.22000000000000003,159.0,15.0
whole_cell,whole_cell_figure_2,qep,QEP q=2,2.0,0.12413793103448276,0.025157232704402517,18,104,23,4,118,37,122,41,0.4811570320890842,631.8713757991791,6.2464132212245564,9.0,peak,this run,2,2,23,85,0.055427227635506546,0.026092144275989368,0.22000000000000003,159.0,15.0
whole_cell,whole_cell_figure_2,qep,QEP q=1.5,1.5,0.1292517006802721,0.031055900621118012,19,106,22,5,120,36,125,41,0.48553860201995225,650.1959888935089,6.494441824826615,9.0,peak,this run,2,4,22,85,0.09616202889803063,0.0024068694872715997,0.21800000000000003,155.0,13.0
whole_cell,whole_cell_figure_2,gp_legacy,GP-legacy-config,2.0,0.16,0.02112676056338028,20,84,21,3,101,38,104,41,0.48545757547657364,630.26731300354,8.155021202152001,9.0,peak,this run,3,4,21,66,0.05083596303842209,2.5417973734911152,0.235625,121.0,6.0
whole_cell,whole_cell_figure_3,imagej,ImageJ (saved masks),,0.08769633507853403,0.0,67,347,350,0,414,417,414,417,0.4002697453080842,0.0,,,n/a,"pre-existing original_ImageJ_masks.tif; produced outside this repo, any manual tuning unknown",26,0,350,57,,,,,
whole_cell,whole_cell_figure_3,raw,Raw,,0.47297297297297297,0.03387533875338753,245,101,172,25,321,392,346,417,0.5064109193867847,0.14564776420593262,0.0,9.0,peak,cached,51,6,172,7,,,,,
