dataset,label,n_images,ap50_mean,ap50_std,ap50_min,ap50_max,ap75_mean,mean_iou,npred_mean,ngt_mean,runtime_mean
nuclei,GP,4,0.398184649376027,0.1614059896150378,0.16,0.5173913043478261,0.1417285147316471,0.48457142665801745,159.5,183.25,333.93217301368713
nuclei,GP-legacy-config,4,0.34512421564861057,0.37657823448582073,0.0,0.7017543859649122,0.09590664244699673,0.32867398104884676,96.75,183.25,331.48320204019547
nuclei,ImageJ (saved masks),4,0.6812658247556626,0.2018477415626362,0.4744897959183674,0.9230769230769231,0.22903587152513336,0.6682175831802383,210.25,183.25,0.0
nuclei,QEP q=1.5,4,0.4461180687712313,0.2404040205935906,0.14697406340057637,0.7262773722627737,0.169460373283439,0.49343228087851565,149.75,183.25,333.8500875234604
nuclei,QEP q=2,4,0.398184649376027,0.1614059896150378,0.16,0.5173913043478261,0.1417285147316471,0.48457142665801745,159.5,183.25,330.01336646080017
nuclei,Raw,4,0.3382896542186629,0.30947571982850547,0.17846153846153845,0.8024691358024691,0.11477640408480005,0.4819761410973748,227.75,183.25,6.836275696754456
whole_cell,GP,4,0.2209506177451782,0.14893824367581557,0.09615384615384616,0.42407407407407405,0.036827725264934226,0.47180290209612963,207.5,155.0,569.0286783576012
whole_cell,GP-legacy-config,4,0.21759779686009195,0.1118979215822922,0.1037037037037037,0.36065573770491804,0.03513795586240963,0.46052154032013115,181.75,155.0,565.7217537760735
whole_cell,ImageJ (saved masks),4,0.08046608048994258,0.023235039923149053,0.05333333333333334,0.10820895522388059,0.008420735889123614,0.4244674288921415,273.75,155.0,0.0
whole_cell,QEP q=1.5,4,0.216573317725285,0.1376128508819293,0.09797297297297297,0.4029574861367837,0.03581234912538093,0.4696153045726069,202.0,155.0,576.7386071681976
whole_cell,QEP q=2,4,0.2209506177451782,0.14893824367581557,0.09615384615384616,0.42407407407407405,0.036827725264934226,0.47180290209612963,207.5,155.0,568.7909041643143
whole_cell,Raw,4,0.2206470908742295,0.16873252044313977,0.11956521739130435,0.47297297297297297,0.02995661165790396,0.4762077173839142,209.5,155.0,0.5816683173179626
