dataset,image_a,image_b,same_bytes,same_shape,thumb_corr,verdict
nuclei,nuclei_figure_1,nuclei_figure_2,False,False,0.0096,ok_distinct
nuclei,nuclei_figure_1,nuclei_figure_3,False,False,-0.0007,ok_distinct
nuclei,nuclei_figure_1,nuclei_figure_4,False,False,-0.0421,ok_distinct
nuclei,nuclei_figure_1,nuclei_figure_5,False,False,-0.0353,ok_distinct
nuclei,nuclei_figure_2,nuclei_figure_3,False,False,0.0401,ok_distinct
nuclei,nuclei_figure_2,nuclei_figure_4,False,False,-0.0072,ok_distinct
nuclei,nuclei_figure_2,nuclei_figure_5,False,False,-0.0573,ok_distinct
nuclei,nuclei_figure_3,nuclei_figure_4,False,False,-0.0323,ok_distinct
nuclei,nuclei_figure_3,nuclei_figure_5,False,False,0.0002,ok_distinct
nuclei,nuclei_figure_4,nuclei_figure_5,False,False,0.0142,ok_distinct
whole_cell,whole_cell_figure_1,whole_cell_figure_2,False,False,0.0137,ok_distinct
whole_cell,whole_cell_figure_1,whole_cell_figure_3,False,True,0.4044,ok_distinct
whole_cell,whole_cell_figure_1,whole_cell_figure_4,False,False,0.0096,ok_distinct
whole_cell,whole_cell_figure_1,whole_cell_figure_5,False,False,-0.0184,ok_distinct
whole_cell,whole_cell_figure_2,whole_cell_figure_3,False,False,0.0001,ok_distinct
whole_cell,whole_cell_figure_2,whole_cell_figure_4,False,False,-0.0303,ok_distinct
whole_cell,whole_cell_figure_2,whole_cell_figure_5,False,False,0.0337,ok_distinct
whole_cell,whole_cell_figure_3,whole_cell_figure_4,False,False,0.0031,ok_distinct
whole_cell,whole_cell_figure_3,whole_cell_figure_5,False,False,-0.0223,ok_distinct
whole_cell,whole_cell_figure_4,whole_cell_figure_5,False,True,0.0615,ok_distinct
