dataset,method,check,partitions_equivalent,n_pred_a,n_pred_b,ap50_a,ap50_b,markers_identical,foreground_identical,ap50_abs_delta
nuclei,raw,legacy_vs_round1_saved,True,819.0,819.0,0.021333333333333333,0.021333333333333333,,,
nuclei,gp_legacy,legacy_vs_round1_saved,True,237.0,237.0,0.016129032258064516,0.016129032258064516,,,
nuclei,gp,legacy_vs_round1_saved,True,750.0,750.0,0.03151862464183381,0.03151862464183381,,,
nuclei,qep_q2,legacy_vs_round1_saved,True,714.0,714.0,0.025540275049115914,0.025540275049115914,,,
nuclei,qep_q1.5,legacy_vs_round1_saved,True,685.0,685.0,0.034658511722731905,0.034658511722731905,,,
nuclei,gp,rerun_twice_peak_md9,True,,,0.3645833333333333,0.3645833333333333,True,True,0.0
nuclei,qep_q1.5,rerun_twice_peak_md9,True,,,0.30833333333333335,0.30833333333333335,True,True,0.0
whole_cell,raw,legacy_vs_round1_saved,True,616.0,616.0,0.12472406181015452,0.12472406181015452,,,
whole_cell,gp_legacy,legacy_vs_round1_saved,True,647.0,647.0,0.11583421891604676,0.11583421891604676,,,
whole_cell,gp,legacy_vs_round1_saved,True,638.0,638.0,0.1157556270096463,0.1157556270096463,,,
whole_cell,qep_q2,legacy_vs_round1_saved,True,632.0,632.0,0.12012987012987013,0.12012987012987013,,,
whole_cell,qep_q1.5,legacy_vs_round1_saved,True,628.0,628.0,0.13296703296703297,0.13296703296703297,,,
whole_cell,gp,rerun_twice_peak_md9,True,,,0.41712204007285975,0.41712204007285975,True,True,0.0
whole_cell,qep_q1.5,rerun_twice_peak_md9,True,,,0.416044776119403,0.416044776119403,True,True,0.0
