ap50,ap75,tp50,fp50,fn50,tp75,fp75,fn75,n_pred,n_gt,mean_matched_iou,merged,split,missed,spurious,dataset,method,marker_mode,min_distance,n_markers,n_fg_components,n_components_rescued,source
0.09705882352941177,0.0397212543554007,132,1030,198,57,1105,273,1162,330,0.49564877977524535,2,119,198,770,nuclei,ORACLE_FOREGROUND,legacy_none,,0,267,0,ground_truth_foreground
0.3748191027496382,0.191969887076537,259,361,71,153,467,177,620,330,0.7278762671199467,7,160,71,129,nuclei,ORACLE_FOREGROUND,peak,3.0,626,267,0,ground_truth_foreground
0.6594360086767896,0.42193308550185876,304,131,26,227,208,103,435,330,0.8501965819693899,9,87,26,23,nuclei,ORACLE_FOREGROUND,peak,5.0,435,267,0,ground_truth_foreground
0.7964376590330788,0.5936794582392777,313,63,17,263,113,67,376,330,0.9022100609020016,11,50,17,8,nuclei,ORACLE_FOREGROUND,peak,7.0,376,267,0,ground_truth_foreground
0.8746518105849582,0.6952141057934509,314,29,16,276,67,54,343,330,0.918506670327281,16,27,16,3,nuclei,ORACLE_FOREGROUND,peak,9.0,343,267,0,ground_truth_foreground
0.8982558139534884,0.7459893048128342,309,14,21,279,44,51,323,330,0.9210670742782885,21,15,21,0,nuclei,ORACLE_FOREGROUND,peak,12.0,323,267,1,ground_truth_foreground
0.8764705882352941,0.7196765498652291,298,10,32,267,41,63,308,330,0.900315359325996,27,8,32,0,nuclei,ORACLE_FOREGROUND,peak,15.0,308,267,1,ground_truth_foreground
0.2308598351001178,0.1140724946695096,196,446,207,107,535,296,642,403,0.5474511858808276,28,113,207,193,whole_cell,ORACLE_FOREGROUND,legacy_none,,0,206,0,ground_truth_foreground
0.4034833091436865,0.22871664548919948,278,286,125,180,384,223,564,403,0.6809511885607806,43,119,125,88,whole_cell,ORACLE_FOREGROUND,peak,3.0,737,206,0,ground_truth_foreground
0.5924528301886792,0.3547351524879615,314,127,89,221,220,182,441,403,0.7447003449332472,58,81,89,23,whole_cell,ORACLE_FOREGROUND,peak,5.0,461,206,2,ground_truth_foreground
0.6553911205073996,0.41081081081081083,310,70,93,228,152,175,380,403,0.7505768908726816,69,48,93,12,whole_cell,ORACLE_FOREGROUND,peak,7.0,390,206,2,ground_truth_foreground
0.684931506849315,0.44422700587084146,300,35,103,227,108,176,335,403,0.7428833718390497,76,26,103,3,whole_cell,ORACLE_FOREGROUND,peak,9.0,341,206,5,ground_truth_foreground
0.6431924882629108,0.4028056112224449,274,23,129,201,96,202,297,403,0.7010108158478884,90,13,129,0,whole_cell,ORACLE_FOREGROUND,peak,12.0,301,206,11,ground_truth_foreground
0.5427251732101617,0.3522267206477733,235,30,168,174,91,229,265,403,0.6435744733775182,94,7,168,0,whole_cell,ORACLE_FOREGROUND,peak,15.0,269,206,26,ground_truth_foreground
