dataset,image,role,arm,threshold_rule,threshold,threshold_percentile,collapsed,n_components,fg_dice,fg_iou,fg_precision,fg_recall,fg_fraction,gt_fg_fraction
nuclei,nuclei_figure_1,development,raw,li,178.67464105775124,78.98558337388124,False,11884,0.8393101933871858,0.7231132629970317,0.8632139803100402,0.8166946030270844,0.21014416626118754,0.22211409445452
nuclei,nuclei_figure_1,development,gp,li,177.7922959755249,78.22650801374206,False,240,0.8568645033689786,0.7495738745706672,0.8654813096769824,0.8484175849707913,0.21773491986257942,0.22211409445452
nuclei,nuclei_figure_1,development,qep_q2,li,177.7922959755249,78.22650801374206,False,240,0.8568645033689786,0.7495738745706672,0.8654813096769824,0.8484175849707913,0.21773491986257942,0.22211409445452
nuclei,nuclei_figure_1,development,qep_q1.5,li,177.76537073617223,78.12707347281815,False,234,0.8558432192317742,0.7480121899527895,0.8624652940160353,0.8493220592140202,0.21872926527181846,0.22211409445452
nuclei,nuclei_figure_2,heldout_candidate,raw,li,145.25325722254715,92.5529411764706,False,90,0.8718273308437243,0.772778276481149,0.9890851644406147,0.7794250792213672,0.07447058823529412,0.09450267379679145
nuclei,nuclei_figure_2,heldout_candidate,gp,li,138.6119420047352,89.74117647058823,False,64,0.7478836553071413,0.5972956574499436,0.7184111759799833,0.7798777727478498,0.10258823529411765,0.09450267379679145
nuclei,nuclei_figure_2,heldout_candidate,qep_q2,li,138.6119420047352,89.74117647058823,False,64,0.7478836553071413,0.5972956574499436,0.7184111759799833,0.7798777727478498,0.10258823529411765,0.09450267379679145
nuclei,nuclei_figure_2,heldout_candidate,qep_q1.5,li,136.28452185196556,88.05989304812834,False,58,0.7215,0.5643332029722331,0.6462737370118237,0.8165459483929379,0.11940106951871658,0.09450267379679145
nuclei,nuclei_figure_3,heldout_candidate,raw,li,62.92426838013995,79.37270843296669,False,3975,0.8172274009452467,0.6909421148227118,0.845221994667491,0.7910277737595834,0.20627291567033318,0.22040490993145226
nuclei,nuclei_figure_3,heldout_candidate,gp,li,61.69707137877856,77.72397576916946,False,204,0.8112123310461425,0.6823862260953765,0.8069236962161195,0.815546795891798,0.22276024230830543,0.22040490993145226
nuclei,nuclei_figure_3,heldout_candidate,qep_q2,li,61.69707137877856,77.72397576916946,False,204,0.8112123310461425,0.6823862260953765,0.8069236962161195,0.815546795891798,0.22276024230830543,0.22040490993145226
nuclei,nuclei_figure_3,heldout_candidate,qep_q1.5,li,61.655794752255225,77.40475051809341,False,206,0.8066964285714285,0.6760194537972316,0.7967934245802173,0.8168486908722696,0.22595249481906585,0.22040490993145226
