dataset,image,method,label,q,ap50,ap75,tp50,fp50,fn50,tp75,fp75,fn75,n_pred,n_gt,mean_matched_iou,runtime_s,rmse_to_raw,min_distance,marker_mode,provenance,merged,split,missed,spurious,lengthscale_mean,noise_mean,threshold_pct_mean,n_markers,n_components_rescued
nuclei,nuclei_figure_1,imagej,ImageJ (saved masks),,0.45863309352517984,0.2515432098765432,255,226,75,163,318,167,481,330,0.6693877428147391,0.0,,,n/a,"pre-existing original_ImageJ_masks.tif; produced outside this repo, any manual tuning unknown",15,11,75,174,,,,,
nuclei,nuclei_figure_1,raw,Raw,,0.41216216216216217,0.09615384615384616,183,114,147,55,242,275,297,330,0.4936986042160584,1.770176887512207,0.0,15.0,peak,this run,18,0,147,39,,,0.7414285714285714,3656.0,3296.0
nuclei,nuclei_figure_1,gp,GP,2.0,0.3029045643153527,0.07903780068728522,146,152,184,46,252,284,298,330,0.4346023971232174,648.0759780406952,6.215571415529658,15.0,peak,this run,30,4,184,65,0.05933415004017859,0.0879307302117085,0.740625,318.0,19.0
nuclei,nuclei_figure_1,qep,QEP q=2,2.0,0.3029045643153527,0.07903780068728522,146,152,184,46,252,284,298,330,0.4346023971232174,649.6001882553101,6.215571415529658,15.0,peak,this run,30,4,184,65,0.05933415004017859,0.0879307302117085,0.740625,318.0,19.0
nuclei,nuclei_figure_1,qep,QEP q=1.5,1.5,0.3235294117647059,0.08736059479553904,143,112,187,47,208,283,255,330,0.4176225816718921,670.3471720218658,6.238605238513429,15.0,peak,this run,18,2,187,37,0.08900801055778523,0.005732224776184061,0.765625,268.0,6.0
nuclei,nuclei_figure_1,gp_legacy,GP-legacy-config,2.0,0.03931203931203931,0.002369668246445498,16,77,314,1,92,329,93,330,0.11320565397853498,650.3367238044739,10.32946565483412,15.0,peak,this run,23,2,314,12,0.1512122730349605,3.1535420586124783,0.886875,97.0,0.0
whole_cell,whole_cell_figure_1,imagej,ImageJ (saved masks),,0.3415841584158416,0.002466091245376079,207,203,196,2,408,401,410,403,0.4775652447562435,0.0,,,n/a,"pre-existing original_ImageJ_masks.tif; produced outside this repo, any manual tuning unknown",50,6,196,67,,,,,
whole_cell,whole_cell_figure_1,raw,Raw,,0.47808764940239046,0.08638360175695461,240,99,163,59,280,344,339,403,0.5376113188585235,0.15050196647644043,0.0,9.0,peak,this run,71,14,163,20,,,0.22624999999999998,543.0,170.0
whole_cell,whole_cell_figure_1,gp,GP,2.0,0.3047138047138047,0.03748326639892905,181,191,222,28,344,375,372,403,0.46002209490705237,361.16102409362793,10.326070932787356,9.0,peak,this run,82,46,222,46,0.02809764418455087,0.009574929891780886,0.1988888888888889,443.0,59.0
whole_cell,whole_cell_figure_1,qep,QEP q=2,2.0,0.3047138047138047,0.03748326639892905,181,191,222,28,344,375,372,403,0.46002209490705237,359.488018989563,10.326070932787356,9.0,peak,this run,82,46,222,46,0.02809764418455087,0.009574929891780886,0.1988888888888889,443.0,59.0
whole_cell,whole_cell_figure_1,qep,QEP q=1.5,1.5,0.45348837209302323,0.0948905109489051,234,113,169,65,282,338,347,403,0.5316330712776786,358.6928689479828,10.737538611258644,9.0,peak,this run,66,19,169,21,0.02891665728481469,0.001979532345626525,0.26125,389.0,21.0
whole_cell,whole_cell_figure_1,gp_legacy,GP-legacy-config,2.0,0.3432282003710575,0.08383233532934131,185,136,218,56,265,347,321,403,0.46599640407852394,357.2746820449829,14.182851481683569,9.0,peak,this run,86,32,218,22,0.027659736147072914,2.6628127528981147,0.23111111111111113,341.0,12.0
