dataset,image,role,method,label,ap50,ap75,tp50,fp50,fn50,n_pred,n_gt,mean_matched_iou,threshold_rule,runtime_s,tp75,fp75,fn75,threshold,fg_dice,fg_iou,n_markers,merged,split,missed,spurious
nuclei,nuclei_figure_1,development,imagej,ImageJ (saved masks),0.45863309352517984,0.2515432098765432,255,226,75,481,330,0.6693877428147391,n/a (external masks),0.0,,,,,,,,,,,
nuclei,nuclei_figure_1,development,raw,Raw,0.6933333333333334,0.35683760683760685,260,45,70,305,330,0.6776639347054352,li,5.2325758934021,167.0,138.0,163.0,178.67464105775124,0.8393101933871858,0.7231132629970317,11943.0,27.0,0.0,70.0,11.0
nuclei,nuclei_figure_1,development,gp,GP,0.625,0.2972972972972973,240,54,90,294,330,0.6391363749556644,li,0.33142709732055664,143.0,151.0,187.0,177.7922959755249,0.8568645033689786,0.7495738745706672,309.0,38.0,2.0,90.0,10.0
nuclei,nuclei_figure_1,development,qep_q2,QEP q=2,0.625,0.2972972972972973,240,54,90,294,330,0.6391363749556644,li,0.3402738571166992,143.0,151.0,187.0,177.7922959755249,0.8568645033689786,0.7495738745706672,309.0,38.0,2.0,90.0,10.0
nuclei,nuclei_figure_1,development,qep_q1.5,QEP q=1.5,0.59846547314578,0.2966804979253112,234,61,96,295,330,0.6334562014636883,li,0.33541083335876465,143.0,152.0,187.0,177.76537073617223,0.8558432192317742,0.7480121899527895,306.0,39.0,5.0,96.0,10.0
nuclei,nuclei_figure_2,heldout_candidate,imagej,ImageJ (saved masks),0.9230769230769231,0.22950819672131148,72,1,5,73,77,0.6919168895784472,n/a (external masks),0.0,,,,,,,,,,,
nuclei,nuclei_figure_2,heldout_candidate,raw,Raw,0.7804878048780488,0.5051546391752577,64,5,13,69,77,0.7190860041732863,li,0.015733957290649414,49.0,20.0,28.0,145.25325722254715,0.8718273308437243,0.772778276481149,90.0,6.0,0.0,13.0,0.0
nuclei,nuclei_figure_2,heldout_candidate,gp,GP,0.45652173913043476,0.06349206349206349,42,15,35,57,77,0.484431128454854,li,0.01773691177368164,8.0,49.0,69.0,138.6119420047352,0.7478836553071413,0.5972956574499436,64.0,12.0,0.0,35.0,0.0
nuclei,nuclei_figure_2,heldout_candidate,qep_q2,QEP q=2,0.45652173913043476,0.06349206349206349,42,15,35,57,77,0.484431128454854,li,0.017884016036987305,8.0,49.0,69.0,138.6119420047352,0.7478836553071413,0.5972956574499436,64.0,12.0,0.0,35.0,0.0
nuclei,nuclei_figure_2,heldout_candidate,qep_q1.5,QEP q=1.5,0.3894736842105263,0.03125,37,18,40,55,77,0.4421775170239045,li,0.01968097686767578,4.0,51.0,73.0,136.28452185196556,0.7215,0.5643332029722331,59.0,14.0,0.0,40.0,0.0
