dataset,image,arm,round,threshold_rule,n_components,fg_dice,fg_iou,fg_precision,fg_recall,fg_fraction,gt_fg_fraction,role,threshold,threshold_percentile,collapsed
nuclei,nuclei_figure_2,raw,round2,criterion_1 (per tile),88,0.8366492146596859,0.7191719171917191,0.9919304779639975,0.723404255319149,0.06891978609625668,0.09450267379679145,,,,
nuclei,nuclei_figure_2,gp,round2,criterion_1 (per tile),62,0.7050587769119007,0.5444716442268461,0.8464954012052014,0.6041195110909914,0.06744385026737967,0.09450267379679145,,,,
nuclei,nuclei_figure_2,qep_q2,round2,criterion_1 (per tile),62,0.7050587769119007,0.5444716442268461,0.8464954012052014,0.6041195110909914,0.06744385026737967,0.09450267379679145,,,,
nuclei,nuclei_figure_2,qep_q1.5,round2,criterion_1 (per tile),58,0.690928339839873,0.5278002426202992,0.831766767564123,0.5908782254413761,0.06713368983957219,0.09450267379679145,,,,
nuclei,nuclei_figure_3,raw,round2,criterion_1 (per tile),4454,0.47347381824633916,0.31016423033269974,0.5599526007850495,0.41013308259800374,0.16143392316276103,0.22040490993145226,,,,
nuclei,nuclei_figure_3,gp,round2,criterion_1 (per tile),174,0.48958502847843777,0.3241394171200776,0.9791169451073986,0.3263959207290612,0.07347361708911207,0.22040490993145226,,,,
nuclei,nuclei_figure_3,qep_q2,round2,criterion_1 (per tile),174,0.48958502847843777,0.3241394171200776,0.9791169451073986,0.3263959207290612,0.07347361708911207,0.22040490993145226,,,,
nuclei,nuclei_figure_3,qep_q1.5,round2,criterion_1 (per tile),161,0.5587113351121652,0.3876470749568032,0.6160484679422917,0.5111384348329234,0.18287103459269888,0.22040490993145226,,,,
nuclei,nuclei_figure_4,raw,round2,criterion_1 (per tile),50253,0.3275164955102446,0.19582644291021808,0.19640685605483058,0.9851336479453844,0.46069935581140353,0.09184998629385965,,,,
nuclei,nuclei_figure_4,gp,round2,criterion_1 (per tile),281,0.674999320707551,0.5094331884176851,0.5308062948045427,0.9267501072541083,0.16036355537280703,0.09184998629385965,,,,
nuclei,nuclei_figure_4,qep_q2,round2,criterion_1 (per tile),281,0.674999320707551,0.5094331884176851,0.5308062948045427,0.9267501072541083,0.16036355537280703,0.09184998629385965,,,,
nuclei,nuclei_figure_4,qep_q1.5,round2,criterion_1 (per tile),214,0.8680473745267493,0.7668583958306852,0.838073904285615,0.9002443528380369,0.09866365131578947,0.09184998629385965,,,,
nuclei,nuclei_figure_5,raw,round2,criterion_1 (per tile),36379,0.43960986695705695,0.28173074005522347,0.287946659315668,0.9288302507558243,0.2767658233642578,0.0858001708984375,,,,
nuclei,nuclei_figure_5,gp,round2,criterion_1 (per tile),155,0.7092072636807778,0.5494354312088302,0.5611943584629532,0.9632647163435888,0.14727210998535156,0.0858001708984375,,,,
nuclei,nuclei_figure_5,qep_q2,round2,criterion_1 (per tile),155,0.7092072636807778,0.5494354312088302,0.5611943584629532,0.9632647163435888,0.14727210998535156,0.0858001708984375,,,,
nuclei,nuclei_figure_5,qep_q1.5,round2,criterion_1 (per tile),140,0.6920977207588371,0.5291662318689345,0.5416713792020107,0.9581962475546861,0.1517772674560547,0.0858001708984375,,,,
whole_cell,whole_cell_figure_2,raw,round2,criterion_1 (per tile),1827,0.7299586969993872,0.574751935448697,0.8435029604736758,0.6433562592685264,0.19528125,0.2560328125,,,,
whole_cell,whole_cell_figure_2,gp,round2,criterion_1 (per tile),94,0.7843730693674119,0.6452416029967679,0.9093733149842664,0.6895844648818206,0.1941515625,0.2560328125,,,,
whole_cell,whole_cell_figure_2,qep_q2,round2,criterion_1 (per tile),94,0.7843730693674119,0.6452416029967679,0.9093733149842664,0.6895844648818206,0.1941515625,0.2560328125,,,,
whole_cell,whole_cell_figure_2,qep_q1.5,round2,criterion_1 (per tile),86,0.7906768666398246,0.6538176975436519,0.9065163184142415,0.701088117367769,0.1980125,0.2560328125,,,,
whole_cell,whole_cell_figure_3,raw,round2,criterion_1 (per tile),409,0.7711151157494505,0.627491741197325,0.8903395449868526,0.6800502977697829,0.24216500553709855,0.3170487264673311,,,,
whole_cell,whole_cell_figure_3,gp,round2,criterion_1 (per tile),318,0.7654220046615097,0.6199867546251301,0.9763114054690992,0.6294556314291203,0.20441029900332225,0.3170487264673311,,,,
whole_cell,whole_cell_figure_3,qep_q2,round2,criterion_1 (per tile),318,0.7654220046615097,0.6199867546251301,0.9763114054690992,0.6294556314291203,0.20441029900332225,0.3170487264673311,,,,
whole_cell,whole_cell_figure_3,qep_q1.5,round2,criterion_1 (per tile),282,0.7657715696896932,0.6204455762675672,0.8680512525449234,0.6850538779929792,0.25021040974529346,0.3170487264673311,,,,
whole_cell,whole_cell_figure_4,raw,round2,criterion_1 (per tile),1816,0.7433580175978532,0.5915431984668217,0.9602289774970391,0.6064004308174062,0.12665,0.200549,,,,
whole_cell,whole_cell_figure_4,gp,round2,criterion_1 (per tile),49,0.7827568111628227,0.6430570475490474,0.9210757187204751,0.6805568713880399,0.14818,0.200549,,,,
whole_cell,whole_cell_figure_4,qep_q2,round2,criterion_1 (per tile),49,0.7827568111628227,0.6430570475490474,0.9210757187204751,0.6805568713880399,0.14818,0.200549,,,,
whole_cell,whole_cell_figure_4,qep_q1.5,round2,criterion_1 (per tile),48,0.7805998796802933,0.6401507320465353,0.9173248227523381,0.6793451974330463,0.148521,0.200549,,,,
whole_cell,whole_cell_figure_5,raw,round2,criterion_1 (per tile),850,0.7105410112882424,0.5510380845831422,0.9605295085061066,0.56380459036456,0.222546,0.379142,,,,
