rule,dataset,image,arm,transform,a,b,mask_identical,base_threshold,transformed_threshold,expected_threshold,threshold_matches_expected
criterion_1,nuclei,nuclei_figure_2,gp,scale_0.5,0.5,0.0,True,149.1875793457031,74.59378967285156,74.59378967285156,True
criterion_1,nuclei,nuclei_figure_2,gp,scale_2.0,2.0,0.0,True,149.1875793457031,298.3751586914062,298.3751586914062,True
criterion_1,nuclei,nuclei_figure_2,gp,scale_10.0,10.0,0.0,True,149.1875793457031,1491.8757934570312,1491.8757934570312,True
criterion_1,nuclei,nuclei_figure_2,gp,affine_a2_b50,2.0,50.0,False,149.1875793457031,355.73975524902346,348.3751586914062,False
criterion_1,nuclei,nuclei_figure_2,gp,affine_a1_b100,1.0,100.0,False,149.1875793457031,257.9980145263672,249.1875793457031,False
criterion_1,nuclei,nuclei_figure_4,qep_q1.5,scale_0.5,0.5,0.0,True,91.65936401367188,45.82968200683594,45.82968200683594,True
criterion_1,nuclei,nuclei_figure_4,qep_q1.5,scale_2.0,2.0,0.0,True,91.65936401367188,183.31872802734375,183.31872802734375,True
criterion_1,nuclei,nuclei_figure_4,qep_q1.5,scale_10.0,10.0,0.0,True,91.65936401367188,916.5936401367188,916.5936401367187,True
criterion_1,nuclei,nuclei_figure_4,qep_q1.5,affine_a2_b50,2.0,50.0,False,91.65936401367188,235.66909179687502,233.31872802734375,False
criterion_1,nuclei,nuclei_figure_4,qep_q1.5,affine_a1_b100,1.0,100.0,False,91.65936401367188,199.57663696289063,191.65936401367188,False
criterion_1,whole_cell,whole_cell_figure_3,gp,scale_0.5,0.5,0.0,True,57.33229751586914,28.66614875793457,28.66614875793457,True
criterion_1,whole_cell,whole_cell_figure_3,gp,scale_2.0,2.0,0.0,True,57.33229751586914,114.66459503173829,114.66459503173829,True
criterion_1,whole_cell,whole_cell_figure_3,gp,scale_10.0,10.0,0.0,True,57.33229751586914,573.3229751586914,573.3229751586914,True
criterion_1,whole_cell,whole_cell_figure_3,gp,affine_a2_b50,2.0,50.0,False,57.33229751586914,170.04793243408204,164.6645950317383,False
criterion_1,whole_cell,whole_cell_figure_3,gp,affine_a1_b100,1.0,100.0,False,57.33229751586914,167.65001220703124,157.33229751586913,False
criterion_1,whole_cell,whole_cell_figure_5,raw,scale_0.5,0.5,0.0,True,58.650000000000006,29.325000000000003,29.325000000000003,True
criterion_1,whole_cell,whole_cell_figure_5,raw,scale_2.0,2.0,0.0,True,58.650000000000006,117.30000000000001,117.30000000000001,True
criterion_1,whole_cell,whole_cell_figure_5,raw,scale_10.0,10.0,0.0,True,58.650000000000006,586.5,586.5,True
criterion_1,whole_cell,whole_cell_figure_5,raw,affine_a2_b50,2.0,50.0,False,58.650000000000006,173.6,167.3,False
criterion_1,whole_cell,whole_cell_figure_5,raw,affine_a1_b100,1.0,100.0,False,58.650000000000006,166.85,158.65,False
otsu,nuclei,nuclei_figure_2,gp,scale_0.5,0.5,0.0,True,145.2156983613968,72.6078491806984,72.6078491806984,True
otsu,nuclei,nuclei_figure_2,gp,scale_2.0,2.0,0.0,True,145.2156983613968,290.4313967227936,290.4313967227936,True
otsu,nuclei,nuclei_figure_2,gp,scale_10.0,10.0,0.0,True,145.2156983613968,1452.156983613968,1452.156983613968,True
otsu,nuclei,nuclei_figure_2,gp,affine_a2_b50,2.0,50.0,True,145.2156983613968,340.4313967227936,340.4313967227936,True
otsu,nuclei,nuclei_figure_2,gp,affine_a1_b100,1.0,100.0,True,145.2156983613968,245.2156983613968,245.2156983613968,True
otsu,nuclei,nuclei_figure_4,qep_q1.5,scale_0.5,0.5,0.0,True,102.9569402335328,51.4784701167664,51.4784701167664,True
otsu,nuclei,nuclei_figure_4,qep_q1.5,scale_2.0,2.0,0.0,True,102.9569402335328,205.9138804670656,205.9138804670656,True
otsu,nuclei,nuclei_figure_4,qep_q1.5,scale_10.0,10.0,0.0,True,102.9569402335328,1029.569402335328,1029.569402335328,True
otsu,nuclei,nuclei_figure_4,qep_q1.5,affine_a2_b50,2.0,50.0,True,102.9569402335328,255.9138804670656,255.9138804670656,True
otsu,nuclei,nuclei_figure_4,qep_q1.5,affine_a1_b100,1.0,100.0,True,102.9569402335328,202.9569402335328,202.9569402335328,True
otsu,whole_cell,whole_cell_figure_3,gp,scale_0.5,0.5,0.0,True,72.76253069937229,36.381265349686146,36.381265349686146,True
otsu,whole_cell,whole_cell_figure_3,gp,scale_2.0,2.0,0.0,True,72.76253069937229,145.52506139874458,145.52506139874458,True
otsu,whole_cell,whole_cell_figure_3,gp,scale_10.0,10.0,0.0,True,72.76253069937229,727.6253069937229,727.6253069937229,True
otsu,whole_cell,whole_cell_figure_3,gp,affine_a2_b50,2.0,50.0,True,72.76253069937229,195.52506139874458,195.52506139874458,True
otsu,whole_cell,whole_cell_figure_3,gp,affine_a1_b100,1.0,100.0,True,72.76253069937229,172.7625306993723,172.7625306993723,True
otsu,whole_cell,whole_cell_figure_5,raw,scale_0.5,0.5,0.0,True,75.544921875,37.7724609375,37.7724609375,True
otsu,whole_cell,whole_cell_figure_5,raw,scale_2.0,2.0,0.0,True,75.544921875,151.08984375,151.08984375,True
otsu,whole_cell,whole_cell_figure_5,raw,scale_10.0,10.0,0.0,True,75.544921875,755.44921875,755.44921875,True
otsu,whole_cell,whole_cell_figure_5,raw,affine_a2_b50,2.0,50.0,True,75.544921875,201.08984375,201.08984375,True
otsu,whole_cell,whole_cell_figure_5,raw,affine_a1_b100,1.0,100.0,True,75.544921875,175.544921875,175.544921875,True
li,nuclei,nuclei_figure_2,gp,scale_0.5,0.5,0.0,True,138.6119420047352,69.30597100236758,69.3059710023676,True
li,nuclei,nuclei_figure_2,gp,scale_2.0,2.0,0.0,True,138.6119420047352,277.2238840094704,277.2238840094704,True
li,nuclei,nuclei_figure_2,gp,scale_10.0,10.0,0.0,True,138.6119420047352,1386.119420047352,1386.119420047352,True
li,nuclei,nuclei_figure_2,gp,affine_a2_b50,2.0,50.0,True,138.6119420047352,327.2238840094704,327.2238840094704,True
li,nuclei,nuclei_figure_2,gp,affine_a1_b100,1.0,100.0,True,138.6119420047352,238.6119420047352,238.6119420047352,True
li,nuclei,nuclei_figure_4,qep_q1.5,scale_0.5,0.5,0.0,True,92.06025709649728,46.03012854824864,46.03012854824864,True
li,nuclei,nuclei_figure_4,qep_q1.5,scale_2.0,2.0,0.0,True,92.06025709649728,184.12051419299456,184.12051419299456,True
li,nuclei,nuclei_figure_4,qep_q1.5,scale_10.0,10.0,0.0,True,92.06025709649728,920.6025709649726,920.6025709649728,True
li,nuclei,nuclei_figure_4,qep_q1.5,affine_a2_b50,2.0,50.0,True,92.06025709649728,234.12051419299456,234.12051419299456,True
li,nuclei,nuclei_figure_4,qep_q1.5,affine_a1_b100,1.0,100.0,True,92.06025709649728,192.06025709649728,192.06025709649728,True
li,whole_cell,whole_cell_figure_3,gp,scale_0.5,0.5,0.0,True,63.715649301271355,31.85782465063562,31.857824650635678,True
li,whole_cell,whole_cell_figure_3,gp,scale_2.0,2.0,0.0,True,63.715649301271355,127.43129860254231,127.43129860254271,True
li,whole_cell,whole_cell_figure_3,gp,scale_10.0,10.0,0.0,True,63.715649301271355,637.1564930127145,637.1564930127136,True
li,whole_cell,whole_cell_figure_3,gp,affine_a2_b50,2.0,50.0,True,63.715649301271355,177.4312986025423,177.4312986025427,True
li,whole_cell,whole_cell_figure_3,gp,affine_a1_b100,1.0,100.0,True,63.715649301271355,163.71564930127136,163.71564930127136,True
li,whole_cell,whole_cell_figure_5,raw,scale_0.5,0.5,0.0,True,56.10153892038043,28.05076946019022,28.050769460190214,True
li,whole_cell,whole_cell_figure_5,raw,scale_2.0,2.0,0.0,True,56.10153892038043,112.20307784076086,112.20307784076086,True
li,whole_cell,whole_cell_figure_5,raw,scale_10.0,10.0,0.0,True,56.10153892038043,561.0153892038043,561.0153892038043,True
li,whole_cell,whole_cell_figure_5,raw,affine_a2_b50,2.0,50.0,True,56.10153892038043,162.20307784076084,162.20307784076084,True
li,whole_cell,whole_cell_figure_5,raw,affine_a1_b100,1.0,100.0,True,56.10153892038043,156.10153892038042,156.10153892038042,True
yen,nuclei,nuclei_figure_2,gp,scale_0.5,0.5,0.0,True,147.03558576107025,73.51779288053513,73.51779288053513,True
yen,nuclei,nuclei_figure_2,gp,scale_2.0,2.0,0.0,True,147.03558576107025,294.0711715221405,294.0711715221405,True
yen,nuclei,nuclei_figure_2,gp,scale_10.0,10.0,0.0,True,147.03558576107025,1470.3558576107025,1470.3558576107025,True
yen,nuclei,nuclei_figure_2,gp,affine_a2_b50,2.0,50.0,True,147.03558576107025,344.0711715221405,344.0711715221405,True
yen,nuclei,nuclei_figure_2,gp,affine_a1_b100,1.0,100.0,True,147.03558576107025,247.03558576107025,247.03558576107025,True
yen,nuclei,nuclei_figure_4,qep_q1.5,scale_0.5,0.5,0.0,True,93.49533253250411,46.747666266252054,46.747666266252054,True
yen,nuclei,nuclei_figure_4,qep_q1.5,scale_2.0,2.0,0.0,True,93.49533253250411,186.99066506500822,186.99066506500822,True
yen,nuclei,nuclei_figure_4,qep_q1.5,scale_10.0,10.0,0.0,True,93.49533253250411,934.9533253250411,934.9533253250411,True
yen,nuclei,nuclei_figure_4,qep_q1.5,affine_a2_b50,2.0,50.0,True,93.49533253250411,236.99066506500822,236.99066506500822,True
yen,nuclei,nuclei_figure_4,qep_q1.5,affine_a1_b100,1.0,100.0,True,93.49533253250411,193.4953325325041,193.4953325325041,True
yen,whole_cell,whole_cell_figure_3,gp,scale_0.5,0.5,0.0,True,79.08899407088757,39.54449703544378,39.54449703544378,True
yen,whole_cell,whole_cell_figure_3,gp,scale_2.0,2.0,0.0,True,79.08899407088757,158.17798814177513,158.17798814177513,True
yen,whole_cell,whole_cell_figure_3,gp,scale_10.0,10.0,0.0,True,79.08899407088757,790.8899407088757,790.8899407088757,True
yen,whole_cell,whole_cell_figure_3,gp,affine_a2_b50,2.0,50.0,True,79.08899407088757,208.17798814177513,208.17798814177513,True
yen,whole_cell,whole_cell_figure_3,gp,affine_a1_b100,1.0,100.0,True,79.08899407088757,179.08899407088757,179.08899407088757,True
yen,whole_cell,whole_cell_figure_5,raw,scale_0.5,0.5,0.0,True,68.736328125,34.3681640625,34.3681640625,True
yen,whole_cell,whole_cell_figure_5,raw,scale_2.0,2.0,0.0,True,68.736328125,137.47265625,137.47265625,True
yen,whole_cell,whole_cell_figure_5,raw,scale_10.0,10.0,0.0,True,68.736328125,687.36328125,687.36328125,True
yen,whole_cell,whole_cell_figure_5,raw,affine_a2_b50,2.0,50.0,True,68.736328125,187.47265625,187.47265625,True
yen,whole_cell,whole_cell_figure_5,raw,affine_a1_b100,1.0,100.0,True,68.736328125,168.736328125,168.736328125,True
triangle,nuclei,nuclei_figure_2,gp,scale_0.5,0.5,0.0,True,139.14940702915192,69.57470351457596,69.57470351457596,True
triangle,nuclei,nuclei_figure_2,gp,scale_2.0,2.0,0.0,True,139.14940702915192,278.29881405830383,278.29881405830383,True
triangle,nuclei,nuclei_figure_2,gp,scale_10.0,10.0,0.0,True,139.14940702915192,1391.4940702915192,1391.4940702915192,True
triangle,nuclei,nuclei_figure_2,gp,affine_a2_b50,2.0,50.0,True,139.14940702915192,328.29881405830383,328.29881405830383,True
triangle,nuclei,nuclei_figure_2,gp,affine_a1_b100,1.0,100.0,True,139.14940702915192,239.14940702915192,239.14940702915192,True
triangle,nuclei,nuclei_figure_4,qep_q1.5,scale_0.5,0.5,0.0,True,85.08501457603415,42.54250728801708,42.54250728801708,True
triangle,nuclei,nuclei_figure_4,qep_q1.5,scale_2.0,2.0,0.0,True,85.08501457603415,170.1700291520683,170.1700291520683,True
triangle,nuclei,nuclei_figure_4,qep_q1.5,scale_10.0,10.0,0.0,True,85.08501457603415,850.8501457603415,850.8501457603415,True
triangle,nuclei,nuclei_figure_4,qep_q1.5,affine_a2_b50,2.0,50.0,True,85.08501457603415,220.1700291520683,220.1700291520683,True
triangle,nuclei,nuclei_figure_4,qep_q1.5,affine_a1_b100,1.0,100.0,True,85.08501457603415,185.08501457603415,185.08501457603415,True
triangle,whole_cell,whole_cell_figure_3,gp,scale_0.5,0.5,0.0,True,43.66079919040203,21.830399595201015,21.830399595201015,True
triangle,whole_cell,whole_cell_figure_3,gp,scale_2.0,2.0,0.0,True,43.66079919040203,87.32159838080406,87.32159838080406,True
triangle,whole_cell,whole_cell_figure_3,gp,scale_10.0,10.0,0.0,True,43.66079919040203,436.6079919040203,436.6079919040203,True
triangle,whole_cell,whole_cell_figure_3,gp,affine_a2_b50,2.0,50.0,True,43.66079919040203,137.32159838080406,137.32159838080406,True
triangle,whole_cell,whole_cell_figure_3,gp,affine_a1_b100,1.0,100.0,True,43.66079919040203,143.66079919040203,143.66079919040203,True
triangle,whole_cell,whole_cell_figure_5,raw,scale_0.5,0.5,0.0,True,41.501953125,20.7509765625,20.7509765625,True
triangle,whole_cell,whole_cell_figure_5,raw,scale_2.0,2.0,0.0,True,41.501953125,83.00390625,83.00390625,True
triangle,whole_cell,whole_cell_figure_5,raw,scale_10.0,10.0,0.0,True,41.501953125,415.01953125,415.01953125,True
triangle,whole_cell,whole_cell_figure_5,raw,affine_a2_b50,2.0,50.0,True,41.501953125,133.00390625,133.00390625,True
triangle,whole_cell,whole_cell_figure_5,raw,affine_a1_b100,1.0,100.0,True,41.501953125,141.501953125,141.501953125,True
quantile_p0.8,nuclei,nuclei_figure_2,gp,scale_0.5,0.5,0.0,True,129.16622314453124,64.58311157226562,64.58311157226562,True
quantile_p0.8,nuclei,nuclei_figure_2,gp,scale_2.0,2.0,0.0,True,129.16622314453124,258.3324462890625,258.3324462890625,True
quantile_p0.8,nuclei,nuclei_figure_2,gp,scale_10.0,10.0,0.0,True,129.16622314453124,1291.6622314453125,1291.6622314453125,True
quantile_p0.8,nuclei,nuclei_figure_2,gp,affine_a2_b50,2.0,50.0,True,129.16622314453124,308.3324462890625,308.3324462890625,True
quantile_p0.8,nuclei,nuclei_figure_2,gp,affine_a1_b100,1.0,100.0,True,129.16622314453124,229.16622314453124,229.16622314453124,True
quantile_p0.8,nuclei,nuclei_figure_4,qep_q1.5,scale_0.5,0.5,0.0,True,69.66321258544922,34.83160629272461,34.83160629272461,True
quantile_p0.8,nuclei,nuclei_figure_4,qep_q1.5,scale_2.0,2.0,0.0,True,69.66321258544922,139.32642517089843,139.32642517089843,True
quantile_p0.8,nuclei,nuclei_figure_4,qep_q1.5,scale_10.0,10.0,0.0,True,69.66321258544922,696.6321258544922,696.6321258544922,True
quantile_p0.8,nuclei,nuclei_figure_4,qep_q1.5,affine_a2_b50,2.0,50.0,True,69.66321258544922,189.32642517089843,189.32642517089843,True
quantile_p0.8,nuclei,nuclei_figure_4,qep_q1.5,affine_a1_b100,1.0,100.0,True,69.66321258544922,169.66321258544923,169.66321258544923,True
quantile_p0.8,whole_cell,whole_cell_figure_3,gp,scale_0.5,0.5,0.0,True,56.459756469726564,28.229878234863282,28.229878234863282,True
quantile_p0.8,whole_cell,whole_cell_figure_3,gp,scale_2.0,2.0,0.0,True,56.459756469726564,112.91951293945313,112.91951293945313,True
quantile_p0.8,whole_cell,whole_cell_figure_3,gp,scale_10.0,10.0,0.0,True,56.459756469726564,564.5975646972656,564.5975646972656,True
quantile_p0.8,whole_cell,whole_cell_figure_3,gp,affine_a2_b50,2.0,50.0,True,56.459756469726564,162.91951293945314,162.9195129394531,True
quantile_p0.8,whole_cell,whole_cell_figure_3,gp,affine_a1_b100,1.0,100.0,True,56.459756469726564,156.45975646972656,156.45975646972656,True
quantile_p0.8,whole_cell,whole_cell_figure_5,raw,scale_0.5,0.5,0.0,True,64.0,32.0,32.0,True
quantile_p0.8,whole_cell,whole_cell_figure_5,raw,scale_2.0,2.0,0.0,True,64.0,128.0,128.0,True
quantile_p0.8,whole_cell,whole_cell_figure_5,raw,scale_10.0,10.0,0.0,True,64.0,640.0,640.0,True
quantile_p0.8,whole_cell,whole_cell_figure_5,raw,affine_a2_b50,2.0,50.0,True,64.0,178.0,178.0,True
quantile_p0.8,whole_cell,whole_cell_figure_5,raw,affine_a1_b100,1.0,100.0,True,64.0,164.0,164.0,True
quantile_p0.85,nuclei,nuclei_figure_2,gp,scale_0.5,0.5,0.0,True,131.9452033996582,65.9726016998291,65.9726016998291,True
quantile_p0.85,nuclei,nuclei_figure_2,gp,scale_2.0,2.0,0.0,True,131.9452033996582,263.8904067993164,263.8904067993164,True
quantile_p0.85,nuclei,nuclei_figure_2,gp,scale_10.0,10.0,0.0,True,131.9452033996582,1319.452033996582,1319.452033996582,True
quantile_p0.85,nuclei,nuclei_figure_2,gp,affine_a2_b50,2.0,50.0,True,131.9452033996582,313.8904067993164,313.8904067993164,True
quantile_p0.85,nuclei,nuclei_figure_2,gp,affine_a1_b100,1.0,100.0,True,131.9452033996582,231.9452033996582,231.9452033996582,True
quantile_p0.85,nuclei,nuclei_figure_4,qep_q1.5,scale_0.5,0.5,0.0,True,74.32863540649413,37.164317703247065,37.164317703247065,True
quantile_p0.85,nuclei,nuclei_figure_4,qep_q1.5,scale_2.0,2.0,0.0,True,74.32863540649413,148.65727081298826,148.65727081298826,True
quantile_p0.85,nuclei,nuclei_figure_4,qep_q1.5,scale_10.0,10.0,0.0,True,74.32863540649413,743.2863540649413,743.2863540649413,True
quantile_p0.85,nuclei,nuclei_figure_4,qep_q1.5,affine_a2_b50,2.0,50.0,True,74.32863540649413,198.65727081298826,198.65727081298826,True
quantile_p0.85,nuclei,nuclei_figure_4,qep_q1.5,affine_a1_b100,1.0,100.0,True,74.32863540649413,174.32863540649413,174.32863540649413,True
quantile_p0.85,whole_cell,whole_cell_figure_3,gp,scale_0.5,0.5,0.0,True,72.91596450805663,36.457982254028316,36.457982254028316,True
quantile_p0.85,whole_cell,whole_cell_figure_3,gp,scale_2.0,2.0,0.0,True,72.91596450805663,145.83192901611326,145.83192901611326,True
quantile_p0.85,whole_cell,whole_cell_figure_3,gp,scale_10.0,10.0,0.0,True,72.91596450805663,729.1596450805663,729.1596450805663,True
quantile_p0.85,whole_cell,whole_cell_figure_3,gp,affine_a2_b50,2.0,50.0,True,72.91596450805663,195.83192901611326,195.83192901611326,True
quantile_p0.85,whole_cell,whole_cell_figure_3,gp,affine_a1_b100,1.0,100.0,True,72.91596450805663,172.91596450805662,172.91596450805662,True
quantile_p0.85,whole_cell,whole_cell_figure_5,raw,scale_0.5,0.5,0.0,True,84.0,42.0,42.0,True
quantile_p0.85,whole_cell,whole_cell_figure_5,raw,scale_2.0,2.0,0.0,True,84.0,168.0,168.0,True
quantile_p0.85,whole_cell,whole_cell_figure_5,raw,scale_10.0,10.0,0.0,True,84.0,840.0,840.0,True
quantile_p0.85,whole_cell,whole_cell_figure_5,raw,affine_a2_b50,2.0,50.0,True,84.0,218.0,218.0,True
quantile_p0.85,whole_cell,whole_cell_figure_5,raw,affine_a1_b100,1.0,100.0,True,84.0,184.0,184.0,True
quantile_p0.9,nuclei,nuclei_figure_2,gp,scale_0.5,0.5,0.0,True,139.22886199951174,69.61443099975587,69.61443099975587,True
