dataset,image,role,arm,n_gt,matched,missing_foreground,boundary_under,merged,split,cleanup_lost,other_low_iou,instance_recall_iou50,mean_fg_coverage,n_spurious
nuclei,nuclei_figure_1,development,gp,330,240,6,17,67,0,0,0,0.7272727272727273,0.8398547017101599,10
nuclei,nuclei_figure_1,development,qep_q1.5,330,234,6,18,71,1,0,0,0.7090909090909091,0.840772500922857,10
nuclei,nuclei_figure_1,development,qep_q2,330,240,6,17,67,0,0,0,0.7272727272727273,0.8398547017101599,10
nuclei,nuclei_figure_1,development,raw,330,260,6,19,45,0,0,0,0.7878787878787878,0.8099072230390121,11
nuclei,nuclei_figure_2,heldout_candidate,gp,77,42,6,5,22,0,1,1,0.5454545454545454,0.7723067364776937,0
nuclei,nuclei_figure_2,heldout_candidate,qep_q1.5,77,37,6,5,28,0,1,0,0.4805194805194805,0.8051501484364932,0
nuclei,nuclei_figure_2,heldout_candidate,qep_q2,77,42,6,5,22,0,1,1,0.5454545454545454,0.7723067364776937,0
nuclei,nuclei_figure_2,heldout_candidate,raw,77,64,1,1,11,0,0,0,0.8311688311688312,0.7934949001998175,0
nuclei,nuclei_figure_3,heldout_candidate,gp,251,141,15,9,85,0,1,0,0.5617529880478087,0.7962146954404234,11
nuclei,nuclei_figure_3,heldout_candidate,qep_q1.5,251,138,15,11,85,0,2,0,0.549800796812749,0.7955276981171392,10
nuclei,nuclei_figure_3,heldout_candidate,qep_q2,251,141,15,9,85,0,1,0,0.5617529880478087,0.7962146954404234,11
nuclei,nuclei_figure_3,heldout_candidate,raw,251,183,7,8,50,0,3,0,0.7290836653386454,0.7795628381488054,4
nuclei,nuclei_figure_4,heldout_candidate,gp,254,192,6,4,52,0,0,0,0.7559055118110236,0.8685436912345039,0
nuclei,nuclei_figure_4,heldout_candidate,qep_q1.5,254,193,5,6,50,0,0,0,0.7598425196850394,0.8672967542053556,0
nuclei,nuclei_figure_4,heldout_candidate,qep_q2,254,192,6,4,52,0,0,0,0.7559055118110236,0.8685436912345039,0
nuclei,nuclei_figure_4,heldout_candidate,raw,254,219,1,3,30,0,1,0,0.8622047244094488,0.7771427923384714,2
nuclei,nuclei_figure_5,heldout_candidate,gp,151,124,4,4,15,4,0,0,0.8211920529801324,0.9112818525082912,3
nuclei,nuclei_figure_5,heldout_candidate,qep_q1.5,151,126,4,4,13,4,0,0,0.8344370860927153,0.9144324300678496,3
nuclei,nuclei_figure_5,heldout_candidate,qep_q2,151,124,4,4,15,4,0,0,0.8211920529801324,0.9112818525082912,3
nuclei,nuclei_figure_5,heldout_candidate,raw,151,131,4,3,6,5,0,2,0.8675496688741722,0.8671848239916143,7
whole_cell,whole_cell_figure_1,development,gp,403,232,5,31,126,7,2,0,0.575682382133995,0.6826821816171205,22
whole_cell,whole_cell_figure_1,development,qep_q1.5,403,231,3,23,136,7,2,1,0.5732009925558312,0.715476014582943,20
whole_cell,whole_cell_figure_1,development,qep_q2,403,232,5,31,126,7,2,0,0.575682382133995,0.6826821816171205,22
whole_cell,whole_cell_figure_1,development,raw,403,258,2,14,121,7,1,0,0.6401985111662531,0.7450191189361057,12
whole_cell,whole_cell_figure_2,heldout_candidate,gp,41,18,1,17,0,2,0,3,0.43902439024390244,0.6202528504396262,64
whole_cell,whole_cell_figure_2,heldout_candidate,qep_q1.5,41,18,1,18,0,1,0,3,0.43902439024390244,0.6213655910725542,57
whole_cell,whole_cell_figure_2,heldout_candidate,qep_q2,41,18,1,17,0,2,0,3,0.43902439024390244,0.6202528504396262,64
whole_cell,whole_cell_figure_2,heldout_candidate,raw,41,18,1,16,2,3,0,1,0.43902439024390244,0.661306861573975,71
whole_cell,whole_cell_figure_3,heldout_candidate,gp,417,181,19,105,104,1,6,1,0.434052757793765,0.5563211567629526,14
whole_cell,whole_cell_figure_3,heldout_candidate,qep_q1.5,417,202,15,79,112,2,7,0,0.4844124700239808,0.5935211013755347,9
whole_cell,whole_cell_figure_3,heldout_candidate,qep_q2,417,181,19,105,104,1,6,1,0.434052757793765,0.5563211567629526,14
whole_cell,whole_cell_figure_3,heldout_candidate,raw,417,247,9,57,97,1,5,1,0.592326139088729,0.6212560417293234,5
whole_cell,whole_cell_figure_4,heldout_candidate,gp,73,31,4,9,20,6,0,3,0.4246575342465753,0.7518339156301856,46
whole_cell,whole_cell_figure_4,heldout_candidate,qep_q1.5,73,34,5,9,20,4,0,1,0.4657534246575342,0.7477976291172028,42
whole_cell,whole_cell_figure_4,heldout_candidate,qep_q2,73,31,4,9,20,6,0,3,0.4246575342465753,0.7518339156301856,46
whole_cell,whole_cell_figure_4,heldout_candidate,raw,73,29,4,18,10,7,0,5,0.3972602739726027,0.72452191226516,72
whole_cell,whole_cell_figure_5,heldout_candidate,gp,89,21,3,40,5,5,0,15,0.23595505617977527,0.5510869353923274,147
whole_cell,whole_cell_figure_5,heldout_candidate,qep_q1.5,89,25,3,41,7,3,0,10,0.2808988764044944,0.5715287027225657,135
whole_cell,whole_cell_figure_5,heldout_candidate,qep_q2,89,21,3,40,5,5,0,15,0.23595505617977527,0.5510869353923274,147
whole_cell,whole_cell_figure_5,heldout_candidate,raw,89,37,1,32,9,5,0,5,0.4157303370786517,0.6187010124315018,135
