pilot,role,dataset,image,arm,w,ap50,ap75,n_pred,n_gt,merged,split,n_markers,mean_matched_iou
P1_elevation,development,nuclei,nuclei_figure_1,raw,1.0,0.6933333333333334,0.35683760683760685,305,330,58,0,11943,0.6776639347054352
P1_elevation,development,nuclei,nuclei_figure_1,raw,0.8,0.6843501326259946,0.35974304068522484,305,330,58,0,11943,0.6785339095366925
P1_elevation,development,nuclei,nuclei_figure_1,raw,0.6,0.6888297872340425,0.3626609442060086,305,330,58,0,11943,0.6789695437863901
P1_elevation,development,nuclei,nuclei_figure_1,raw,0.4,0.6888297872340425,0.3626609442060086,305,330,58,0,11943,0.6790288262551378
P1_elevation,development,nuclei,nuclei_figure_1,raw,0.2,0.6888297872340425,0.3626609442060086,305,330,58,0,11943,0.6791270997195064
P1_elevation,development,nuclei,nuclei_figure_1,gp,1.0,0.625,0.2972972972972973,294,330,82,2,309,0.6391363749556644
P1_elevation,development,nuclei,nuclei_figure_1,gp,0.8,0.625,0.302713987473904,294,330,82,2,309,0.639875075599093
P1_elevation,development,nuclei,nuclei_figure_1,gp,0.6,0.6207792207792208,0.3,294,330,83,2,309,0.6387383279656139
P1_elevation,development,nuclei,nuclei_figure_1,gp,0.4,0.6207792207792208,0.3,294,330,83,2,309,0.6389707408735201
P1_elevation,development,nuclei,nuclei_figure_1,gp,0.2,0.6223958333333334,0.30062630480167013,293,330,83,1,309,0.6387078852872246
P1_elevation,development,nuclei,nuclei_figure_1,qep_q2,1.0,0.625,0.2972972972972973,294,330,82,2,309,0.6391363749556644
P1_elevation,development,nuclei,nuclei_figure_1,qep_q2,0.8,0.625,0.302713987473904,294,330,82,2,309,0.639875075599093
P1_elevation,development,nuclei,nuclei_figure_1,qep_q2,0.6,0.6207792207792208,0.3,294,330,83,2,309,0.6387383279656139
P1_elevation,development,nuclei,nuclei_figure_1,qep_q2,0.4,0.6207792207792208,0.3,294,330,83,2,309,0.6389707408735201
P1_elevation,development,nuclei,nuclei_figure_1,qep_q2,0.2,0.6223958333333334,0.30062630480167013,293,330,83,1,309,0.6387078852872246
P1_elevation,development,nuclei,nuclei_figure_1,qep_q1.5,1.0,0.59846547314578,0.2966804979253112,295,330,85,5,306,0.6334562014636883
P1_elevation,development,nuclei,nuclei_figure_1,qep_q1.5,0.8,0.6066838046272494,0.2939958592132505,295,330,84,4,306,0.6344646748303071
P1_elevation,development,nuclei,nuclei_figure_1,qep_q1.5,0.6,0.59846547314578,0.29132231404958675,295,330,86,5,306,0.6332629449106996
P1_elevation,development,nuclei,nuclei_figure_1,qep_q1.5,0.4,0.59846547314578,0.29132231404958675,295,330,86,4,306,0.6333468586227282
P1_elevation,development,nuclei,nuclei_figure_1,qep_q1.5,0.2,0.6015424164524421,0.29791666666666666,293,330,86,2,306,0.6339653884715284
P1_elevation,development,whole_cell,whole_cell_figure_1,raw,1.0,0.5276073619631901,0.07947976878612717,344,403,147,15,525,0.5553628453480189
P1_elevation,development,whole_cell,whole_cell_figure_1,raw,0.8,0.5509355509355509,0.08905109489051095,343,403,142,6,525,0.5637058322377217
P1_elevation,development,whole_cell,whole_cell_figure_1,raw,0.6,0.5532359081419624,0.08613138686131387,341,403,145,6,525,0.5626005511122164
P1_elevation,development,whole_cell,whole_cell_figure_1,raw,0.4,0.5564853556485355,0.08771929824561403,341,403,145,6,525,0.5624834187215141
P1_elevation,development,whole_cell,whole_cell_figure_1,raw,0.2,0.5677966101694916,0.0898379970544919,337,403,144,6,525,0.5647708852332273
P1_elevation,development,whole_cell,whole_cell_figure_1,gp,1.0,0.44529750479846447,0.03576341127922971,350,403,144,18,407,0.5096238800826246
P1_elevation,development,whole_cell,whole_cell_figure_1,gp,0.8,0.45454545454545453,0.04155124653739612,349,403,143,13,407,0.5145658102856363
P1_elevation,development,whole_cell,whole_cell_figure_1,gp,0.6,0.4591439688715953,0.03734439834024896,347,403,143,13,407,0.5151278955807645
P1_elevation,development,whole_cell,whole_cell_figure_1,gp,0.4,0.46771037181996084,0.04022191400832178,347,403,141,12,407,0.5170862865155929
P1_elevation,development,whole_cell,whole_cell_figure_1,gp,0.2,0.468503937007874,0.043356643356643354,343,403,141,8,407,0.5145372782420241
P1_elevation,development,whole_cell,whole_cell_figure_1,qep_q2,1.0,0.44529750479846447,0.03576341127922971,350,403,144,18,407,0.5096238800826246
P1_elevation,development,whole_cell,whole_cell_figure_1,qep_q2,0.8,0.45454545454545453,0.04155124653739612,349,403,143,13,407,0.5145658102856363
P1_elevation,development,whole_cell,whole_cell_figure_1,qep_q2,0.6,0.4591439688715953,0.03734439834024896,347,403,143,13,407,0.5151278955807645
P1_elevation,development,whole_cell,whole_cell_figure_1,qep_q2,0.4,0.46771037181996084,0.04022191400832178,347,403,141,12,407,0.5170862865155929
P1_elevation,development,whole_cell,whole_cell_figure_1,qep_q2,0.2,0.468503937007874,0.043356643356643354,343,403,141,8,407,0.5145372782420241
P1_elevation,development,whole_cell,whole_cell_figure_1,qep_q1.5,1.0,0.4502923976608187,0.07050359712230216,341,403,155,16,382,0.5194512530689788
P1_elevation,development,whole_cell,whole_cell_figure_1,qep_q1.5,0.8,0.45972495088408644,0.07369942196531792,340,403,155,15,382,0.5226083798388161
P1_elevation,development,whole_cell,whole_cell_figure_1,qep_q1.5,0.6,0.45972495088408644,0.07369942196531792,340,403,155,14,382,0.5253485731372568
P1_elevation,development,whole_cell,whole_cell_figure_1,qep_q1.5,0.4,0.4722222222222222,0.0707070707070707,339,403,155,12,382,0.5266403700574245
P1_elevation,development,whole_cell,whole_cell_figure_1,qep_q1.5,0.2,0.4721115537848606,0.07256894049346879,336,403,154,10,382,0.5234388352730679
P1_elevation,heldout_candidate,nuclei,nuclei_figure_2,raw,1.0,0.7804878048780488,0.5051546391752577,69,77,13,0,90,0.7190860041732863
P1_elevation,heldout_candidate,nuclei,nuclei_figure_2,gp,1.0,0.45652173913043476,0.06349206349206349,57,77,24,0,64,0.484431128454854
P1_elevation,heldout_candidate,nuclei,nuclei_figure_2,qep_q2,1.0,0.45652173913043476,0.06349206349206349,57,77,24,0,64,0.484431128454854
P1_elevation,heldout_candidate,nuclei,nuclei_figure_2,qep_q1.5,1.0,0.3894736842105263,0.03125,55,77,29,0,59,0.4421775170239045
P1_elevation,heldout_candidate,nuclei,nuclei_figure_3,raw,1.0,0.6654545454545454,0.30113636363636365,207,251,71,1,3985,0.6230864340079662
P1_elevation,heldout_candidate,nuclei,nuclei_figure_3,gp,1.0,0.47,0.13953488372093023,190,251,104,2,225,0.5105525168805696
P1_elevation,heldout_candidate,nuclei,nuclei_figure_3,qep_q2,1.0,0.47,0.13953488372093023,190,251,104,2,225,0.5105525168805696
P1_elevation,heldout_candidate,nuclei,nuclei_figure_3,qep_q1.5,1.0,0.45695364238410596,0.12244897959183673,189,251,104,2,227,0.5043268882388268
P1_elevation,heldout_candidate,nuclei,nuclei_figure_4,raw,1.0,0.8141263940520446,0.43529411764705883,234,254,37,0,1785,0.7066459711636213
P1_elevation,heldout_candidate,nuclei,nuclei_figure_4,gp,1.0,0.6857142857142857,0.34472934472934474,218,254,59,0,222,0.6560808651921519
P1_elevation,heldout_candidate,nuclei,nuclei_figure_4,qep_q2,1.0,0.6857142857142857,0.34472934472934474,218,254,59,0,222,0.6560808651921519
P1_elevation,heldout_candidate,nuclei,nuclei_figure_4,qep_q1.5,1.0,0.6917562724014337,0.3409090909090909,218,254,58,0,222,0.6566662374152431
P1_elevation,heldout_candidate,nuclei,nuclei_figure_5,raw,1.0,0.7572254335260116,0.5916230366492147,153,151,8,5,5495,0.7821913855396759
P1_elevation,heldout_candidate,nuclei,nuclei_figure_5,gp,1.0,0.7167630057803468,0.3561643835616438,146,151,17,4,149,0.6978456577244918
P1_elevation,heldout_candidate,nuclei,nuclei_figure_5,qep_q2,1.0,0.7167630057803468,0.3561643835616438,146,151,17,4,149,0.6978456577244918
P1_elevation,heldout_candidate,nuclei,nuclei_figure_5,qep_q1.5,1.0,0.7325581395348837,0.33035714285714285,147,151,17,5,150,0.6953839230478265
P1_elevation,heldout_candidate,whole_cell,whole_cell_figure_2,raw,0.2,0.2,0.022222222222222223,97,41,6,1,584,0.5302005071411451
P1_elevation,heldout_candidate,whole_cell,whole_cell_figure_2,raw,1.0,0.13333333333333333,0.02,112,41,2,3,584,0.48282849682161566
P1_elevation,heldout_candidate,whole_cell,whole_cell_figure_2,gp,0.2,0.19130434782608696,0.014814814814814815,96,41,2,0,141,0.5096296517302936
P1_elevation,heldout_candidate,whole_cell,whole_cell_figure_2,gp,1.0,0.14285714285714285,0.014084507042253521,103,41,0,2,141,0.47578399021012235
P1_elevation,heldout_candidate,whole_cell,whole_cell_figure_2,qep_q2,0.2,0.19130434782608696,0.014814814814814815,96,41,2,0,141,0.5096296517302936
P1_elevation,heldout_candidate,whole_cell,whole_cell_figure_2,qep_q2,1.0,0.14285714285714285,0.014084507042253521,103,41,0,2,141,0.47578399021012235
P1_elevation,heldout_candidate,whole_cell,whole_cell_figure_2,qep_q1.5,0.2,0.18018018018018017,0.015503875968992248,90,41,2,0,124,0.5112549026484078
P1_elevation,heldout_candidate,whole_cell,whole_cell_figure_2,qep_q1.5,1.0,0.15254237288135594,0.014925373134328358,95,41,0,1,124,0.48200199619182144
P1_elevation,heldout_candidate,whole_cell,whole_cell_figure_3,raw,0.2,0.4713740458015267,0.029372496662216287,354,417,104,1,461,0.514784164702782
P1_elevation,heldout_candidate,whole_cell,whole_cell_figure_3,raw,1.0,0.4704761904761905,0.026595744680851064,355,417,108,4,461,0.5111946989407116
P1_elevation,heldout_candidate,whole_cell,whole_cell_figure_3,gp,0.2,0.3099315068493151,0.007905138339920948,348,417,108,1,384,0.4548361756368845
P1_elevation,heldout_candidate,whole_cell,whole_cell_figure_3,gp,1.0,0.30887372013651876,0.006561679790026247,350,417,110,3,384,0.45230403080451725
P1_elevation,heldout_candidate,whole_cell,whole_cell_figure_3,qep_q2,0.2,0.3099315068493151,0.007905138339920948,348,417,108,1,384,0.4548361756368845
P1_elevation,heldout_candidate,whole_cell,whole_cell_figure_3,qep_q2,1.0,0.30887372013651876,0.006561679790026247,350,417,110,3,384,0.45230403080451725
P1_elevation,heldout_candidate,whole_cell,whole_cell_figure_3,qep_q1.5,0.2,0.35714285714285715,0.020134228187919462,343,417,119,3,373,0.4764377081697526
P1_elevation,heldout_candidate,whole_cell,whole_cell_figure_3,qep_q1.5,1.0,0.3613595706618962,0.014666666666666666,344,417,118,3,373,0.4740650534996825
P1_elevation,heldout_candidate,whole_cell,whole_cell_figure_4,raw,0.2,0.2,0.058823529411764705,125,73,16,9,2460,0.48369449115231167
P1_elevation,heldout_candidate,whole_cell,whole_cell_figure_4,raw,1.0,0.15846994535519127,0.05472636815920398,139,73,15,11,2460,0.4768182907557881
P1_elevation,heldout_candidate,whole_cell,whole_cell_figure_4,gp,0.2,0.2753623188405797,0.07317073170731707,103,73,22,3,122,0.5072137233345219
