pilot,role,dataset,image,arm,wm,ap50,ap75,n_pred,n_gt,merged,split,n_markers,mean_matched_iou
P2_markers,development,nuclei,nuclei_figure_1,raw,1.0,0.6933333333333334,0.35683760683760685,305,330,58,0,11943,0.6776639347054352
P2_markers,development,nuclei,nuclei_figure_1,raw,0.7,0.6605263157894737,0.32563025210084034,301,330,73,4,11939,0.6622538917451932
P2_markers,development,nuclei,nuclei_figure_1,raw,0.5,0.6492146596858639,0.3235294117647059,300,330,76,4,11938,0.6585032116648366
P2_markers,development,nuclei,nuclei_figure_1,raw,0.3,0.6509186351706037,0.32142857142857145,299,330,77,4,11941,0.6559021201889426
P2_markers,development,nuclei,nuclei_figure_1,raw,0.0,0.6285714285714286,0.3283898305084746,297,330,80,3,11963,0.6508763884198548
P2_markers,development,nuclei,nuclei_figure_1,gp,1.0,0.625,0.2972972972972973,294,330,82,2,309,0.6391363749556644
P2_markers,development,nuclei,nuclei_figure_1,gp,0.7,0.6113989637305699,0.28778467908902694,292,330,86,2,307,0.6327752436518278
P2_markers,development,nuclei,nuclei_figure_1,gp,0.5,0.6015424164524421,0.2871900826446281,293,330,89,3,308,0.6317955449887829
P2_markers,development,nuclei,nuclei_figure_1,gp,0.3,0.5746835443037974,0.28512396694214875,292,330,94,3,309,0.6249826327050577
P2_markers,development,nuclei,nuclei_figure_1,gp,0.0,0.5594936708860759,0.2860125260960334,286,330,101,1,313,0.6159133377829128
P2_markers,development,nuclei,nuclei_figure_1,qep_q2,1.0,0.625,0.2972972972972973,294,330,82,2,309,0.6391363749556644
P2_markers,development,nuclei,nuclei_figure_1,qep_q2,0.7,0.6113989637305699,0.28778467908902694,292,330,86,2,307,0.6327752436518278
P2_markers,development,nuclei,nuclei_figure_1,qep_q2,0.5,0.6015424164524421,0.2871900826446281,293,330,89,3,308,0.6317955449887829
P2_markers,development,nuclei,nuclei_figure_1,qep_q2,0.3,0.5746835443037974,0.28512396694214875,292,330,94,3,309,0.6249826327050577
P2_markers,development,nuclei,nuclei_figure_1,qep_q2,0.0,0.5594936708860759,0.2860125260960334,286,330,101,1,313,0.6159133377829128
P2_markers,development,nuclei,nuclei_figure_1,qep_q1.5,1.0,0.59846547314578,0.2966804979253112,295,330,85,5,306,0.6334562014636883
P2_markers,development,nuclei,nuclei_figure_1,qep_q1.5,0.7,0.6005154639175257,0.2910602910602911,291,330,87,3,302,0.6293960684819496
P2_markers,development,nuclei,nuclei_figure_1,qep_q1.5,0.5,0.5805626598465473,0.2875,288,330,93,2,299,0.6242926442622968
P2_markers,development,nuclei,nuclei_figure_1,qep_q1.5,0.3,0.5681818181818182,0.2857142857142857,291,330,93,5,305,0.6214994398668092
P2_markers,development,nuclei,nuclei_figure_1,qep_q1.5,0.0,0.5606060606060606,0.2875,288,330,98,2,310,0.6174213770679302
P2_markers,development,whole_cell,whole_cell_figure_1,raw,1.0,0.5276073619631901,0.07947976878612717,344,403,147,15,524,0.5553542270875431
P2_markers,development,whole_cell,whole_cell_figure_1,raw,0.7,0.5913978494623656,0.08187134502923976,337,403,137,8,512,0.5653977130036878
P2_markers,development,whole_cell,whole_cell_figure_1,raw,0.5,0.5726315789473684,0.08575581395348837,344,403,133,13,523,0.5684471860161805
P2_markers,development,whole_cell,whole_cell_figure_1,raw,0.3,0.5483193277310925,0.08541973490427099,334,403,149,13,522,0.5550465622405144
P2_markers,development,whole_cell,whole_cell_figure_1,raw,0.0,0.551063829787234,0.08482142857142858,326,403,150,8,531,0.5483736099067978
P2_markers,development,whole_cell,whole_cell_figure_1,gp,1.0,0.44529750479846447,0.03576341127922971,350,403,144,18,407,0.5096238800826246
P2_markers,development,whole_cell,whole_cell_figure_1,gp,0.7,0.47128712871287126,0.03770949720670391,340,403,144,13,398,0.5166059287551309
P2_markers,development,whole_cell,whole_cell_figure_1,gp,0.5,0.46548323471400394,0.04061624649859944,340,403,146,14,402,0.5120927212706577
