dataset,image,role,arm,variant,oracle,ap50,ap75,n_pred,n_gt,n_markers,merged,rule,scope,fg_dice,fg_iou
nuclei,nuclei_figure_1,development,(none),ORACLE_foreground,True,0.8764705882352941,0.7196765498652291,308,330.0,308.0,57,,,,
nuclei,nuclei_figure_1,development,raw,real_pipeline,False,0.6933333333333334,0.35683760683760685,305,330.0,11943.0,58,,,,
nuclei,nuclei_figure_1,development,raw,ORACLE_markers_real_fg,True,0.7235772357723578,0.38562091503267976,306,330.0,325.0,47,,,,
nuclei,nuclei_figure_1,development,gp,real_pipeline,False,0.625,0.2972972972972973,294,330.0,309.0,82,,,,
nuclei,nuclei_figure_1,development,gp,ORACLE_markers_real_fg,True,0.609375,0.30105263157894735,288,330.0,328.0,85,,,,
nuclei,nuclei_figure_1,development,qep_q2,real_pipeline,False,0.625,0.2972972972972973,294,330.0,309.0,82,,,,
nuclei,nuclei_figure_1,development,qep_q2,ORACLE_markers_real_fg,True,0.609375,0.30105263157894735,288,330.0,328.0,85,,,,
nuclei,nuclei_figure_1,development,qep_q1.5,real_pipeline,False,0.59846547314578,0.2966804979253112,295,330.0,306.0,85,,,,
nuclei,nuclei_figure_1,development,qep_q1.5,ORACLE_markers_real_fg,True,0.5984455958549223,0.30168776371308015,287,330.0,328.0,88,,,,
nuclei,nuclei_figure_2,heldout_candidate,(none),ORACLE_foreground,True,0.8205128205128205,0.6705882352941176,65,77.0,66.0,19,,,,
nuclei,nuclei_figure_2,heldout_candidate,raw,real_pipeline,False,0.7804878048780488,0.5051546391752577,69,77.0,90.0,13,,,,
nuclei,nuclei_figure_2,heldout_candidate,raw,ORACLE_markers_real_fg,True,0.9230769230769231,0.6304347826086957,73,77.0,75.0,4,,,,
nuclei,nuclei_figure_2,heldout_candidate,gp,real_pipeline,False,0.45652173913043476,0.06349206349206349,57,77.0,64.0,24,,,,
nuclei,nuclei_figure_2,heldout_candidate,gp,ORACLE_markers_real_fg,True,0.627906976744186,0.08527131782945736,63,77.0,67.0,12,,,,
nuclei,nuclei_figure_2,heldout_candidate,qep_q2,real_pipeline,False,0.45652173913043476,0.06349206349206349,57,77.0,64.0,24,,,,
