dataset,image,arm,rule,scope,fg_dice,fg_iou,ap50,ap75,n_pred,merged
nuclei,nuclei_figure_1,raw,criterion_1,global,0.6380764611745647,0.46851122180094,0.3288888888888889,0.04363001745200698,268,27
nuclei,nuclei_figure_1,raw,criterion_1,per_tile,0.6756497274564008,0.5101744919482075,0.3961456102783726,0.08848080133555926,322,46
nuclei,nuclei_figure_1,raw,li,global,0.8393101933871858,0.7231132629970317,0.6933333333333334,0.35683760683760685,305,58
nuclei,nuclei_figure_1,raw,li,per_tile,0.864453294087092,0.76126617213171,0.7123655913978495,0.41555555555555557,307,64
nuclei,nuclei_figure_1,gp,criterion_1,global,0.3982673357633971,0.24864782036096778,0.08669354838709678,0.009363295880149813,209,11
nuclei,nuclei_figure_1,gp,criterion_1,per_tile,0.6446616062906232,0.4756462366024119,0.3029045643153527,0.07903780068728522,298,66
nuclei,nuclei_figure_1,gp,li,global,0.8568645033689786,0.7495738745706672,0.625,0.2972972972972973,294,82
nuclei,nuclei_figure_1,gp,li,per_tile,0.8802738761587345,0.7861510573129433,0.6375661375661376,0.3694690265486726,289,92
nuclei,nuclei_figure_1,qep_q2,criterion_1,global,0.3982673357633971,0.24864782036096778,0.08669354838709678,0.009363295880149813,209,11
nuclei,nuclei_figure_1,qep_q2,criterion_1,per_tile,0.6446616062906232,0.4756462366024119,0.3029045643153527,0.07903780068728522,298,66
nuclei,nuclei_figure_1,qep_q2,li,global,0.8568645033689786,0.7495738745706672,0.625,0.2972972972972973,294,82
nuclei,nuclei_figure_1,qep_q2,li,per_tile,0.8802738761587345,0.7861510573129433,0.6375661375661376,0.3694690265486726,289,92
nuclei,nuclei_figure_1,qep_q1.5,criterion_1,global,0.3287063012142496,0.1966777601405818,0.06378600823045268,0.003883495145631068,187,7
nuclei,nuclei_figure_1,qep_q1.5,criterion_1,per_tile,0.6442981359557741,0.475250608591592,0.3235294117647059,0.08736059479553904,255,38
nuclei,nuclei_figure_1,qep_q1.5,li,global,0.8558432192317742,0.7480121899527895,0.59846547314578,0.2966804979253112,295,85
nuclei,nuclei_figure_1,qep_q1.5,li,per_tile,0.8798312670404856,0.7854453004735715,0.6282722513089005,0.3610503282275711,292,90
whole_cell,whole_cell_figure_1,raw,criterion_1,global,0.8274956339504017,0.7057505779175901,0.5276073619631901,0.07947976878612717,344,147
whole_cell,whole_cell_figure_1,raw,criterion_1,per_tile,0.8017099886112413,0.669045040008386,0.4461538461538462,0.09620991253644315,349,165
whole_cell,whole_cell_figure_1,raw,li,global,0.8274956339504017,0.7057505779175901,0.5276073619631901,0.07947976878612717,344,147
whole_cell,whole_cell_figure_1,raw,li,per_tile,0.8305393415830026,0.7101900654847468,0.5525773195876289,0.10572687224669604,350,141
whole_cell,whole_cell_figure_1,gp,criterion_1,global,0.8026401689708141,0.670341653503532,0.47808764940239046,0.05547652916073969,339,149
whole_cell,whole_cell_figure_1,gp,criterion_1,per_tile,0.7569113807402856,0.6088957528957529,0.3047138047138047,0.03748326639892905,372,187
whole_cell,whole_cell_figure_1,gp,li,global,0.7880879732467596,0.6502848027328172,0.44529750479846447,0.03576341127922971,350,144
whole_cell,whole_cell_figure_1,gp,li,per_tile,0.8110812034015388,0.6822006731848053,0.4723320158102767,0.07814761215629522,342,153
whole_cell,whole_cell_figure_1,qep_q2,criterion_1,global,0.8026401689708141,0.670341653503532,0.47808764940239046,0.05547652916073969,339,149
whole_cell,whole_cell_figure_1,qep_q2,criterion_1,per_tile,0.7569113807402856,0.6088957528957529,0.3047138047138047,0.03748326639892905,372,187
whole_cell,whole_cell_figure_1,qep_q2,li,global,0.7880879732467596,0.6502848027328172,0.44529750479846447,0.03576341127922971,350,144
whole_cell,whole_cell_figure_1,qep_q2,li,per_tile,0.8110812034015388,0.6822006731848053,0.4723320158102767,0.07814761215629522,342,153
whole_cell,whole_cell_figure_1,qep_q1.5,criterion_1,global,0.8103003228971206,0.6810965309079846,0.43822393822393824,0.07040229885057471,342,158
whole_cell,whole_cell_figure_1,qep_q1.5,criterion_1,per_tile,0.8019905154675592,0.6694358649260278,0.41187384044526903,0.09496402877697842,358,157
whole_cell,whole_cell_figure_1,qep_q1.5,li,global,0.8086531991352528,0.6787722924578186,0.4502923976608187,0.07050359712230216,341,155
whole_cell,whole_cell_figure_1,qep_q1.5,li,per_tile,0.8281782449981795,0.7067442138389833,0.45155038759689925,0.09985315712187959,346,156
