dataset,image,arm,label,threshold_rule,threshold,threshold_percentile,collapsed,n_components,fg_dice,fg_iou,fg_precision,fg_recall,fg_fraction,gt_fg_fraction
nuclei,nuclei_figure_1,raw,Raw,li,178.67464105775124,78.98558337388124,False,11884,0.8393101933871858,0.7231132629970317,0.8632139803100402,0.8166946030270844,0.21014416626118754,0.22211409445452
nuclei,nuclei_figure_1,paper_fast_gp,paper_fast_gp (paper-faithful opt),li,179.13616809911005,80.49285988115776,False,269,0.8784876618886996,0.7833062838774738,0.9393799101469679,0.8250091277217206,0.19507140118842248,0.22211409445452
nuclei,nuclei_figure_1,paper_fast_gp_robust,paper_fast_gp (MODIFIED opt: multi-start),li,179.13616809911005,80.49285988115776,False,269,0.8784876618886996,0.7833062838774738,0.9393799101469679,0.8250091277217206,0.19507140118842248,0.22211409445452
nuclei,nuclei_figure_1,gp_legacy,gp_isotropic_gpytorch_2025,li,169.05735285902716,60.125735391692835,False,75,0.6421626981181926,0.4729305176903215,0.4999352885437611,0.8974915361125863,0.39874264608307164,0.22211409445452
nuclei,nuclei_figure_1,qep_q2,QEP q=2,li,177.7922959755249,78.22650801374206,False,240,0.8568645033689786,0.7495738745706672,0.8654813096769824,0.8484175849707913,0.21773491986257942,0.22211409445452
nuclei,nuclei_figure_1,qep_q1.5,QEP q=1.5,li,177.76537073617223,78.12707347281815,False,234,0.8558432192317742,0.7480121899527895,0.8624652940160353,0.8493220592140202,0.21872926527181846,0.22211409445452
whole_cell,whole_cell_figure_1,raw,Raw,li,54.93502553437397,73.90836101882613,False,389,0.8274956339504017,0.7057505779175901,0.9426907038188512,0.7373881575671054,0.26091638981173865,0.33356035437430787
whole_cell,whole_cell_figure_1,paper_fast_gp,paper_fast_gp (paper-faithful opt),li,55.46853262470614,74.32392026578073,False,359,0.8230968371290286,0.6993751593981127,0.9461948200383861,0.7283411629953022,0.2567607973421927,0.33356035437430787
whole_cell,whole_cell_figure_1,paper_fast_gp_robust,paper_fast_gp (MODIFIED opt: multi-start),li,55.50891480199435,74.35852713178295,False,368,0.8224158724348777,0.6983924572211906,0.9461329993413736,0.7273119636128218,0.2564147286821705,0.33356035437430787
whole_cell,whole_cell_figure_1,gp_legacy,gp_isotropic_gpytorch_2025,li,50.70608083664673,70.89341085271317,False,202,0.8504930966469428,0.7398764584763212,0.9125774019575205,0.7963181222091267,0.2910658914728682,0.33356035437430787
whole_cell,whole_cell_figure_1,qep_q2,QEP q=2,li,62.448615622708644,76.64645625692137,False,296,0.7880879732467596,0.6502848027328172,0.956859862719761,0.6699257980445211,0.23353543743078628,0.33356035437430787
whole_cell,whole_cell_figure_1,qep_q1.5,QEP q=1.5,li,59.63957091701336,75.34357696567,False,271,0.8086531991352528,0.6787722924578186,0.9513131744124681,0.7032004780797132,0.2465642303433001,0.33356035437430787
