dataset,image,role,method,label,reconstruction_source,ap50,ap75,tp50,fp50,fn50,tp75,fp75,fn75,n_pred,n_gt,mean_matched_iou,threshold_rule,threshold,fg_dice,fg_iou,n_markers,merged,split,missed,spurious,runtime_recon_s,runtime_downstream_s,runtime_total_s
nuclei,nuclei_figure_1,development,raw,Raw,round3 cache,0.6933333333333334,0.35683760683760685,260,45,70,167,138,163,305,330,0.6776639347054352,li,178.67464105775124,0.8393101933871858,0.7231132629970317,11943,27,0,70,11,1.770176887512207,5.29619574546814,7.066372632980347
nuclei,nuclei_figure_1,development,paper_fast_gp,paper_fast_gp (paper-faithful opt),computed round5,0.6456692913385826,0.33974358974358976,246,51,84,159,138,171,297,330,0.6768782789400299,li,179.13616809911005,0.8784876618886996,0.7833062838774738,313,34,3,84,9,3.4131808280944824,0.31913232803344727,3.7323131561279297
nuclei,nuclei_figure_1,development,paper_fast_gp_robust,paper_fast_gp (MODIFIED opt: multi-start),computed round5,0.6456692913385826,0.33974358974358976,246,51,84,159,138,171,297,330,0.6768782789400299,li,179.13616809911005,0.8784876618886996,0.7833062838774738,313,34,3,84,9,18.470428228378296,0.32181787490844727,18.792246103286743
nuclei,nuclei_figure_1,development,gp_legacy,gp_isotropic_gpytorch_2025,round3 cache,0.14989293361884368,0.017045454545454544,70,137,260,9,198,321,207,330,0.31750005667138415,li,169.05735285902716,0.6421626981181926,0.4729305176903215,210,66,4,260,2,650.3367238044739,0.3515050411224365,650.6882288455963
nuclei,nuclei_figure_1,development,qep_q2,QEP q=2,round3 cache,0.625,0.2972972972972973,240,54,90,143,151,187,294,330,0.6391363749556644,li,177.7922959755249,0.8568645033689786,0.7495738745706672,309,38,2,90,10,649.6001882553101,0.3417551517486572,649.9419434070587
nuclei,nuclei_figure_1,development,qep_q1.5,QEP q=1.5,round3 cache,0.59846547314578,0.2966804979253112,234,61,96,143,152,187,295,330,0.6334562014636883,li,177.76537073617223,0.8558432192317742,0.7480121899527895,306,39,5,96,10,670.3471720218658,0.3474729061126709,670.6946449279785
whole_cell,whole_cell_figure_1,development,raw,Raw,round3 cache,0.5276073619631901,0.07947976878612717,258,86,145,55,289,348,344,403,0.5553628453480189,li,54.93502553437397,0.8274956339504017,0.7057505779175901,525,67,15,145,12,0.15050196647644043,0.13557887077331543,0.28608083724975586
whole_cell,whole_cell_figure_1,development,paper_fast_gp,paper_fast_gp (paper-faithful opt),computed round5,0.5276073619631901,0.07020057306590258,258,86,145,49,295,354,344,403,0.551677902926534,li,55.46853262470614,0.8230968371290286,0.6993751593981127,492,67,19,145,9,2.496417760848999,0.14000415802001953,2.6364219188690186
whole_cell,whole_cell_figure_1,development,paper_fast_gp_robust,paper_fast_gp (MODIFIED opt: multi-start),computed round5,0.5368852459016393,0.07449856733524356,262,85,141,52,295,351,347,403,0.5552289626844642,li,55.50891480199435,0.8224158724348777,0.6983924572211906,502,65,17,141,10,11.203871011734009,0.1388711929321289,11.342742204666138
whole_cell,whole_cell_figure_1,development,gp_legacy,gp_isotropic_gpytorch_2025,round3 cache,0.41682974559686886,0.13302034428794993,213,108,190,85,236,318,321,403,0.5253212834897124,li,50.70608083664673,0.8504930966469428,0.7398764584763212,337,81,26,190,15,357.2746820449829,0.1219940185546875,357.3966760635376
whole_cell,whole_cell_figure_1,development,qep_q2,QEP q=2,round3 cache,0.44529750479846447,0.03576341127922971,232,118,171,26,324,377,350,403,0.5096238800826246,li,62.448615622708644,0.7880879732467596,0.6502848027328172,407,62,18,171,22,359.488018989563,0.1246039867401123,359.6126229763031
whole_cell,whole_cell_figure_1,development,qep_q1.5,QEP q=1.5,round3 cache,0.4502923976608187,0.07050359712230216,231,110,172,49,292,354,341,403,0.5194512530689788,li,59.63957091701336,0.8086531991352528,0.6787722924578186,382,67,16,172,20,358.6928689479828,0.12220621109008789,358.8150751590729
