"tile","i","j","x_offset","y_offset","h","w","pct_selected","abs_threshold","tile_max","n_connected","fg_fraction"
1,1,1,0,0,282,240,0.74,0.74,1,181,0.158156028368819
2,1,2,0,282,282,240,0.77,0.77,1,303,0.15988475177305
3,1,3,0,564,282,240,0.68,0.68,1,2145,0.49846335697405
4,1,4,0,846,282,240,0.76,0.76,1,186,0.157919621749401
5,2,1,240,0,282,240,0.67,0.654235294117647,0.976470588235294,2593,0.451728723404171
6,2,2,240,282,282,240,0.75,0.75,1,200,0.125635342789602
7,2,3,240,564,282,240,0.74,0.737098039215686,0.996078431372549,142,0.103413120567383
8,2,4,240,846,282,240,0.69,0.69,1,319,0.232432033096916
9,3,1,480,0,282,240,0.76,0.76,1,193,0.177511820330972
10,3,2,480,282,282,240,0.75,0.75,1,123,0.146513002364062
11,3,3,480,564,282,240,0.64,0.64,1,945,0.532978723404305
12,3,4,480,846,282,240,0.7,0.7,1,113,0.0819148936170065
13,4,1,720,0,282,240,0.74,0.74,1,186,0.166267730496469
14,4,2,720,282,282,240,0.75,0.75,1,125,0.118454491725779
15,4,3,720,564,282,240,0.71,0.71,1,165,0.110106382978728
16,4,4,720,846,282,240,0.66,0.66,1,91,0.111938534278958
