"tile","i","j","x_offset","y_offset","h","w","pct_selected","abs_threshold","tile_max","n_connected","fg_fraction"
1,1,1,0,0,282,240,0.73,0.710576199050796,0.973392053494242,28,0.199098699763628
2,1,2,0,282,282,240,0.74,0.751219587491623,1.01516160471841,39,0.190395981087465
3,1,3,0,564,282,240,0.75,0.743813474477767,0.99175129930369,33,0.210549645390068
4,1,4,0,846,282,240,0.74,0.740490629887928,1.00066301336207,29,0.185534869976371
5,2,1,240,0,282,240,0.7,0.653479290310762,0.933541843301088,250,0.398330378250545
6,2,2,240,282,282,240,0.75,0.727424320148897,0.969899093531862,26,0.157949172576836
7,2,3,240,564,282,240,0.74,0.709247266061337,0.95844225143424,24,0.127437943262414
8,2,4,240,846,282,240,0.66,0.669303897912581,1.01409681501906,29,0.276817375886501
9,3,1,480,0,282,240,0.76,0.743583986222203,0.978399981871319,30,0.201507092198563
10,3,2,480,282,282,240,0.73,0.733998557086952,1.00547747546158,17,0.166681442080387
11,3,3,480,564,282,240,0.76,0.732111119154352,0.963304104150463,21,0.177053782505891
12,3,4,480,846,282,240,0.71,0.677168517683464,0.953758475610512,19,0.0967641843971428
13,4,1,720,0,282,240,0.75,0.719501268393977,0.959335024525302,18,0.198315602836897
14,4,2,720,282,282,240,0.71,0.719548588252193,1.01344871584816,20,0.1490986997636
15,4,3,720,564,282,240,0.65,0.643332681256037,0.98974258654775,76,0.218011229314397
16,4,4,720,846,282,240,0.66,0.666960170469135,1.01054571283202,14,0.107195626477537
