"percentage","pixel_count","raw_criterion_curve","rgasp_fitted_curve","rgasp_lower95","rgasp_upper95"
0.01,67680,0,24.1003484616643,-1003.28685999834,1051.48755692167
0.02,67680,0,5.81799493952792,-933.72947183364,945.365461712696
0.03,67680,0,-1.75844853057788,-925.534535280803,922.017638219647
0.04,67680,0,-2.66764274763011,-926.225548208586,920.890262713326
0.05,67680,0,-0.826543009509351,-923.433208302986,921.780122283967
0.06,67680,0,1.24165053946342,-920.185198261329,922.668499340256
0.07,67680,0,2.50281112494611,-918.495724853139,923.501347103031
0.08,67680,0,2.90224652760855,-918.057438934064,923.861931989281
0.09,67680,0,2.78360335082721,-918.170536850916,923.73774355257
0.1,67680,0,2.50236146687325,-918.426258338269,923.430981272016
0.11,67680,0,2.26996399770201,-918.640999620104,923.180927615508
0.12,67680,0,2.1520540094341,-918.753787029303,923.057895048171
0.13,67680,0,2.12830902894677,-918.777127218202,923.033745276095
0.14,67680,0,2.15203867533671,-918.753490439936,923.057567790609
0.15,67680,0,2.18505510983698,-918.720522971367,923.090633191041
0.16,67680,0,2.20823150314743,-918.69744723356,923.113910239855
0.17,67680,0,2.21793590252332,-918.687821940395,923.123693745441
0.18,67680,0,2.21824595125622,-918.687515219006,923.124007121519
0.19,67680,0,2.21466030068018,-918.691058312791,923.120378914151
0.2,67680,0,2.21098951493957,-918.694685420825,923.116664450704
0.21,67680,0,2.20879759457137,-918.696852087311,923.114447276453
0.22,67680,0,2.20809568838467,-918.697546179066,923.113737555836
0.23,67680,0,2.20825571498381,-918.697388129067,923.113899559035
0.24,67680,0,2.20864466621219,-918.69700416801,923.114293500434
0.25,67680,0,2.20889990012927,-918.696753100661,923.11455290092
0.26,67680,0,2.20896209906812,-918.696693033351,923.114617231488
0.27,67680,0,2.20900024006426,-918.696655324986,923.114655805114
0.28,67680,0,2.20929406175367,-918.696361071637,923.114949195144
0.29,67680,0,2.21006670120607,-918.695587830069,923.115721232482
0.3,67680,0,2.21124065220533,-918.694413455942,923.116894760352
0.31,67680,0,2.21215543994924,-918.69349849065,923.117809370549
0.32,67680,0,2.21143229710958,-918.694221627352,923.117086221571
0.33,67680,0,2.2073362546264,-918.698317735014,923.112990244267
0.34,67680,0,2.19901839223428,-918.706635664463,923.104672448932
0.35,67680,0,2.18869428612993,-918.716959810854,923.094348383113
0.36,67680,0,2.18393634257791,-918.7217177674,923.089590452556
0.37,67680,0,2.19791009359255,-918.707744013087,923.103564200272
0.38,67680,0,2.24424910364996,-918.661404994541,923.14990320184
0.39,67680,0,2.32381737472076,-918.581836716381,923.229471465822
0.4,67680,0,2.40480289508491,-918.5008511924,923.31045698257
0.41,67680,0,2.40655792074131,-918.499096166008,923.31221200749
0.42,67680,0,2.20929912073029,-918.696354966741,923.114953208201
0.43,67680,0,1.71831216568773,-919.187341922794,922.623966254169
0.44,67680,0,0.998308116365934,-919.907345972831,921.903962205562
0.45,67680,0,0.445270747600716,-920.460383341895,921.350924837097
0.46,67680,0,0.876359053718943,-920.029295035792,921.782013143229
0.47,67680,0,3.32476992966292,-917.580884159734,924.230424019059
0.48,67680,0,8.31189346559347,-912.593760623688,929.217547554875
0.49,67680,0,14.5675517446028,-906.338102344599,935.473205833804
0.5,67680,0,17.6981225357584,-903.207531553407,938.603776624924
0.51,67680,0,10.1209770604155,-910.784677028751,931.026631149581
0.52,67680,0,-15.6953836724397,-936.601037761643,905.210270416763
0.53,67680,0,-58.8609069713056,-979.766561060588,862.044747117977
0.54,67674,6,-96.9541272615784,-1017.85978135098,823.951526827823
0.55,67648,26,-73.2424298572012,-994.148083946712,847.66322423231
0.56,67580,68,104.861800309984,-816.043853779516,1025.76745439948
0.57,67194,386,542.782166872486,-378.123487216712,1463.68782096168
0.58,66519,675,1308.44167233092,387.536018242437,2229.3473264194
0.59,64189,2330,2372.84725742863,1451.94160334116,3293.75291151611
0.6,59828,4361,3590.92029216373,2670.01463807697,4511.82594625048
0.61,55986,3842,4775.39623502719,3854.49058093971,5696.30188911468
0.62,49102,6884,5754.58995590853,4833.68430181743,6675.49560999963
0.63,43992,5110,6360.71572155839,5439.8100674602,7281.62137565659
0.64,35646,8346,6474.97985681437,5554.07420270769,7395.88551092105
0.65,30450,5196,6046.22939310778,5125.3237389978,6967.13504721776
0.66,24067,6383,5178.73177477586,4257.82612067887,6099.63742887284
0.67,21099,2968,4080.51493935813,3159.60928530143,5001.42059341483
0.68,17836,3263,3005.31906272124,2084.4134087316,3926.22471671088
0.69,16324,1512,2129.89540522488,1208.98975130041,3050.80105914934
0.7,14616,1708,1523.227133186,602.321479255392,2444.1327871166
0.71,13271,1345,1156.53278596554,235.62713185739,2077.43844007369
0.72,12521,750,965.664126622994,44.7584720917174,1886.56978115427
0.73,11415,1106,890.692998053339,-30.2126570800528,1811.59865318673
0.74,10704,711,876.749092315538,-44.1565632495134,1797.65474788059
0.75,9602,1102,884.367775786353,-36.5378793460696,1805.27343091877
0.76,8848,754,888.543568607263,-32.3620843935295,1809.44922160805
0.77,7837,1011,882.47051607104,-38.435132763184,1803.37616490526
0.78,7170,667,866.57574401396,-54.3298998300932,1787.48138785801
0.79,6216,954,841.628138207744,-79.2775036597081,1762.5337800752
0.8,5300,916,802.169700870068,-118.735948811815,1723.07535055195
0.81,4722,578,749.918755397772,-170.986919537994,1670.82443033354
0.82,3921,801,694.617838684019,-226.287879929455,1615.52355729749
0.83,3390,531,640.273017880474,-280.632743289788,1561.17877905074
0.84,2677,713,587.124359286759,-333.781398556159,1508.03011712968
0.85,2269,408,532.484343321609,-388.421335415096,1453.39002205831
0.86,1684,585,475.216961743765,-445.68861633744,1396.12253982497
0.87,1348,336,413.172604673344,-507.732924441925,1334.07813378861
0.88,927,421,347.36987305201,-573.535563195138,1268.27530929916
0.89,708,219,280.402223814415,-640.503617224317,1201.30806485315
0.9,473,235,216.899265171134,-704.011698446672,1137.81022878894
0.91,301,172,160.062513134935,-760.866106670207,1080.99113294008
0.92,220,81,112.517164727143,-808.436975474602,1033.47130492889
0.93,141,79,76.3376391697445,-844.622046291929,997.297324631418
0.94,99,42,50.7778506496157,-870.220685328469,971.7763866277
0.95,58,41,33.1750812389728,-888.251767561817,954.601930039762
0.96,42,16,20.7087245358668,-901.897940757611,943.315389829345
0.97,18,24,12.1238123239389,-911.434093137014,935.681717784892
0.98,13,5,8.4600836426132,-915.316003107611,932.236170392838
0.99,7,6,13.0460402662046,-926.501426506967,952.593507039376
1,0,7,29.519683970116,-997.867524489891,1056.90689243012
