percentage,pixel_count,raw_criterion_curve,rgasp_fitted_curve,rgasp_lower95,rgasp_upper95
0.01,67680,0,2.23414906486141e-06,-0.222705867343963,0.222710335642093
0.02,67680,0,-2.75023990070622e-06,-0.222710826277527,0.222705325797725
0.03,67680,0,1.84501618605282e-06,-0.222706216431216,0.222709906463588
0.04,67680,0,-6.5077540511993e-07,-0.222708701281234,0.222707399730423
0.05,67680,0,4.23317601416784e-07,-0.222707623546929,0.222708470182131
0.06,67680,0,-2.99353359878296e-08,-0.222708080437841,0.222708020567169
0.07,67680,0,1.60968625095848e-07,-0.222707889534076,0.222708211471326
0.08,67680,0,8.05779336587875e-08,-0.222707966285238,0.222708127441105
0.09,67680,0,1.14430463327153e-07,-0.22270793243276,0.222708161293687
0.1,67680,0,1.00174815997889e-07,-0.222707946688383,0.222708147038015
0.11,67680,0,1.06177708403266e-07,-0.222707951603632,0.222708163959048
0.12,67680,0,1.03650108940201e-07,-0.22270795049185,0.222708157792068
0.13,67680,0,1.04714217741275e-07,-0.222707949427743,0.222708158856178
0.14,67680,0,1.04265950540139e-07,-0.222707938957878,0.222708147489779
0.15,67680,0,1.04454670690757e-07,-0.222707942408536,0.222708151317877
0.16,67680,0,1.0437565833854e-07,-0.222707953405679,0.222708162156995
0.17,67680,0,1.0440908226883e-07,-0.222707946093501,0.222708154911666
0.18,67680,0,1.04394757727277e-07,-0.222707949747202,0.222708158536718
0.19,67680,0,1.04400555756001e-07,-0.222707931544519,0.222708140345631
0.2,67680,0,1.04398168332409e-07,-0.222707942465038,0.222708151261375
0.21,67680,0,1.04399191513949e-07,-0.222707938824638,0.222708147623021
0.22,67680,0,1.04398964140273e-07,-0.222707942464242,0.22270815126217
0.23,67680,0,1.04399077827111e-07,-0.222707949742882,0.222708158541038
0.24,67680,0,1.04399191513949e-07,-0.222707938824638,0.222708147623021
0.25,67680,0,1.04399191513949e-07,-0.222707946103392,0.222708154901775
0.26,67680,0,1.04398964140273e-07,-0.222707946103619,0.222708154901547
0.27,67680,0,1.04398736766598e-07,-0.222707949743223,0.222708158540697
0.28,67680,0,1.04399191513949e-07,-0.222707946103392,0.222708154901775
0.29,67680,0,1.04399191513949e-07,-0.222707931545883,0.222708140344266
0.3,67680,0,1.04399305200786e-07,-0.222707946103278,0.222708154901888
0.31,67680,0,1.0439862307976e-07,-0.222707942464583,0.222708151261829
0.32,67680,0,1.04399418887624e-07,-0.222707942463787,0.222708151262625
0.33,67680,0,1.04398736766598e-07,-0.222707935185715,0.222708143983189
0.34,67680,0,1.04398736766598e-07,-0.222707938825092,0.222708147622566
0.35,67680,0,1.04399077827111e-07,-0.222707949742882,0.222708158541038
0.36,67680,0,1.04398964140273e-07,-0.222707942464242,0.22270815126217
0.37,67680,0,1.04399077827111e-07,-0.222707946103505,0.222708154901661
0.38,67680,0,1.04399077827111e-07,-0.222707953382259,0.222708162180415
0.39,67680,0,1.04399077827111e-07,-0.222707938824751,0.222708147622907
0.4,67680,0,1.04397940958734e-07,-0.222707938825888,0.22270814762177
0.41,67680,0,1.04401465250703e-07,-0.222707935182987,0.222708143985917
0.42,67680,0,1.04392938737874e-07,-0.222707942470268,0.222708151256145
0.43,67680,0,1.04413516055502e-07,-0.222707949728444,0.222708158555476
0.44,67680,0,1.04364858088957e-07,-0.222707946137725,0.222708154867441
0.45,67680,0,1.04479909168731e-07,-0.222707931465166,0.222708140424984
0.46,67680,0,1.0420649232401e-07,-0.222707939017337,0.222708147430321
0.47,67680,0,1.0485518942005e-07,-0.222707949286771,0.22270815899715
0.48,67680,0,1.03316779132001e-07,-0.222707932628296,0.222708139261854
0.49,67680,0,1.06969650914834e-07,-0.222707954451063,0.222708168390365
0.5,67680,0,9.82960273177014e-08,-0.22270795948531,0.222708156077364
0.51,67680,0,1.18890852718323e-07,-0.222707917054222,0.222708154835927
0.52,67680,0,6.99865267961286e-08,-0.222707969597925,0.222708109570979
0.53,67680,0,1.86127181223128e-07,-0.222707860736025,0.222708232990387
0.54,67680,0,-8.97559857548913e-08,-0.222708122061683,0.222707942549712
0.55,67680,0,5.6725309605099e-07,-0.222707472331356,0.222708606837548
0.56,67680,0,-1.0380354069639e-06,-0.222709084898613,0.222707008827799
0.57,67680,0,3.86724661893822e-06,-0.222704183255964,0.222711917749202
0.58,67680,0,2.67939185505384e-07,-0.222707778924021,0.222708314802392
0.59,67642,38,37.9999662519385,37.7772581977966,38.2226743060805
0.6,67158,484,484.000063433391,483.777355375609,484.222771491172
0.61,65364,1794,1793.9999606591,1793.77725260859,1794.2226687096
0.62,61876,3488,3488.000061025,3487.77735297086,3488.22276907914
0.63,56998,4878,4877.99983316294,4877.7771251088,4878.22254121708
0.64,50985,6013,6013.00016334893,6012.77745529843,6013.22287139943
0.65,42788,8197,8197.00007009928,8196.77736204514,8197.22277815342
0.66,33153,9635,9634.99976408977,9634.7770560429,9635.22247213663
0.67,25377,7776,7776.00007003338,7775.77736198652,7776.22277808025
0.68,20888,4489,4489.00004413463,4488.77733608412,4489.22275218513
0.69,18577,2311,2311.00002500659,2310.77731695973,2311.22273305346
0.7,17016,1561,1560.99996469796,1560.77725665109,1561.22267274482
0.71,15719,1297,1296.99998610272,1296.77727803766,1297.22269416778
0.72,14590,1129,1129.00003777726,1128.77732972676,1129.22274582777
0.73,13475,1115,1114.99997080401,1114.77726274986,1115.22267885815
0.74,12441,1034,1033.99999640892,1033.77728836934,1034.22270444851
0.75,11469,972,972.000040485359,971.777332434857,972.222748535862
0.76,10467,1002,1001.99994309721,1001.77723505035,1002.22265114408
0.77,9570,897,897.000040843402,896.777332781982,897.222748904823
0.78,8675,895,894.999992419037,894.777284375814,895.222700462261
0.79,7735,940,939.999984456253,939.777276391193,940.222692521314
0.8,6836,899,899.000021774323,898.777313712902,899.222729835744
0.81,5996,840,839.999974101633,839.777266062049,840.222682141218
0.82,5241,755,755.000034498503,754.777326448,755.222742549005
0.83,4543,698,697.999953988879,697.777245945656,698.222662032103
0.84,3938,605,605.000055966233,604.777347930288,605.222764002178
0.85,3333,605,604.999938349737,604.777230284677,605.222646414797
0.86,2765,568,568.000063004809,567.777354965225,568.222771044394
0.87,2154,611,610.999948371295,610.777240313514,611.222656429076
0.88,1633,521,521.00002401373,520.777315963228,521.222732064233
0.89,1201,432,432.000003013275,431.777294955494,432.222711071056
0.9,811,390,389.999986882004,389.777278827862,390.222694936146
0.91,518,293,293.000008497377,292.777300446875,293.22271654788
0.92,321,197,196.99999884436,196.777290797497,197.222706891224
0.93,196,125,124.999997929766,124.777289875624,125.222705983908
0.94,127,69,69.0000028781333,68.7772948203518,69.2227109359147
0.95,86,41,40.9999989510675,40.7772908932862,41.2227070088487
0.96,60,26,25.9999988840767,25.7772908262941,26.2227069418594
0.97,42,18,18.0000031091079,17.7772950440445,18.2227111741712
0.98,22,20,19.9999973924516,19.7772893310042,20.222705453899
0.99,10,12,12.0000002269985,11.7772921546003,12.2227082993968
1.0,0,10,10.0000013348975,9.77729324068327,10.2227094291118
