percentage,pixel_count,raw_criterion_curve,rgasp_fitted_curve,rgasp_lower95,rgasp_upper95
0.01,40000,0,38.8021314566371,-896.713324769397,974.317587682672
0.02,40000,0,12.1198319175555,-857.517506336372,881.757170171483
0.03,40000,0,6.9899955533553,-857.821340476025,871.801331582735
0.04,39988,12,13.4523475331098,-851.188556387121,878.09325145334
0.05,39970,18,27.0234134244512,-837.12369213235,891.170518981253
0.06,39951,19,53.3290698535869,-810.731883917162,917.390023624336
0.07,39813,138,104.886833065962,-759.174769917128,968.948436049052
0.08,39545,268,212.823870056793,-651.229468443054,1076.87720855664
0.09,39176,369,468.262123631639,-395.786764173789,1332.31101143707
0.1,38430,746,1002.55638275656,138.508208306049,1866.60455720708
0.11,36227,2203,1861.91225413414,997.86387927686,2725.96062899141
0.12,33855,2372,2957.3963325881,2093.34771126407,3821.44495391214
0.13,30253,3602,4043.13956603934,3179.0908364872,4907.18829559148
0.14,23091,7162,4451.59564797964,3587.54691573872,5315.64438022056
0.15,20138,2953,3726.32426674949,2862.27556009989,4590.37297339909
0.16,18044,2094,2540.44271702793,1676.39402643021,3404.49140762565
0.17,16656,1388,1608.1175608726,744.068873847073,2472.16624789812
0.18,15255,1401,1071.66175398662,207.613065294999,1935.71044267824
0.19,14627,628,785.853285049046,-78.1954055024605,1649.90197560055
0.2,14029,598,657.513545480898,-206.535145795268,1521.56223675706
0.21,13210,819,597.632792783409,-266.415898484897,1461.68148405171
0.22,12767,443,532.479965521872,-331.568725568118,1396.52865661186
0.23,12323,444,485.255232731273,-378.793458252908,1349.30392371545
0.24,11889,434,478.373141468886,-385.675549494088,1342.42183243186
0.25,11259,630,483.154926236773,-380.893764738726,1347.20361721227
0.26,10859,400,466.515836971479,-397.532854016663,1330.56452795962
0.27,10478,381,446.156187186241,-417.892503806537,1310.20487817902
0.28,9932,546,424.455221126082,-439.59346986647,1288.50391211863
0.29,9584,348,382.71812335312,-481.330567638184,1246.76681434442
0.3,9271,313,341.967105402683,-522.081585587923,1206.01579639329
0.31,9000,271,324.428588624708,-539.620102365774,1188.47727961519
0.32,8572,428,318.060587892805,-545.98810309777,1182.10927888338
0.33,8326,246,300.18122313893,-563.867467851731,1164.22991412959
0.34,8088,238,283.465094619511,-580.583596371179,1147.5137856102
0.35,7742,346,271.094559601093,-592.954131389594,1135.14325059178
0.36,7519,223,251.2999189828,-612.748772007878,1115.34860997348
0.37,7340,179,235.341877240961,-628.706813749713,1099.39056823163
