percentage,pixel_count,raw_criterion_curve,rgasp_fitted_curve,rgasp_lower95,rgasp_upper95
0.01,40000,0,13.1523390948695,-455.487581877956,481.792260067694
0.02,40000,0,-1.76720361699194,-435.174028033853,431.639620799869
0.03,40000,0,3.11176967055889,-429.403396095802,435.62693543692
0.04,39990,10,9.25360342304424,-422.591228723909,441.098435569998
0.05,39976,14,13.7058262937472,-418.135873103913,445.547525691407
0.06,39950,26,37.2173765996419,-394.604987037219,469.039740236503
0.07,39850,100,107.542343167823,-324.279658918771,539.364345254417
0.08,39582,268,231.564236320163,-200.257773629276,663.386246269603
0.09,39179,403,465.555045324524,33.7329792904837,897.377111358564
0.1,38237,942,936.521302440516,504.699273006094,1368.34333187494
0.11,36453,1784,1658.494594127,1226.67258072437,2090.31660752964
0.12,33900,2553,2771.28129057687,2339.45927457812,3203.10330657561
0.13,29831,4069,4340.79237064231,3908.97035208495,4772.61438919967
0.14,23686,6145,5122.05288846465,4690.23086992141,5553.8749070079
0.15,20233,3453,3953.15571799195,3521.33369982437,4384.97773615954
0.16,17877,2356,2394.40863828428,1962.58662016769,2826.23065640087
0.17,16400,1477,1463.8797387881,1032.05772062446,1895.70175695175
0.18,15332,1068,1014.22462412864,582.402605950967,1446.04664230631
0.19,14604,728,773.988807080003,342.166788907156,1205.81082525285
0.2,13919,685,665.761830690637,233.9398125205,1097.58384886077
0.21,13305,614,601.254452891646,169.432434721195,1033.0764710621
0.22,12779,526,539.144020960838,107.322002789951,970.966039131725
0.23,12273,506,504.484618761359,72.6626005904554,936.306636932262
0.24,11780,493,494.813846295825,62.9918281249834,926.635864466667
0.25,11285,495,483.77313495077,51.9511167799384,915.595153121601
0.26,10834,451,455.17068796852,23.3486697976803,886.992706139359
0.27,10412,422,427.230235595326,-4.59178257551639,859.052253766168
0.28,9995,417,409.097324190009,-22.7246939808321,840.919342360849
0.29,9613,382,390.527157506648,-41.2948606641925,822.349175677488
0.3,9232,381,368.326473050953,-63.4955451198883,800.148491221794
0.31,8907,325,339.047711025261,-92.7743071455807,770.869729196102
0.32,8580,327,315.375253779184,-116.446764391656,747.197271950024
0.33,8300,280,293.719859904888,-138.102158265952,725.541878075728
0.34,8010,290,275.285289949651,-156.53672822119,707.107308120491
0.35,7771,239,253.034106421095,-178.787911749745,684.856124591936
0.36,7525,246,239.954125831438,-191.867892339402,671.776144002278
0.37,7299,226,231.750753497619,-200.071264673221,663.57277166846
0.38,7067,232,224.137637294524,-207.684380876316,655.959655465364
0.39,6864,203,218.263922010019,-213.558096160822,650.08594018086
0.4,6632,232,220.399959375603,-211.422058795237,652.221977546444
0.41,6423,209,214.493714735905,-217.328303434935,646.315732906746
0.42,6219,204,205.001532850176,-226.820485320664,636.823551021017
0.43,6022,197,199.345109635078,-232.476908535762,631.167127805919
