dataset,image,cell,label,reconstruction,downstream,source,ap50,ap75,tp50,fp50,fn50,tp75,fp75,fn75,n_pred,n_gt,mean_matched_iou,merged,split,missed,spurious,fg_dice,fg_iou,fg_precision,fg_recall,fg_fraction,gt_fg_fraction
nuclei,nuclei_figure_1,A,A  Raw + current downstream,raw,current corrected (global Li + peak markers),"round5 (reused, verified identical)",0.6933333333333334,0.35683760683760685,260,45,70,167,138,163,305,330,0.6776639347054352,27,0,70,11,0.8393101933871858,0.7231132629970317,0.8632139803100402,0.8166946030270844,0.21014416626118754,0.22211409445452
nuclei,nuclei_figure_1,C,C  paper_fast_gp + current downstream,paper_fast_gp,current corrected (global Li + peak markers),"round5 (reused, verified identical)",0.6456692913385826,0.33974358974358976,246,51,84,159,138,171,297,330,0.6768782789400299,34,3,84,9,0.8784876618886996,0.7833062838774738,0.9393799101469679,0.8250091277217206,0.19507140118842248,0.22211409445452
nuclei,nuclei_figure_1,B,B  NoGP + paper downstream (constructed ablation),raw tiles,"paper R: criterion_1+RobustGaSP, outlier tiles, EBImage distmap+watershed, eliminate_small_areas(50)",real R this round,0.4014732965009208,0.1478129713423831,218,213,112,98,333,232,431,330,0.5703391137538717,15,8,112,152,0.7619482404019277,0.6154413452384984,0.8686028665955062,0.6786212161444504,0.1735330870969169,0.22211409445452
nuclei,nuclei_figure_1,D,D  paper_fast_gp + paper downstream,"paper_fast_gp (R, paper-faithful fit)","paper R: criterion_1+RobustGaSP, outlier tiles, EBImage distmap+watershed, eliminate_small_areas(50)",real R this round,0.6481012658227848,0.28402366863905326,256,65,74,144,177,186,321,330,0.6693349839000575,22,1,74,23,0.8503934115334899,0.739725589662679,0.9520318725099601,0.7683633165161976,0.17926324442281888,0.22211409445452
nuclei,nuclei_figure_1,B_literal,B' published NoGP arm (confounded; secondary),raw tiles,"paper R PUBLISHED NoGP: criterion_1_2 (NO rgasp), EBImage, eliminate_small_areas2(mean*0.15/*0.05)",real R this round,0.18213058419243985,0.05846153846153846,106,252,224,38,320,292,358,330,0.3175393951757402,2,6,224,188,0.5370104273580556,0.3670637422167634,0.9489333515576537,0.3744606346255975,0.08764892142551717,0.22211409445452
whole_cell,whole_cell_figure_1,A,A  Raw + current downstream,raw,current corrected (global Li + peak markers),"round5 (reused, verified identical)",0.5276073619631901,0.07947976878612717,258,86,145,55,289,348,344,403,0.5553628453480189,67,15,145,12,0.8274956339504017,0.7057505779175901,0.9426907038188512,0.7373881575671054,0.26091638981173865,0.33356035437430787
whole_cell,whole_cell_figure_1,C,C  paper_fast_gp + current downstream,paper_fast_gp,current corrected (global Li + peak markers),"round5 (reused, verified identical)",0.5276073619631901,0.07020057306590258,258,86,145,49,295,354,344,403,0.551677902926534,67,19,145,9,0.8230968371290286,0.6993751593981127,0.9461948200383861,0.7283411629953022,0.2567607973421927,0.33356035437430787
whole_cell,whole_cell_figure_1,B,B  NoGP + paper downstream (constructed ablation),raw tiles,"paper R: criterion_1+RobustGaSP, outlier tiles, EBImage distmap+watershed, eliminate_small_areas(50)",real R this round,0.42911877394636017,0.1303030303030303,224,119,179,86,257,317,343,403,0.5235290007433647,84,20,179,36,0.8140654390170461,0.68643369187446,0.7696562331314655,0.863913281652031,0.37441029900332223,0.33356035437430787
whole_cell,whole_cell_figure_1,D,D  paper_fast_gp + paper downstream,"paper_fast_gp (R, paper-faithful fit)","paper R: criterion_1+RobustGaSP, outlier tiles, EBImage distmap+watershed, eliminate_small_areas(50)",real R this round,0.583864118895966,0.17111459968602827,275,68,128,109,234,294,343,403,0.5918214183760735,68,12,128,19,0.8584111595558307,0.7519442457249671,0.9112791207152113,0.8113411131953321,0.2969795127353267,0.33356035437430787
whole_cell,whole_cell_figure_1,B_literal,B' published NoGP arm (confounded; secondary),raw tiles,"paper R PUBLISHED NoGP: criterion_1_2 (NO rgasp), EBImage, eliminate_small_areas2(mean*0.15/*0.05)",real R this round,0.5660377358490566,0.23267326732673269,270,74,133,141,203,262,344,403,0.5957735071485555,68,13,133,24,0.8716407530674085,0.7724851419766674,0.8694524733669172,0.8738400756959546,0.3352436323366556,0.33356035437430787
