dataset,metric,B,D,B_star,D_star,delta_implicit_DmB,delta_explicit_DsmBs,seed_mediated_interaction,frac_of_delta_removed_by_explicit_seeds,explicit_effect_raw_BsmB,explicit_effect_fastgp_DsmD,higher_is_better
nuclei,ap50,0.4014732965009208,0.6481012658227848,0.508235294117647,0.6640419947506562,0.24662796932186404,0.15580670063300917,0.09082126868885487,0.3682521043277446,0.10676199761672622,0.01594072892787135,True
nuclei,ap75,0.1478129713423831,0.28402366863905326,0.16757741347905283,0.2782258064516129,0.13621069729667015,0.11064839297256004,0.025562304324110108,0.18766737731644378,0.019764442136669724,-0.0057978621874403835,True
nuclei,fg_dice,0.7619482404019277,0.8503934115334899,0.7619482404019277,0.8503934115334899,0.08844517113156225,0.08844517113156225,0.0,0.0,0.0,0.0,True
nuclei,merged,15.0,22.0,26.0,28.0,7.0,2.0,5.0,0.7142857142857143,11.0,6.0,False
nuclei,split,8.0,1.0,2.0,0.0,-7.0,-2.0,-5.0,0.7142857142857143,-6.0,-1.0,False
whole_cell,ap50,0.42911877394636017,0.583864118895966,0.4168260038240918,0.5284552845528455,0.15474534494960585,0.11162928072875372,0.043116064220852124,0.2786259207661028,-0.01229277012226837,-0.055408834343120494,True
whole_cell,ap75,0.1303030303030303,0.17111459968602827,0.13302752293577982,0.14634146341463414,0.04081156938299796,0.013313940478854314,0.027497628904143645,0.6737704361743834,0.0027244926327495145,-0.02477313627139413,True
whole_cell,fg_dice,0.8140654390170461,0.8584111595558307,0.8140654390170461,0.8584111595558307,0.044345720538784605,0.044345720538784605,0.0,0.0,0.0,0.0,True
whole_cell,merged,84.0,68.0,84.0,68.0,-16.0,-16.0,0.0,0.0,0.0,0.0,False
whole_cell,split,20.0,12.0,25.0,22.0,-8.0,-3.0,-5.0,0.625,5.0,10.0,False
