dataset,tile,max_raw,max_gp,p999_raw,p999_gp,p99_raw,p99_gp,p95_raw,p95_gp,median_raw,median_gp,mad_raw,mad_gp,n_px_at_or_above_max_raw,n_px_at_or_above_max_gp,max_minus_p999_raw,max_minus_p999_gp,n_px_above_T_raw_orig_in_raw,n_px_above_T_raw_orig_in_gp,islands_at_p_raw_in_raw,small_islands_at_p_raw_in_raw,islands_at_p_raw_in_gp,small_islands_at_p_raw_in_gp
nuclei,1,1.0,0.973392053494242,0.949019607843137,0.9312588249096568,0.890196078431372,0.8798215472072511,0.831372549019608,0.8263957098449441,0.643137254901961,0.6417624688433,0.0274509803921571,0.023138984432284515,2,1,0.05098039215686301,0.042133228584585125,10704,10446,180,163,29,11
nuclei,2,1.0,1.01516160471841,1.0,0.998875145538878,0.9223921568627698,0.909657267712054,0.858823529411765,0.8556761015175609,0.67843137254902,0.672753553422418,0.027450980392156987,0.021383420568875988,86,1,0.0,0.016286459179531976,10821,10695,302,277,40,16
nuclei,3,1.0,0.99175129930369,0.984313725490196,0.9695283601196615,0.9223921568627698,0.9163060082605727,0.854901960784314,0.8504401874103901,0.67843137254902,0.6777138666178525,0.031372549019607954,0.02608529188507097,25,1,0.015686274509803977,0.022222939184028512,33736,31892,2144,2128,169,155
nuclei,4,1.0,1.00066301336207,1.0,0.9929626186959155,0.92156862745098,0.9164786217559016,0.83921568627451,0.8327800514705678,0.662745098039216,0.664782595389143,0.03529411764705903,0.03317134553741102,84,1,0.0,0.007700394666154464,10688,10565,185,164,35,15
nuclei,5,0.976470588235294,0.933541843301088,0.905882352941176,0.8969637503113843,0.858823529411765,0.8505252007560717,0.796078431372549,0.7902981473345381,0.647058823529412,0.6476570606006204,0.02352941176470602,0.015491625594854452,1,1,0.07058823529411795,0.036578092989703714,30573,26149,2592,2564,47,45
nuclei,6,1.0,0.969899093531862,0.956862745098039,0.9421268603385153,0.894117647058824,0.8874867821658982,0.823529411764706,0.8190254585943315,0.654901960784314,0.653078792800075,0.02352941176470591,0.015826593925774457,8,1,0.043137254901960964,0.02777223319334665,8503,8459,199,179,25,4
nuclei,7,0.996078431372549,0.95844225143424,0.945098039215686,0.928862837377207,0.8870980392157116,0.8817702868803061,0.8,0.7968376369516502,0.63921568627451,0.6397934625599675,0.027450980392156987,0.021573016092348518,2,1,0.05098039215686301,0.029579414057033016,6999,6855,141,122,23,1
nuclei,8,1.0,1.01409681501906,1.0,1.0014397023932653,0.866666666666667,0.8578598784007543,0.796078431372549,0.7910798927999861,0.615686274509804,0.612820540819751,0.03529411764705892,0.02863148282254402,106,1,0.0,0.012657112625794609,15731,15441,318,297,39,18
nuclei,9,1.0,0.978399981871319,0.968627450980392,0.955568072241431,0.905882352941176,0.894722266049471,0.847058823529412,0.8432412007914735,0.674509803921569,0.6702940472930685,0.027450980392156987,0.022626470127969478,6,1,0.031372549019607954,0.022831909629888014,12014,11815,192,166,29,4
nuclei,10,1.0,1.00547747546158,1.0,0.99970321363885,0.964705882352941,0.9575731968123942,0.862745098039216,0.8576560290091646,0.662745098039216,0.6598182102037216,0.019607843137255054,0.013016455035680496,190,1,0.0,0.005774261822730109,9916,10136,122,106,20,5
nuclei,11,1.0,0.963304104150463,0.956862745098039,0.940191063165291,0.913725490196078,0.9056788103015881,0.854901960784314,0.848596201671693,0.647058823529412,0.6493617161184155,0.03921568627451,0.04022769443039398,6,1,0.043137254901960964,0.023113040985171973,36072,38261,944,935,122,117
nuclei,12,1.0,0.953758475610512,0.913725490196078,0.897250702971374,0.847058823529412,0.8390862685574381,0.756862745098039,0.7544705653519531,0.603921568627451,0.6044128806313415,0.02352941176470591,0.016866629111292997,1,1,0.08627450980392204,0.056507772639137976,5544,5468,112,102,17,6
nuclei,13,1.0,0.959335024525302,0.945098039215686,0.9288758714288813,0.898039215686275,0.8895135003511926,0.835294117647059,0.8312944460346307,0.654901960784314,0.6500656197795125,0.027450980392156987,0.017462037230494998,3,1,0.054901960784313975,0.030459153096420666,11253,11174,185,166,17,2
nuclei,14,1.0,1.01344871584816,1.0,1.0037947062291652,0.968627450980392,0.9557808015706794,0.854901960784314,0.8504890205445209,0.654901960784314,0.6518953718803645,0.019607843137255054,0.013216567690249481,312,1,0.0,0.009654009618994763,8017,8082,124,110,14,0
nuclei,15,1.0,0.98974258654775,0.972549019607843,0.9578614214583782,0.866666666666667,0.8608286692935238,0.780392156862745,0.7769229532390133,0.6,0.596335922719756,0.031372549019607954,0.026304237838971956,11,1,0.027450980392156987,0.03188116508937189,7452,7485,164,143,26,6
nuclei,16,1.0,1.01054571283202,1.0,1.0051136187547227,0.843137254901961,0.8315514255806374,0.745098039215686,0.7420891747877117,0.576470588235294,0.575290226265804,0.019607843137255054,0.014361907588523515,203,1,0.0,0.005432094077297389,7576,7631,90,78,13,2
whole_cell,1,0.898039215686275,0.899414422815475,0.850980392156863,0.8489235837476045,0.776470588235294,0.7755677320508171,0.588235294117647,0.5893327474963816,0.137254901960784,0.1361219183305265,0.031372549019607995,0.03122730297691951,1,1,0.04705882352941193,0.05049083906787055,11889,11799,42,26,33,17
whole_cell,2,0.890196078431372,0.882845212329576,0.8431411764706035,0.8445171997982349,0.72156862745098,0.7216362720968512,0.482352941176471,0.4813195428937255,0.0823529411764706,0.0827248317186241,0.0196078431372549,0.01953915348477475,1,1,0.04705490196076856,0.038328012531341105,9040,9169,54,43,50,40
whole_cell,3,0.870588235294118,0.868974576190314,0.811764705882353,0.8055805161154429,0.694117647058824,0.6907142614537253,0.525490196078431,0.5240596433899798,0.0901960784313725,0.09064949717849666,0.027450980392156807,0.028553334486233102,1,1,0.05882352941176494,0.06339406007487114,10807,10871,46,27,40,21
whole_cell,4,0.894117647058824,0.88566140145617,0.8431411764706035,0.8428175418207409,0.741176470588235,0.7393792899712979,0.588235294117647,0.5868544293018737,0.109803921568627,0.1094284218166755,0.0392156862745094,0.039282222298272246,1,1,0.050976470588220524,0.04284385963542914,22969,23496,106,102,71,67
whole_cell,5,0.890196078431372,0.872689224747145,0.835294117647059,0.8350440975635784,0.713725490196078,0.7127757620424299,0.552941176470588,0.5527466456749085,0.105882352941176,0.10599842132584,0.054901960784313295,0.054796596468584195,2,1,0.054901960784313086,0.03764512718356661,11515,11570,48,18,41,13
