"dataset","condition","tile","p_applied","tile_max_recipient","abs_threshold","fg_fraction_tile","n_connected_tile"
"nuclei","GR",1,0.74,0.973392053494242,0.720310119585739,0.183820921985767,30
"nuclei","GR",2,0.77,1.01516160471841,0.781674435633176,0.140691489361694,41
"nuclei","GR",3,0.68,0.99175129930369,0.674390883526509,0.546513002364097,170
"nuclei","GR",4,0.76,1.00066301336207,0.760503890155173,0.155452127659558,36
"nuclei","GR",5,0.67,0.933541843301088,0.625473035011729,0.855540780141702,48
"nuclei","GR",6,0.75,0.969899093531862,0.727424320148896,0.157949172576836,26
"nuclei","GR",7,0.74,0.95844225143424,0.709247266061338,0.127437943262414,24
"nuclei","GR",8,0.69,1.01409681501906,0.699726802363151,0.205644208037784,40
"nuclei","GR",9,0.76,0.978399981871319,0.743583986222202,0.201507092198563,30
"nuclei","GR",10,0.75,1.00547747546158,0.754108106596185,0.145271867612278,21
"nuclei","GR",11,0.64,0.963304104150463,0.616514626656296,0.677393617021278,123
"nuclei","GR",12,0.7,0.953758475610512,0.667630932927358,0.104669030732871,18
"nuclei","GR",13,0.74,0.959335024525302,0.709907918148723,0.213696808510638,18
"nuclei","GR",14,0.75,1.01344871584816,0.76008653688612,0.111081560283676,15
"nuclei","GR",15,0.71,0.98974258654775,0.702717236448902,0.118897754137116,27
"nuclei","GR",16,0.66,1.01054571283202,0.666960170469133,0.107195626477537,14
