"dataset","condition","tile","p_applied","tile_max_recipient","abs_threshold","fg_fraction_tile","n_connected_tile"
"nuclei","RG",1,0.73,1,0.73,0.168661347517786,208
"nuclei","RG",2,0.74,1,0.74,0.214406028368799,375
"nuclei","RG",3,0.75,1,0.75,0.196956264775408,285
"nuclei","RG",4,0.74,1,0.74,0.187145390070939,270
"nuclei","RG",5,0.7,0.976470588235294,0.683529411764706,0.209308510638304,1423
"nuclei","RG",6,0.75,1,0.75,0.125635342789602,200
"nuclei","RG",7,0.74,0.996078431372549,0.737098039215686,0.103413120567383,142
"nuclei","RG",8,0.66,1,0.66,0.298197399527164,471
"nuclei","RG",9,0.76,1,0.76,0.177511820330972,193
"nuclei","RG",10,0.73,1,0.73,0.166445035460971,225
"nuclei","RG",11,0.76,1,0.76,0.149187352245842,124
"nuclei","RG",12,0.71,1,0.71,0.0747931442080295,89
"nuclei","RG",13,0.75,1,0.75,0.151270685579183,169
"nuclei","RG",14,0.71,1,0.71,0.160771276595711,384
"nuclei","RG",15,0.65,1,0.65,0.211140661938528,757
"nuclei","RG",16,0.66,1,0.66,0.111938534278958,91
