"dataset","condition","tile","p_applied","tile_max_recipient","abs_threshold","fg_fraction_tile","n_connected_tile"
"nuclei","RR",1,0.74,1,0.74,0.158156028368819,181
"nuclei","RR",2,0.77,1,0.77,0.15988475177305,303
"nuclei","RR",3,0.68,1,0.68,0.49846335697405,2145
"nuclei","RR",4,0.76,1,0.76,0.157919621749401,186
"nuclei","RR",5,0.67,0.976470588235294,0.654235294117647,0.451728723404171,2593
"nuclei","RR",6,0.75,1,0.75,0.125635342789602,200
"nuclei","RR",7,0.74,0.996078431372549,0.737098039215686,0.103413120567383,142
"nuclei","RR",8,0.69,1,0.69,0.232432033096916,319
"nuclei","RR",9,0.76,1,0.76,0.177511820330972,193
"nuclei","RR",10,0.75,1,0.75,0.146513002364062,123
"nuclei","RR",11,0.64,1,0.64,0.532978723404305,945
"nuclei","RR",12,0.7,1,0.7,0.0819148936170065,113
"nuclei","RR",13,0.74,1,0.74,0.166267730496469,186
"nuclei","RR",14,0.75,1,0.75,0.118454491725779,125
"nuclei","RR",15,0.71,1,0.71,0.110106382978728,165
"nuclei","RR",16,0.66,1,0.66,0.111938534278958,91
