dataset,tile_id,i,j,y_offset,x_offset,p_raw,p_fastgp,max_raw,max_fastgp,T_raw_original,T_fastgp_original,delta_p,max_ratio
nuclei,1,1,1,0,0,0.74,0.73,1.0,0.973392053494242,0.74,0.7105761990507966,-0.010000000000000009,0.973392053494242
nuclei,2,1,2,282,0,0.77,0.74,1.0,1.01516160471841,0.77,0.7512195874916234,-0.030000000000000027,1.01516160471841
nuclei,3,1,3,564,0,0.68,0.75,1.0,0.99175129930369,0.68,0.7438134744777675,0.06999999999999995,0.99175129930369
nuclei,4,1,4,846,0,0.76,0.74,1.0,1.00066301336207,0.76,0.7404906298879318,-0.020000000000000018,1.00066301336207
nuclei,5,2,1,0,240,0.67,0.7,0.976470588235294,0.933541843301088,0.654235294117647,0.6534792903107616,0.029999999999999916,0.956036827477018
nuclei,6,2,2,282,240,0.75,0.75,1.0,0.969899093531862,0.75,0.7274243201488965,0.0,0.969899093531862
nuclei,7,2,3,564,240,0.74,0.74,0.996078431372549,0.95844225143424,0.7370980392156863,0.7092472660613376,0.0,0.9622156461249259
nuclei,8,2,4,846,240,0.69,0.66,1.0,1.01409681501906,0.69,0.6693038979125796,-0.029999999999999916,1.01409681501906
nuclei,9,3,1,0,480,0.76,0.76,1.0,0.978399981871319,0.76,0.7435839862222025,0.0,0.978399981871319
nuclei,10,3,2,282,480,0.75,0.73,1.0,1.00547747546158,0.75,0.7339985570869534,-0.020000000000000018,1.00547747546158
nuclei,11,3,3,564,480,0.64,0.76,1.0,0.963304104150463,0.64,0.7321111191543519,0.12,0.963304104150463
nuclei,12,3,4,846,480,0.7,0.71,1.0,0.953758475610512,0.7,0.6771685176834634,0.010000000000000009,0.953758475610512
nuclei,13,4,1,0,720,0.74,0.75,1.0,0.959335024525302,0.74,0.7195012683939764,0.010000000000000009,0.959335024525302
nuclei,14,4,2,282,720,0.75,0.71,1.0,1.01344871584816,0.75,0.7195485882521936,-0.040000000000000036,1.01344871584816
nuclei,15,4,3,564,720,0.71,0.65,1.0,0.98974258654775,0.71,0.6433326812560376,-0.05999999999999994,0.98974258654775
nuclei,16,4,4,846,720,0.66,0.66,1.0,1.01054571283202,0.66,0.6669601704691333,0.0,1.01054571283202
whole_cell,1,1,1,0,0,0.24,0.23,0.898039215686275,0.899414422815475,0.215529411764706,0.20686531724755927,-0.009999999999999981,1.0015313441831704
whole_cell,2,1,2,200,0,0.15,0.18,0.890196078431372,0.882845212329576,0.1335294117647058,0.15891213821932368,0.03,0.991742419136749
whole_cell,3,1,3,400,0,0.19,0.21,0.870588235294118,0.868974576190314,0.16541176470588242,0.18248466099996594,0.01999999999999999,0.998146472651036
whole_cell,4,2,1,0,200,0.11,0.2,0.894117647058824,0.88566140145617,0.09835294117647064,0.177132280291234,0.09000000000000001,0.9905423568917685
whole_cell,5,2,2,200,200,0.23,0.17,0.890196078431372,0.872689224747145,0.2047450980392156,0.14835716820701467,-0.06,0.9803337106190402
whole_cell,6,2,3,400,200,0.07,0.21,0.854901960784314,0.851718989485494,0.059843137254901986,0.17886098779195372,0.13999999999999999,0.996276799627527
whole_cell,7,3,1,0,400,0.12,0.23,0.87843137254902,0.878989805284229,0.1054117647058824,0.20216765521537267,0.11000000000000001,1.0006357158369565
whole_cell,8,3,2,200,400,0.19,0.25,0.819607843137255,0.81643937268928,0.15572549019607845,0.20410984317232,0.06,0.9961341628505569
whole_cell,9,3,3,400,400,0.25,0.25,0.890196078431372,0.874042911348174,0.222549019607843,0.2185107278370435,0.0,0.9818543717787863
