dataset,image,gt_id_1,gt_id_2,merged,pred_id_1,pred_id_2,interface_len_px,area_1,area_2,centroid_r,centroid_c,iface_mean_intensity,cell_mean_intensity,local_contrast,iface_fg_coverage,pair_fg_coverage
nuclei,nuclei_figure_1,2,3,True,3,3,48,388,601,6.583333333333333,336.0833333333333,190.1875,190.1860465116279,-0.0014534883721069036,0.9791666666666666,0.8048533872598584
nuclei,nuclei_figure_1,3,16,False,3,24,13,601,600,24.76923076923077,321.46153846153845,169.76923076923077,185.12905911740216,15.35982834817139,0.0,0.6744379683597003
nuclei,nuclei_figure_1,4,5,True,8,8,47,576,466,8.76595744680851,384.02127659574467,186.9787234042553,193.2274472168906,6.248723812635291,0.8085106382978723,0.8656429942418427
nuclei,nuclei_figure_1,15,19,True,17,17,52,644,572,36.23076923076923,161.73076923076923,209.90384615384616,201.28207236842104,-8.62177378542512,0.9615384615384616,0.8651315789473685
nuclei,nuclei_figure_1,15,28,False,17,29,18,644,776,47.5,165.0,192.61111111111111,202.02464788732394,9.413536776212823,1.0,0.8781690140845071
nuclei,nuclei_figure_1,16,25,True,24,24,44,600,592,45.97727272727273,299.97727272727275,186.5681818181818,182.98154362416108,-3.586638194020736,0.8409090909090909,0.6199664429530202
nuclei,nuclei_figure_1,24,27,True,32,32,54,303,779,57.092592592592595,833.5925925925926,190.27777777777777,196.02218114602587,5.744403368248101,0.9629629629629629,0.8974121996303143
nuclei,nuclei_figure_1,30,36,False,31,41,15,279,520,72.26666666666667,958.0,183.0,192.44430538172716,9.444305381727162,0.7333333333333333,0.8097622027534418
nuclei,nuclei_figure_1,40,46,True,56,56,37,1457,834,121.45945945945945,841.2972972972973,182.0,200.31296377127893,18.31296377127893,0.7837837837837838,0.8869489305979922
nuclei,nuclei_figure_1,46,52,False,56,91,28,834,826,137.96428571428572,806.5714285714286,187.39285714285714,195.89939759036145,8.506540447504307,0.9285714285714286,0.8704819277108434
nuclei,nuclei_figure_1,52,55,False,91,100,36,826,537,153.05555555555554,805.5555555555555,182.69444444444446,196.72780630961114,14.033361865166682,0.75,0.8451944240645635
nuclei,nuclei_figure_1,54,61,False,96,109,46,660,716,162.91304347826087,527.4130434782609,186.7173913043478,196.2921511627907,9.574759858442889,0.8913043478260869,0.9186046511627907
nuclei,nuclei_figure_1,58,66,True,121,121,54,835,725,179.12962962962962,889.1296296296297,190.37037037037038,199.06923076923076,8.698860398860376,0.9074074074074074,0.8782051282051282
nuclei,nuclei_figure_1,62,64,False,112,120,24,669,820,178.41666666666666,183.08333333333334,184.79166666666666,199.16118200134318,14.369515334676521,0.875,0.9066487575554063
nuclei,nuclei_figure_1,64,69,True,120,120,53,820,619,194.83018867924528,162.43396226415095,194.0754716981132,199.96247394023626,5.88700224212306,0.9622641509433962,0.9041000694927033
nuclei,nuclei_figure_1,74,80,True,147,147,54,884,945,224.09259259259258,318.0925925925926,189.74074074074073,198.02460360852925,8.283862867788514,1.0,0.8906506287588847
nuclei,nuclei_figure_1,82,86,False,180,198,34,986,550,266.20588235294116,176.7941176470588,194.02941176470588,205.96809895833334,11.938687193627459,0.9705882352941176,0.9401041666666666
nuclei,nuclei_figure_1,86,89,True,198,198,56,550,580,278.7857142857143,161.71428571428572,202.16071428571428,207.23185840707964,5.071144121365364,0.9821428571428571,0.9495575221238938
nuclei,nuclei_figure_1,91,98,False,227,241,32,1093,848,317.5,92.0,180.78125,194.35857805255023,13.577328052550229,0.625,0.8665636269963937
nuclei,nuclei_figure_1,92,101,False,226,242,33,754,957,317.8181818181818,824.5757575757576,191.0,201.9883109292811,10.988310929281113,1.0,0.9251899473991818
nuclei,nuclei_figure_1,97,102,True,231,231,52,869,311,326.2692307692308,460.7692307692308,204.1153846153846,211.3,7.184615384615398,1.0,0.9703389830508474
nuclei,nuclei_figure_1,103,108,True,259,259,52,402,293,342.15384615384613,947.6538461538462,242.46153846153845,240.1611510791367,-2.300387382401766,1.0,1.0
nuclei,nuclei_figure_1,108,112,True,259,259,38,293,503,353.6578947368421,953.6578947368421,218.39473684210526,226.1281407035176,7.7334038614123415,1.0,0.9886934673366834
nuclei,nuclei_figure_1,110,115,True,275,275,66,913,727,365.27272727272725,494.74242424242425,196.12121212121212,199.04390243902438,2.922690317812254,0.9393939393939394,0.9451219512195121
nuclei,nuclei_figure_1,115,123,False,275,307,39,727,685,385.4871794871795,488.2564102564103,183.0,197.67422096317281,14.674220963172814,0.8717948717948718,0.9043909348441926
nuclei,nuclei_figure_1,125,126,False,316,320,35,798,854,408.3142857142857,667.0571428571428,218.5142857142857,223.53450363196126,5.020217917675552,1.0,0.9921307506053268
nuclei,nuclei_figure_1,133,137,True,358,358,92,536,844,443.8478260869565,195.65217391304347,207.44565217391303,205.24927536231883,-2.196376811594206,1.0,0.9615942028985507
nuclei,nuclei_figure_1,135,139,True,359,359,64,803,603,450.1875,391.3125,186.921875,200.50355618776672,13.58168118776672,0.890625,0.8982930298719772
nuclei,nuclei_figure_1,144,149,False,383,401,23,316,944,482.17391304347825,424.9130434782609,182.6086956521739,190.6611111111111,8.05241545893719,0.8260869565217391,0.846031746031746
nuclei,nuclei_figure_1,149,154,False,401,427,52,944,731,506.6923076923077,425.8076923076923,181.1346153846154,192.1444776119403,11.009862227324902,0.5576923076923077,0.8477611940298507
