dataset,region_class,site_r,site_c,n_mc,seed,S2_se_q2.0,S2_se_q1.5
nuclei,A_merged_interface,553,62,20000,20260918,0.004190008382007261,0.005309626351653154
nuclei,A_merged_interface,444,196,20000,20260918,0.004334169439627148,0.005472649647865527
nuclei,A_merged_interface,562,52,20000,20260918,0.004189078941908862,0.005301969203880944
nuclei,A_merged_interface,801,200,20000,20260918,0.004347274879438454,0.005478731693561747
nuclei,A_merged_interface,365,495,20000,20260918,0.004161294443456013,0.005187321842792742
nuclei,A_merged_interface,738,114,20000,20260918,0.004193249143503277,0.005247049196314953
nuclei,A_merged_interface,693,654,20000,20260918,0.0045312170213595016,0.005733559737507424
nuclei,A_merged_interface,450,391,20000,20260918,0.004377692621679956,0.005543172368512491
nuclei,A_merged_interface,817,187,20000,20260918,0.004127704089390951,0.005177545170740096
nuclei,A_merged_interface,1007,40,20000,20260918,0.00420055513557346,0.005254199903022215
nuclei,A_merged_interface,279,162,20000,20260918,0.004468079996138231,0.005628841371028205
nuclei,A_merged_interface,57,834,20000,20260918,0.004099610980032951,0.005095895707705803
nuclei,A_merged_interface,179,889,20000,20260918,0.004447707870583174,0.005630796085592398
nuclei,A_merged_interface,224,318,20000,20260918,0.004451708810729634,0.0056088128847307074
nuclei,A_merged_interface,195,162,20000,20260918,0.004500697180217214,0.005706499065797117
nuclei,A_merged_interface,326,461,20000,20260918,0.004347416104118767,0.0054769167990773105
nuclei,A_merged_interface,342,948,20000,20260918,0.0036770849047454567,0.0048247616602916845
nuclei,A_merged_interface,36,162,20000,20260918,0.004200684557140029,0.005274992488643054
nuclei,A_merged_interface,7,336,20000,20260918,0.004313613686359948,0.005427270153474104
nuclei,A_merged_interface,9,384,20000,20260918,0.004232227323560188,0.005259489184108671
nuclei,A_merged_interface,1017,312,20000,20260918,0.004280250669198992,0.005330095970446677
nuclei,A_merged_interface,46,300,20000,20260918,0.004239474763785444,0.005286130028496089
nuclei,A_merged_interface,779,142,20000,20260918,0.004320254976022669,0.005412863205626158
nuclei,A_merged_interface,354,954,20000,20260918,0.004468531683670824,0.005682341265363644
nuclei,A_merged_interface,121,841,20000,20260918,0.004421481718776192,0.0055616902878482454
nuclei,A_merged_interface,113,765,20000,20260918,0.004471433493855421,0.005600154595921133
nuclei,A_merged_interface,1031,407,20000,20260918,0.00438261930195334,0.005542899706613383
nuclei,B_separated_interface,1032,386,20000,20260918,0.00427109366549222,0.005340109294645875
nuclei,B_separated_interface,862,289,20000,20260918,0.004233268750327304,0.005315114954861081
nuclei,B_separated_interface,1082,336,20000,20260918,0.0038650146847387765,0.004977845806932206
nuclei,B_separated_interface,507,426,20000,20260918,0.004244975037997015,0.005345797228636666
nuclei,B_separated_interface,614,584,20000,20260918,0.004490317859558219,0.005692009218330634
nuclei,B_separated_interface,1081,202,20000,20260918,0.004486859616857131,0.005670103217166526
nuclei,B_separated_interface,887,326,20000,20260918,0.004352681557531331,0.005485633125659259
nuclei,B_separated_interface,836,130,20000,20260918,0.004137323219190645,0.005258062818348601
nuclei,B_separated_interface,163,527,20000,20260918,0.004451071344664188,0.005610384508372633
nuclei,B_separated_interface,940,414,20000,20260918,0.004303483351124465,0.005392554066189078
nuclei,B_separated_interface,385,488,20000,20260918,0.004479903599315778,0.005700006403730565
nuclei,B_separated_interface,1098,342,20000,20260918,0.004176228240292344,0.005210854392723762
nuclei,B_separated_interface,153,806,20000,20260918,0.0042489383519129,0.00533262776977402
nuclei,B_separated_interface,408,667,20000,20260918,0.004372032604414225,0.005519007286257878
nuclei,B_separated_interface,266,177,20000,20260918,0.004415915805027674,0.005594143721257427
nuclei,B_separated_interface,1079,428,20000,20260918,0.004285260589722316,0.005385969751707588
nuclei,B_separated_interface,318,825,20000,20260918,0.004440220925559048,0.00557329641282119
nuclei,B_separated_interface,318,92,20000,20260918,0.004279388833683766,0.005344076251643192
nuclei,B_separated_interface,1071,404,20000,20260918,0.004372452183030251,0.005504739228341031
nuclei,B_separated_interface,1114,161,20000,20260918,0.004417673238162419,0.005578097973833235
nuclei,B_separated_interface,830,180,20000,20260918,0.004438427195317232,0.0056064540519075185
nuclei,B_separated_interface,1066,375,20000,20260918,0.004321348437161565,0.005439743299466901
nuclei,B_separated_interface,138,807,20000,20260918,0.004341310762346383,0.005458221488629861
nuclei,B_separated_interface,1093,221,20000,20260918,0.004317727382745851,0.0054407184069069706
nuclei,B_separated_interface,916,419,20000,20260918,0.0044340415326029545,0.005564113696104572
nuclei,B_separated_interface,178,183,20000,20260918,0.004340959379011546,0.005453377102128291
nuclei,B_separated_interface,482,425,20000,20260918,0.004384561395290363,0.005512387304585615
nuclei,B_separated_interface,1026,366,20000,20260918,0.004341888051700125,0.005450750553475425
nuclei,B_separated_interface,625,78,20000,20260918,0.004449774379809301,0.005629906517109553
nuclei,B_separated_interface,721,140,20000,20260918,0.004281690388524454,0.00539722069952104
nuclei,B_separated_interface,1013,19,20000,20260918,0.004347029063476238,0.005465902329150028
nuclei,B_separated_interface,48,165,20000,20260918,0.004521899728287644,0.0057368475862786365
nuclei,B_separated_interface,72,958,20000,20260918,0.004510731978223738,0.00569080374119156
nuclei,B_separated_interface,25,321,20000,20260918,0.004305916497316065,0.0053845247221720426
nuclei,B_separated_interface,1050,374,20000,20260918,0.004366384685311691,0.005454535803796394
nuclei,B_separated_interface,695,123,20000,20260918,0.004430432100667238,0.005597942399357094
nuclei,C_outer_boundary,214,700,20000,20260918,0.004472376594660013,0.00563451277276556
nuclei,C_outer_boundary,716,118,20000,20260918,0.004391282039327167,0.005557142975604688
nuclei,D_interior,985,551,20000,20260918,0.003943487544460415,0.0049285050370852755
nuclei,D_interior,476,749,20000,20260918,0.004111538363865837,0.005207171167070007
nuclei,D_interior,786,128,20000,20260918,0.003993261926879718,0.005019729090120231
nuclei,D_interior,875,96,20000,20260918,0.003855317886456311,0.004901680373586609
nuclei,D_interior,344,183,20000,20260918,0.003689852557882589,0.00472995323536034
nuclei,D_interior,256,194,20000,20260918,0.004125840834217982,0.0051575324978295235
nuclei,D_interior,1086,408,20000,20260918,0.004486278608482691,0.005604612283618432
nuclei,D_interior,875,222,20000,20260918,0.003660721743088494,0.004715475874136313
nuclei,D_interior,570,500,20000,20260918,0.004229590260034146,0.005201101917174829
nuclei,D_interior,836,142,20000,20260918,0.003888561499286326,0.004900201106542274
nuclei,D_interior,629,363,20000,20260918,0.0035270973079407466,0.004641950758777976
nuclei,D_interior,700,604,20000,20260918,0.003959571957100725,0.004930140832540208
nuclei,D_interior,302,542,20000,20260918,0.003996804043446118,0.005110185790748244
nuclei,D_interior,205,475,20000,20260918,0.004138829094661369,0.005169928984963812
nuclei,D_interior,442,792,20000,20260918,0.0037602575468540784,0.004805027242375264
nuclei,D_interior,807,89,20000,20260918,0.00382352466059195,0.004804663110669143
nuclei,D_interior,635,707,20000,20260918,0.0042701112545293655,0.005365575908140269
nuclei,D_interior,884,131,20000,20260918,0.0038654795649258767,0.004872432282811656
nuclei,D_interior,479,76,20000,20260918,0.0040082959137285185,0.005074949371033016
nuclei,D_interior,1030,463,20000,20260918,0.003595638015363545,0.004690100535339762
nuclei,D_interior,183,165,20000,20260918,0.003988904036571776,0.004948096543846909
nuclei,D_interior,1070,195,20000,20260918,0.003969428663486557,0.0049331733720956675
nuclei,D_interior,770,409,20000,20260918,0.004065388856669449,0.005029837300293134
nuclei,D_interior,75,387,20000,20260918,0.0038638509192908204,0.0048694488307481345
nuclei,D_interior,491,249,20000,20260918,0.0043046304490318415,0.005413120410518582
nuclei,D_interior,393,817,20000,20260918,0.0042573573341655405,0.005358375518360016
nuclei,D_interior,603,172,20000,20260918,0.004175649512578594,0.00522545425863647
nuclei,D_interior,880,338,20000,20260918,0.004060673041800443,0.005022895952348878
nuclei,D_interior,859,507,20000,20260918,0.0038461523533911564,0.004817545545847177
nuclei,D_interior,724,153,20000,20260918,0.003920510449206107,0.00491486582260926
nuclei,D_interior,168,897,20000,20260918,0.004147985903624939,0.00519702567388473
nuclei,D_interior,7,717,20000,20260918,0.0043657929496880785,0.005521208848195873
nuclei,D_interior,720,235,20000,20260918,0.004150875824805846,0.005191454795965132
nuclei,D_interior,666,232,20000,20260918,0.004157650186795247,0.005208690861252662
nuclei,D_interior,610,947,20000,20260918,0.0036523821919035096,0.004728731099404061
nuclei,D_interior,612,14,20000,20260918,0.004097309696729096,0.0051867272151740135
nuclei,D_interior,32,620,20000,20260918,0.004204207069523601,0.005243136041305383
nuclei,D_interior,834,775,20000,20260918,0.004011463114543044,0.005005153282048015
nuclei,D_interior,666,609,20000,20260918,0.004111601754037124,0.005113003853220032
nuclei,D_interior,972,161,20000,20260918,0.004464667910477262,0.0056218024956694755
nuclei,D_interior,110,108,20000,20260918,0.004081279444691745,0.005036704365325669
nuclei,D_interior,757,303,20000,20260918,0.003793208002409937,0.00479566629259677
nuclei,D_interior,1115,815,20000,20260918,0.00409269701989373,0.005113851452483313
nuclei,D_interior,202,566,20000,20260918,0.0043941474922338,0.005541712133088418
nuclei,D_interior,339,231,20000,20260918,0.004264635516956273,0.005323437783814476
nuclei,D_interior,421,827,20000,20260918,0.003913541958092244,0.004907320108974696
nuclei,D_interior,929,412,20000,20260918,0.0039321841856360595,0.004947459962444992
nuclei,D_interior,606,923,20000,20260918,0.004340184369557234,0.005504127552282418
nuclei,D_interior,765,41,20000,20260918,0.004218307528630592,0.005328604405490441
nuclei,D_interior,511,725,20000,20260918,0.004184656307646242,0.0052532476083358105
nuclei,D_interior,219,7,20000,20260918,0.004227531160505929,0.005284322565110811
nuclei,D_interior,367,951,20000,20260918,0.0038063698408042795,0.004900196131497109
nuclei,D_interior,752,188,20000,20260918,0.004384974391328845,0.00553656426634523
nuclei,D_interior,811,196,20000,20260918,0.00398743169339306,0.004951700380055735
nuclei,D_interior,8,397,20000,20260918,0.004120512148067425,0.005256692091440227
nuclei,D_interior,5,322,20000,20260918,0.004532308946347954,0.0056945616928508825
nuclei,D_interior,411,202,20000,20260918,0.0040624937511154835,0.005081748825485041
nuclei,D_interior,2,499,20000,20260918,0.0036094294480511703,0.004758597741103106
nuclei,D_interior,334,466,20000,20260918,0.004349735852307633,0.005498298522310062
nuclei,D_interior,114,173,20000,20260918,0.004400517700755228,0.005595923473979548
nuclei,D_background,571,510,20000,20260918,0.0040871174620766915,0.00508936480731329
nuclei,D_background,1107,380,20000,20260918,0.0033335627472605056,0.004499301218877095
nuclei,D_background,763,161,20000,20260918,0.003935252778543754,0.004988709610534835
nuclei,D_background,377,106,20000,20260918,0.00353605744436509,0.004629548682176541
nuclei,D_background,1120,215,20000,20260918,0.0037876157607437287,0.004752097602381975
nuclei,D_background,903,956,20000,20260918,0.003820408422349004,0.004986090199115005
nuclei,D_background,843,88,20000,20260918,0.0034413239858338564,0.004563815710593255
nuclei,D_background,846,201,20000,20260918,0.003359861859973175,0.004519011957448662
nuclei,D_background,1116,326,20000,20260918,0.003454510025162813,0.004573139142355979
nuclei,D_background,817,156,20000,20260918,0.003582629107513163,0.004679517047779262
nuclei,D_background,804,4,20000,20260918,0.003984087768990889,0.005028820292095682
nuclei,D_background,581,1,20000,20260918,0.004403087789376162,0.0055789464206058475
nuclei,D_background,97,122,20000,20260918,0.0036678695314608075,0.004685534735032768
nuclei,D_background,1,70,20000,20260918,0.003913483940484406,0.005030260883459153
nuclei,D_background,848,43,20000,20260918,0.0034839890609682854,0.004615515096789997
nuclei,D_background,68,937,20000,20260918,0.0036918515042996904,0.004738649251818138
nuclei,D_background,331,106,20000,20260918,0.0038174916522089345,0.004801629896912719
nuclei,D_background,1047,402,20000,20260918,0.0037380234279509776,0.004809235746537209
nuclei,D_background,334,62,20000,20260918,0.003665029478237066,0.004747022765149531
nuclei,D_background,464,411,20000,20260918,0.003897204096428139,0.004904726305768115
nuclei,D_background,992,70,20000,20260918,0.003793479232711375,0.004831880279106894
nuclei,D_background,0,359,20000,20260918,0.004381032354757263,0.005561638406189752
whole_cell,A_merged_interface,198,563,20000,20260918,0.007122045798089795,0.0090842204314904
whole_cell,A_merged_interface,177,289,20000,20260918,0.0075661274855389,0.009660989809694064
whole_cell,A_merged_interface,581,114,20000,20260918,0.008133448287797397,0.010346625780458403
whole_cell,A_merged_interface,528,588,20000,20260918,0.007867448941018818,0.010012447199465417
whole_cell,A_merged_interface,263,281,20000,20260918,0.00839704328511716,0.010708253292066422
whole_cell,A_merged_interface,105,216,20000,20260918,0.008741794221464035,0.011142921599924619
whole_cell,A_merged_interface,219,229,20000,20260918,0.00842070500717032,0.010723918566310265
whole_cell,A_merged_interface,348,412,20000,20260918,0.007761919240284665,0.009882918731697688
whole_cell,A_merged_interface,541,191,20000,20260918,0.007341919739657935,0.009351383015541047
whole_cell,A_merged_interface,577,353,20000,20260918,0.008557113347668621,0.010868865173006202
whole_cell,A_merged_interface,428,20,20000,20260918,0.009225141240494603,0.011708298220048102
whole_cell,A_merged_interface,121,22,20000,20260918,0.008676430933546506,0.01098783063437838
whole_cell,A_merged_interface,17,15,20000,20260918,0.008104622109073319,0.010339599344134254
whole_cell,A_merged_interface,363,342,20000,20260918,0.00846436234614984,0.010790335164033068
whole_cell,A_merged_interface,141,198,20000,20260918,0.008741032914499377,0.011093339032969218
whole_cell,A_merged_interface,366,456,20000,20260918,0.00826029403795293,0.010551963600925151
whole_cell,A_merged_interface,102,179,20000,20260918,0.00820075974208786,0.010420807617270555
whole_cell,A_merged_interface,154,288,20000,20260918,0.008961135643663083,0.0114086017244492
whole_cell,A_merged_interface,364,215,20000,20260918,0.008917579428172898,0.01132987861986059
whole_cell,A_merged_interface,450,512,20000,20260918,0.009744201171259688,0.012377463551979077
whole_cell,A_merged_interface,556,444,20000,20260918,0.007365130629797097,0.00937273187994338
whole_cell,A_merged_interface,123,581,20000,20260918,0.00857701410442723,0.010862043290095961
whole_cell,A_merged_interface,18,560,20000,20260918,0.008487677398629002,0.010788517243862358
whole_cell,A_merged_interface,135,187,20000,20260918,0.008250576428838603,0.010442436227874536
whole_cell,A_merged_interface,469,486,20000,20260918,0.008166544489296846,0.010409678648146903
whole_cell,A_merged_interface,199,129,20000,20260918,0.00881676372267054,0.011199413224037714
whole_cell,A_merged_interface,11,330,20000,20260918,0.00859145369336435,0.010968393896954061
whole_cell,A_merged_interface,79,12,20000,20260918,0.00935695770407598,0.011867231563393019
whole_cell,A_merged_interface,427,357,20000,20260918,0.009460057609052828,0.01204385115285405
whole_cell,A_merged_interface,303,348,20000,20260918,0.008342679235393523,0.010544846345689059
whole_cell,A_merged_interface,170,499,20000,20260918,0.008368336851714193,0.010649509328527746
