dataset,q,statistic,n_chunks,chunk_size,max_abs_diff,rel_diff,mc_se,verdict
nuclei,2.0,S1,1,40,0.0,0.0,0.0,INVARIANT
nuclei,2.0,S2,1,40,0.0,0.0,0.03186428822438273,INVARIANT
nuclei,2.0,S3,1,40,0.0,0.0,0.0004291838070505166,INVARIANT
nuclei,2.0,S1,2,20,1.687538997430238e-14,2.8419972301863946e-15,0.0,INVARIANT
nuclei,2.0,S2,2,20,0.017105775377205035,0.002860220600483211,0.031902581216954766,within 3 MC SE
nuclei,2.0,S3,2,20,0.007750000000000035,0.007799379823507617,0.00044772287353269654,NOT INVARIANT
nuclei,2.0,S1,5,8,4.618527782440651e-14,7.778097682615395e-15,0.0,INVARIANT
nuclei,2.0,S2,5,8,0.025479770282625935,0.0042604186159876,0.03189297544342616,within 3 MC SE
nuclei,2.0,S3,5,8,0.010000000000000009,0.010063715901300114,0.00040070639530006874,NOT INVARIANT
nuclei,2.0,S1,40,1,5.5067062021407764e-14,9.273885698502971e-15,0.0,INVARIANT
nuclei,2.0,S2,40,1,0.026994547087209497,0.004513701248669518,0.03190318457386783,within 3 MC SE
nuclei,2.0,S3,40,1,0.0030000000000000027,0.003019114770390034,0.00042204320720750846,NOT INVARIANT
nuclei,1.5,S1,1,40,0.0,0.0,0.0,INVARIANT
nuclei,1.5,S2,1,40,0.0,0.0,0.03155761942668138,INVARIANT
nuclei,1.5,S3,1,40,0.0,0.0,0.0004336644368056943,INVARIANT
nuclei,1.5,S1,2,20,1.687538997430238e-14,2.8419972301863946e-15,0.0,INVARIANT
nuclei,1.5,S2,2,20,0.03906817067930923,0.006500955011369328,0.03163349214657815,within 3 MC SE
nuclei,1.5,S3,2,20,0.006250000000000089,0.006297229219143666,0.0004335623580978575,NOT INVARIANT
nuclei,1.5,S1,5,8,4.618527782440651e-14,7.778097682615395e-15,0.0,INVARIANT
nuclei,1.5,S2,5,8,0.0437359718872572,0.007277678495659729,0.03162599126521298,within 3 MC SE
nuclei,1.5,S3,5,8,0.008499999999999952,0.008564231738035217,0.00042144612459660844,NOT INVARIANT
nuclei,1.5,S1,40,1,5.5067062021407764e-14,9.273885698502971e-15,0.0,INVARIANT
nuclei,1.5,S2,40,1,0.030360050186390097,0.005051921218035559,0.031653636974067714,within 3 MC SE
nuclei,1.5,S3,40,1,0.007000000000000006,0.007052896725440812,0.00043161393158411835,NOT INVARIANT
whole_cell,2.0,S1,1,40,0.0,0.0,0.0,INVARIANT
whole_cell,2.0,S2,1,40,0.0,0.0,0.06370139671661887,INVARIANT
whole_cell,2.0,S3,1,40,0.0,0.0,0.0008826140816843451,INVARIANT
whole_cell,2.0,S1,2,20,1.3322676295501878e-13,1.576162046446351e-14,0.0,INVARIANT
whole_cell,2.0,S2,2,20,0.04633822561420686,0.005430928687774742,0.06363294975683,within 3 MC SE
whole_cell,2.0,S3,2,20,0.0024999999999999467,0.00254372019077896,0.0008849266168375206,within 3 MC SE
whole_cell,2.0,S1,5,8,2.0961010704922955e-13,2.4798282864089255e-14,0.0,INVARIANT
whole_cell,2.0,S2,5,8,0.058693998014306636,0.006879048849862779,0.06361215538748148,within 3 MC SE
whole_cell,2.0,S3,5,8,0.005249999999999977,0.005341812400635907,0.0008788212097747756,NOT INVARIANT
whole_cell,2.0,S1,40,1,8.402167850363185e-13,9.94032863958832e-14,0.0,INVARIANT
whole_cell,2.0,S2,40,1,0.050198282742092815,0.005883334767515912,0.06361179634160723,within 3 MC SE
whole_cell,2.0,S3,40,1,0.005249999999999977,0.005341812400635907,0.0008915965698450028,NOT INVARIANT
whole_cell,1.5,S1,1,40,0.0,0.0,0.0,INVARIANT
whole_cell,1.5,S2,1,40,0.0,0.0,0.06295895270171356,INVARIANT
whole_cell,1.5,S3,1,40,0.0,0.0,0.0007261201946712232,INVARIANT
whole_cell,1.5,S1,2,20,1.3322676295501878e-13,1.576162046446351e-14,0.0,INVARIANT
whole_cell,1.5,S2,2,20,0.07839418508005913,0.009125395290947464,0.06293068431636524,within 3 MC SE
whole_cell,1.5,S3,2,20,0.011249999999999982,0.011437648927720395,0.0007549021821981309,NOT INVARIANT
whole_cell,1.5,S1,5,8,2.0961010704922955e-13,2.4798282864089255e-14,0.0,INVARIANT
whole_cell,1.5,S2,5,8,0.08627936820014703,0.010043262003112723,0.06286881477670196,within 3 MC SE
whole_cell,1.5,S3,5,8,0.005249999999999977,0.005337569499602836,0.0007145587307475154,NOT INVARIANT
whole_cell,1.5,S1,40,1,8.402167850363185e-13,9.94032863958832e-14,0.0,INVARIANT
whole_cell,1.5,S2,40,1,0.09132981900228643,0.010631154586216156,0.06288469436633944,within 3 MC SE
whole_cell,1.5,S3,40,1,0.009749999999999925,0.009912629070690949,0.0007445215994914957,NOT INVARIANT
