Threshold,GP_Method_AP,noGP_Method_AP,GP_Better,Pair
0.5,0.030744336569579287,0.004122938530734633,True,nuclei_figure_1
0.55,0.02247191011235955,0.002619760479041916,True,nuclei_figure_1
0.6,0.014331210191082803,0.002619760479041916,True,nuclei_figure_1
0.65,0.012718600953895072,0.002244668911335578,True,nuclei_figure_1
0.7,0.009508716323296355,0.002244668911335578,True,nuclei_figure_1
0.75,0.00473186119873817,0.0007471049682480389,True,nuclei_figure_1
0.8,0.00473186119873817,0.0007471049682480389,True,nuclei_figure_1
0.5,0.07317073170731707,0.14522821576763487,False,nuclei_figure_2
0.55,0.060240963855421686,0.13114754098360656,False,nuclei_figure_2
0.6,0.047619047619047616,0.10843373493975904,False,nuclei_figure_2
0.65,0.03529411764705882,0.08235294117647059,False,nuclei_figure_2
0.7,0.023255813953488372,0.07392996108949416,False,nuclei_figure_2
0.75,0.0,0.06563706563706563,False,nuclei_figure_2
0.8,0.0,0.049429657794676805,False,nuclei_figure_2
0.5,0.029556650246305417,0.009786476868327402,True,nuclei_figure_3
0.55,0.014563106796116505,0.0062056737588652485,True,nuclei_figure_3
0.6,0.00966183574879227,0.005314437555358724,True,nuclei_figure_3
0.65,0.004807692307692308,0.005314437555358724,False,nuclei_figure_3
0.7,0.0,0.0035366931918656055,False,nuclei_figure_3
0.75,0.0,0.0035366931918656055,False,nuclei_figure_3
0.8,0.0,0.00176522506619594,False,nuclei_figure_3
0.5,0.22893772893772893,0.059127864005912786,True,nuclei_figure_4
0.55,0.18761061946902655,0.048280907095830286,True,nuclei_figure_4
0.6,0.1549053356282272,0.04142441860465116,True,nuclei_figure_4
0.65,0.11647254575707154,0.03316510454217736,True,nuclei_figure_4
0.7,0.09283387622149837,0.028715003589375447,True,nuclei_figure_4
0.75,0.07017543859649122,0.020655270655270654,True,nuclei_figure_4
0.8,0.05337519623233909,0.014154281670205236,True,nuclei_figure_4
0.5,0.004172461752433936,0.0004967709885742673,True,nuclei_figure_5
0.55,0.004172461752433936,0.0,True,nuclei_figure_5
0.6,0.002777777777777778,0.0,True,nuclei_figure_5
0.65,0.0013869625520110957,0.0,True,nuclei_figure_5
0.7,0.0,0.0,False,nuclei_figure_5
0.75,0.0,0.0,False,nuclei_figure_5
0.8,0.0,0.0,False,nuclei_figure_5
