Threshold,GP_Method_AP,ImageJ_Method_AP,GP_Better,Pair
0.5,0.03879310344827586,0.45863309352517984,False,nuclei_figure_1
0.55,0.02553191489361702,0.4278169014084507,False,nuclei_figure_1
0.6,0.016877637130801686,0.39827586206896554,False,nuclei_figure_1
0.65,0.008368200836820083,0.36073825503355705,False,nuclei_figure_1
0.7,0.0013850415512465374,0.31017770597738287,False,nuclei_figure_1
0.75,0.0013850415512465374,0.2515432098765432,False,nuclei_figure_1
0.8,0.0,0.1753623188405797,False,nuclei_figure_1
0.5,0.047058823529411764,0.9230769230769231,False,nuclei_figure_2
0.55,0.03488372093023256,0.875,False,nuclei_figure_2
0.6,0.03488372093023256,0.7857142857142857,False,nuclei_figure_2
0.65,0.03488372093023256,0.6304347826086957,False,nuclei_figure_2
0.7,0.022988505747126436,0.5151515151515151,False,nuclei_figure_2
0.75,0.011363636363636364,0.22950819672131148,False,nuclei_figure_2
0.8,0.0,0.11940298507462686,False,nuclei_figure_2
0.5,0.0477326968973747,0.4744897959183674,False,nuclei_figure_3
0.55,0.03294117647058824,0.4201474201474201,False,nuclei_figure_3
0.6,0.018561484918793503,0.34106728538283065,False,nuclei_figure_3
0.65,0.006880733944954129,0.29017857142857145,False,nuclei_figure_3
0.7,0.00228310502283105,0.19175257731958764,False,nuclei_figure_3
0.75,0.00228310502283105,0.1245136186770428,False,nuclei_figure_3
0.8,0.0,0.07235621521335807,False,nuclei_figure_3
0.5,0.25092936802973975,0.7647058823529411,False,nuclei_figure_4
0.55,0.2060931899641577,0.6666666666666666,False,nuclei_figure_4
0.6,0.1786339754816112,0.5887850467289719,False,nuclei_figure_4
0.65,0.15437392795883362,0.5133531157270029,False,nuclei_figure_4
0.7,0.1273031825795645,0.328125,False,nuclei_figure_4
0.75,0.09253246753246754,0.13839285714285715,False,nuclei_figure_4
0.8,0.0631911532385466,0.060291060291060294,True,nuclei_figure_4
0.5,0.006042296072507553,0.5627906976744186,False,nuclei_figure_5
0.55,0.0030120481927710845,0.5342465753424658,False,nuclei_figure_5
0.6,0.0030120481927710845,0.5135135135135135,False,nuclei_figure_5
0.65,0.0,0.4801762114537445,False,nuclei_figure_5
0.7,0.0,0.4608695652173913,False,nuclei_figure_5
0.75,0.0,0.423728813559322,False,nuclei_figure_5
0.8,0.0,0.3386454183266932,False,nuclei_figure_5
